Aphrika	Africa
Piluta Hayt'ay Pachantin Kupa 1938	Campionato mondiale di calcio 1938
Natal (Chinchay Hatunmayu)	Natal
Esrap qillqasqan	Libro di Esdra
Nehemiyap qillqasqan	Libro di Neemia
Joelpa qillqasqan	Libro di Gioele
Kuru qulluna	Pesticida
Hark'a qucha	Lago artificiale
Lanq'i	Sandalo
Joan Baez	Joan Baez
Tobiyap qillqasqan	Libro di Tobia
Mustasa	Senape (salsa)
Llut'ana	Colla
K'awchu	Gomma
Puka linsi	Lynx rufus
Llawi	Chiave (serratura)
Liyun III	Papa Leone III
Universidade Federal de Minas Gerais	Università federale di Minas Gerais
Shinzo Abe	Shinzō Abe
Yawsamaq	Branchia
Kantō suyu	Kantō
Piluta Hayt'ay Pachantin Kupa 1950	Campionato mondiale di calcio 1950
Piluta Hayt'ay Pachantin Kupa 1990	Campionato mondiale di calcio 1990
Piluta Hayt'ay Pachantin Kupa 1958	Campionato mondiale di calcio 1958
Rusaryu	Rosario
Imaykana muyurichiy	Riciclaggio dei rifiuti
Camilo José Cela	Camilo José Cela
Taro Aso	Tarō Asō
Pinchikilla muyu	Circuito elettrico
Piluta Hayt'ay Pachantin Kupa 1970	Campionato mondiale di calcio 1970
Pau	Pau (Francia)
Casablanca (kuyu walltay)	Casablanca (film)
Griguryu XV	Papa Gregorio XV
Pawlu V	Papa Paolo V
Liyun XI	Papa Leone XI
Hipachiy	Tortura
Wapsiyay	Evaporazione
Akwayuq	Pinophyta
Nemota Maskaykuspa	Alla ricerca di Nemo
Olympique Marseille	Olympique de Marseille
Taklamakan	Deserto di Taklamakan
Florianópolis	Florianópolis
Pawlu III	Papa Paolo III
Gro Harlem Brundtland	Gro Harlem Brundtland
Alberto Fujimori	Alberto Fujimori
Q'asa	Passo di montagna
Griguryu VII	Papa Gregorio VII
Chanka	Zampa
Kulunya	Colonia (insediamento)
Takana waqachina	Strumento a percussione
Q'umpuyasqa	Neoplasia
Rawray	Combustione
Wasa	Schiena
Pacha	Spaziotempo
Saywa	Confine
Jan Peter Balkenende	Jan Peter Balkenende
Bee Gees	Bee Gees
Mara	Swietenia
Thaqu	Prosopis
Sanpidru wachuma	Echinopsis pachanoi
Ruqutu	Capsicum pubescens
Yuraq q'acha-q'acha	Aspidosperma quebracho-blanco
Chaski qillqa	Lettera (messaggio)
Yachaqay	Apprendimento
Samiruka	Psychotria viridis
Ayawaska	Banisteriopsis caapi
Llat'an muruyuq	Gymnospermae
Wiñay wayna	Epidendrum
Kiru ismu	Carie dentaria
Puya	Puya (botanica)
Chiriq sananku	Brunfelsia
Ullu k'aspiyay	Erezione
José de San Martín	José de San Martín
Oscar Niemeyer	Oscar Niemeyer
Papa yura rikch'aq ayllu	Solanaceae
Truman Capote	Truman Capote
Magic Johnson	Magic Johnson
Piluta Hayt'ay Pachantin Kupa 1966	Campionato mondiale di calcio 1966
Kiru pichana	Spazzolino da denti
Tennessee Williams	Tennessee Williams
Chillki	Fusto
Unquy yuyu	Origanum vulgare
Roger Moore	Roger Moore
Kampachu	Brugmansia arborea
Rit'i Yuraqchawan Qanchisnintin Ch'itiwan (kuyuchisqa siq'isqa)	Biancaneve e i sette nani (film 1937)
Balqash qucha	Lago Balqaš
Győr	Győr
Chumpi	Cintura
Aysana	Bilancia (strumento)
Sisachay	Impollinazione
Saitama	Saitama
Chūbu suyu	Regione di Chūbu
Exeter	Exeter
Murira pillpintu	Bombyx mori
T'ukuch'uqu	Pertosse
Stoke-on-Trent	Stoke-on-Trent
Titanka	Puya raimondii
Qhichwa runa	Quechua
Thuqay ch'añan	Ghiandola salivare
Lukas Podolski	Lukas Podolski
Q'illu umiña	Topazio
Winchuka	Triatoma infestans
Santa Elena (Ikwadur)	Santa Elena (Ecuador)
Q'achan	Solanum muricatum
Serapio Calderón	Serapio Calderón
Eduardo López de Romaña	Eduardo López de Romaña
José Pardo y Barreda	José Pardo y Barreda
Guillermo Billinghurst	Guillermo Billinghurst
Antikuna ukumari	Tremarctos ornatus
ThyssenKrupp	ThyssenKrupp
Park Geun-hye	Park Geun-hye
Radamel Falcao	Radamel Falcao
Lupuna	Ceiba pentandra
Zacatecas	Zacatecas (città)
Kinwa	Chenopodium quinoa
Qispilla urmay	Caduta libera
Hvannadalshnúkur	Hvannadalshnjúkur
P'uruña	Lavabo
T'aynam	Tainan
Ignacio Andrade	Ignacio Andrade
Ch	Digrammi e trigrammi della lingua italiana
Beni mayu	Beni (fiume)
Yawri	Ago (cucito)
Muya	Orto (agricoltura)
Tuna waraqu	Opuntia ficus-indica
Phallcha	Gentiana
P'akincha yura rikch'aq ayllu	Papaveraceae
Paychi	Arapaima gigas
Raqacha yura rikch'aq ayllu	Apiaceae
Waranqaysu yura rikch'aq ayllu	Ranunculaceae
Awillanu	Corylus
Chaqallu	Baccello
Uchuq'aspa	Calendula officinalis
Haya yura rikch'aq ayllu	Fagaceae
Pisya	Picea abies
Sipris yura rikch'aq ayllu	Cupressaceae
Waranqaysu	Ranunculus
Iwrupa haya	Fagus sylvatica
Giovanni Bosco	Giovanni Bosco
Yuraq mustasa	Sinapis alba
Kulis	Brassica oleracea
Veszprém	Veszprém
P'akincha	Papaver
Q'aya-q'aya	Solanum nigrum
Stjepan Mesić	Stjepan Mesić
Chullusqa	Solvente
Papa rikch'ana	Solanum
Yananara	Ribes nigrum
Awina	Avena (botanica)
Achkha yupa	Plurale
Sik'ina	Pinza
Hussein I	Husayn di Giordania
Sipris	Cupressus
Qipuncha	Borago officinalis
Sapaliri	Cerro Zapaleri
Chincha q'arachupa	Didelphis virginiana
Malwa	Malva (botanica)
Chikchipa	Tagetes
Qillqana isku	Gessetto
Achiwiti	Bixa orellana
Allqu ñupchuy	Solanum dulcamara
Joaquín Balaguer	Joaquín Balaguer
Saruma	Zaruma
Illimani	Illimani
Qincha	Recinto
Tupi waraniyi rimaykuna	Lingue tupi-guaraní
Istrilla intillama	Bradypus variegatus
Mayuatu	Procyon
Ayamaych'a	Rhinanthus
Papa lancha	Phytophthora infestans
Esmeraldas	Esmeraldas (Ecuador)
Yupaylliy	Calcolo infinitesimale
Uqururu ch'inkil	Nasturtium officinale
Santiago Ramón y Cajal	Santiago Ramón y Cajal
Vittorio Emanuele III	Vittorio Emanuele III di Savoia
Jérôme Boateng	Jérôme Boateng
Johnny Weissmuller	Johnny Weissmuller
Abdul-Aziz bin Saud	Abd al-Aziz dell'Arabia Saudita
Frederick Sanger	Frederick Sanger
Chilipi pacha kuyuy (2010)	Terremoto del Cile del 2010
Pleiku antanka pampa	Aeroporto di Pleiku
Anna Pawlowa	Anna Pavlovna Pavlova
Imakay	Concetto
Binidiktu I	Papa Benedetto I
Eduard Shevardnadze	Eduard Shevardnadze
Leonel Fernández	Leonel Fernández
Bayer	Bayer
Uchpa	Cenere
Ch'illami	Vasca da bagno
Punkillikuy	Edema
Waqay	Pianto
Mohammed Sahir Shah	Mohammed Zahir Shah
P'inqa	Vergogna
Ludmilla Radchenko	Ljudmila Radčenko
Marco Reus	Marco Reus
Joan Miró	Joan Miró
Kristup Ukhun raymi	Corpus Domini
Rafael Trujillo	Rafael Leónidas Trujillo
Alfredo Stroessner	Alfredo Stroessner
Mamacha Kandilarya Raymi	Candelora
Kevin Keegan	Kevin Keegan
Karl-Heinz Rummenigge	Karl-Heinz Rummenigge
Benedikt Höwedes	Benedikt Höwedes
Asuti	Frusta
Christoph Metzelder	Christoph Metzelder
Maximilian Schell	Maximilian Schell
Rita da Cascia	Rita da Cascia
Lennart Meri	Lennart Meri
Louis Joseph Gay-Lussac	Joseph Louis Gay-Lussac
Paco de Lucía	Paco de Lucía
Kiro Gligorov	Kiro Gligorov
Allan Simonsen	Allan Simonsen
Makarios III	Makarios III
Willkapampa (Ikwadur)	Vilcabamba (Ecuador)
Umberto I	Umberto I di Savoia
Edin Džeko	Edin Džeko
Alcide De Gasperi	Alcide De Gasperi
Punk	Punk (cultura)
Tübingen Yachay Suntur	Università di Tubinga
Anqara	Ciotola
Manka	Casseruola
Sam Nujoma	Sam Nujoma
Chankaka	Melassa
Phutikuy	Ansia
Lunqanus	Sanguinaccio insaccato
Léopold Senghor	Léopold Sédar Senghor
Llaqllaq	Falegname
Bertie Ahern	Bertie Ahern
Carlos Fuentes	Carlos Fuentes
Italo Calvino	Italo Calvino
Dámaso Pérez Prado	Pérez Prado
Andreas Köpke	Andreas Köpke
Jean-Marie Pfaff	Jean-Marie Pfaff
Ahmed Sékou Touré	Ahmed Sékou Touré
César Milstein	César Milstein
Paul-Henri Spaak	Paul-Henri Spaak
Runtuma yura rikch'aq ayllu	Cyperaceae
Hamanq'ay yura rikch'aq ayllu	Amaryllidaceae
Chuchaw	Agave (botanica)
Andreas Möller	Andreas Möller
Thuqa	Saliva
Kiwicha yura rikch'aq ayllu	Amaranthaceae
Pirqakachun yura rikch'aq ayllu	Crassulaceae
Hamachi yura rikch'aq ayllu	Iridaceae
Chili-chili yura rikch'aq ayllu	Geraniaceae
Binidiktu XIII	Papa Benedetto XIII
Iklisiyastiku	Siracide
Awidul yura rikch'aq ayllu	Betulaceae
Ruq'i yura rikch'aq ayllu	Rhamnaceae
Klawil	Dianthus
Pika-pika yura rikch'aq ayllu	Polygonaceae
Chaparru	Quercus suber
Yawarch'unqa yura rikch'aq ayllu	Onagraceae
Ayamaych'a yura rikch'aq ayllu	Orobanchaceae
Kisa yura rikch'aq ayllu	Urticaceae
Kañamu yura rikch'aq ayllu	Cannabaceae
Sankurachi	Amaranthus
Universidade Estadual de Feira de Santana	Università di Stato di Feira de Santana
Tuktu-tuktu	Infiorescenza
Pierre Mauroy	Pierre Mauroy
Ch'awar yura rikch'aq ayllu	Bromeliaceae
K'awchu sach'a	Hevea brasiliensis
Malwa yura rikch'aq ayllu	Malvaceae
Sawintu yura rikch'aq ayllu	Myrtaceae
Kina yura rikch'aq ayllu	Rubiaceae
Paparawa yura rikch'aq ayllu	Moraceae
Wachanqa yura rikch'aq ayllu	Euphorbiaceae
Mulli yura rikch'aq ayllu	Anacardiaceae
Mário Soares	Mário Soares
Paolo Guerrero	Paolo Guerrero
Konstantinos Karamanlis	Konstantinos Karamanlis
Martha Argerich	Martha Argerich
Q'ira	Lupinus
Yehudi Menuhin	Yehudi Menuhin
Joinville	Joinville (Brasile)
Lúcio	Lucimar Ferreira da Silva
Air Berlin	Air Berlin
Ramiz Alia	Ramiz Alia
Yanuq	Cuoco
Getúlio Vargas	Getúlio Vargas
Q'upa yaku kachaykuna	Fognatura
Chakana tuktuyuq rikch'aq ayllu	Brassicaceae
Hamachi	Iris (botanica)
Merck	Merck KGaA
Sikas yura	Cycadales
Ispa muyu	Hibiscus
Ñukch'u	Salvia
Tara yura urin rikch'aq ayllu	Caesalpinioideae
Intimpa yura rikch'aq ayllu	Podocarpaceae
Tintin yura rikch'aq ayllu	Passifloraceae
Isparaw yura rikch'aq ayllu	Asparagaceae
Qantu yura rikch'aq ayllu	Polemoniaceae
Muni	Bidens
Mula kisa	Urtica urens
Sispa waranqaysu	Thalictrum
Husk'a	Astragalus
Aden Abdullah Osman	Aden Abdulla Osman
Phallcha yura rikch'aq ayllu	Gentianaceae
Rumasa	Rumex
Yuraq murira	Morus alba
Miguel Delibes	Miguel Delibes
Q'uya	Festuca (botanica)
Kawallu maqt'anwan	Il cavallo e il ragazzo
Ch'ullku	Oxalis
Qallu-qallu	Plantago lanceolata
Una llunku	Symphytum officinale
K'ita waranqaysu	Ranunculus acris
Pantanal	Pantanal
Yuraq itapallu	Marrubium vulgare
Llaqi	Rumex crispus
Yawar ch'unqa	Oenothera
Llunku-llunku	Echium vulgare
Sepp Herberger	Sepp Herberger
Kiswar	Buddleja
Kuka	Erythroxylum coca
Ayara	Chenopodium
Zvjezdan Misimović	Zvjezdan Misimović
Hugo Gunckel	Hugo Gunckel Lüer
Siemianowice Śląskie	Siemianowice Śląskie
Piekary Śląskie	Piekary Śląskie
Chicha-chicha	Carex
T'ankar	Berberis
Llikcha	Chenopodium album
Achanqaray	Begonia
Tupu-tupu	Physalis
Chiqan kimsak'uchu	Triangolo rettangolo
Uquti	Retto
Alkachu	Cinnamomum camphora
Kawallu kastaña	Aesculus
Piwin	Araucaria araucana
Patrice de Mac-Mahon	Patrice de Mac-Mahon
Mara yura rikch'aq ayllu	Meliaceae
Kapiqantu	Dianthus caryophyllus
Chirimuya	Annona cherimola
Sintuq	Opuntia
Mark Schwarzer	Mark Schwarzer
Universidade Federal da Bahia	Università federale di Bahia
Centro Federal de Educação Tecnológica de Minas Gerais	Centro Federal de Educação Tecnológica de Minas Gerais
Sisal	Agave sisalana
Ariqipa	Arequipa
Qurwara	Muffa
T'uyuy	Canottaggio
Pawyun	Papio
Albertville	Albertville (Francia)
Urqu kalistu	Eucalyptus globulus
Qanchist'upsi k'uslulu	Coccinella septempunctata
Ali Daei	Ali Daei
Kinwara	Cestoda
Augusto Roa	Augusto Roa Bastos
T'ira	Gemelli (biologia)
Walter Hallstein	Walter Hallstein
Phaqut	Fagotto
Llanthu	Ombra
Chhalla	Paglia
Kina-kina	Cinchona
Phu Bai antanka pampa	Aeroporto internazionale di Phu Bai
Qhichipra	Ciglia (occhi)
Ispiha muña	Mentha spicata
T'anta ruraq	Panettiere
Rump'u qillqana	Penna a sfera
Qhullquy	Flatulenza
Chiqniy	Odio (sentimento)
Piruwpa unanchan	Bandiera del Perù
Norodom Sihanouk	Norodom Sihanouk
Sut'i musyay	Percezione
Andreas Herzog	Andreas Herzog
Ch'itana mukmu	Bottone
Inverness	Inverness
Lakawiti	Cucurbita moschata
Valdivia	Valdivia
Kuraq umu wasi	Abbazia
Pachuca de Soto	Pachuca
Piluta Hayt'ay Pachantin Kupa 1962	Campionato mondiale di calcio 1962
Aycha wayt'ana	Sarcopterygii
Huwan I	Papa Giovanni I
Chiyu	Fuchsia
Paqpa	Agave americana
Sapallu	Cucurbita maxima
Kururunku	Passiflora
Siwuk	Setaria italica
Runtuma	Cyperus
Sisi p'uchqu	Acido formico
0 watakuna kñ	Anni 0 a.C.
Rapra	Ala (aeronautica)
Ñawi hampikamayuq	Oftalmologia
Achala	Gioielleria
T'iksu pampa	Piano inclinato
Reading	Reading
Saynata	Maschera
Javier Mascherano	Javier Mascherano
Mysłowice	Mysłowice
Pillku hamachi	Iris germanica
Griguryu X	Papa Gregorio X
Julie Andrews	Julie Andrews
Makabayop huk ñiqin qillqasqan	Primo libro dei Maccabei
Eusébio	Eusébio
Waynilla	Vanilla
Khipa qachu	Lolium temulentum
Binidiktu VIII	Papa Benedetto VIII
Llump'ay kamay	Igiene
Tony Curtis	Tony Curtis
Cartagena (Ispaña)	Cartagena (Spagna)
Rikuy	Vista (senso)
Kiwicha	Amaranthus caudatus
Pisqu ch'ullku	Oxalis corniculata
Paqpa yura rikch'aq ayllu	Agavoideae
Pichiw waranqaysu	Consolida regalis
Chanqu	Ranunculus aquatilis
China kalistu	Eucalyptus camaldulensis
Waq'akay (1960 kuyu walltay)	Psyco
Ezra Pound	Ezra Pound
Achira	Canna indica
Angkor	Angkor
Katari	Viperidae
Qiqiri	Corno (strumento musicale)
Binidiktu II	Papa Benedetto II
Francisco Javier	Francesco Saverio
Kawasaki (Kanagawa)	Kawasaki (Kanagawa)
Kansai suyu	Kansai
Einar Gerhardsen	Einar Gerhardsen
Thaksin Shinawatra	Thaksin Shinawatra
Ava Gardner	Ava Gardner
Tukuy mikhuq	Onnivoro
George Best	George Best
Mobutu Sese Seko	Mobutu Sese Seko
Alfredo Di Stéfano	Alfredo Di Stéfano
Vytautas Landsbergis	Vytautas Landsbergis
Ch'upu	Ascesso
Llantan	Plantago
Siwikunap Apun: Iskaynintin pukara (kuyu walltay)	Il Signore degli Anelli - Le due torri
Manuel Scorza	Manuel Scorza
Kankil	Pop corn
Q'utu	Struma
Rinda	Prunus avium
K'aspicha ruwli	Quercus robur
Lien Khuong antanka pampa	Aeroporto di Lien Khuong
Rimulacha	Beta vulgaris
Mihu	Panicum miliaceum
Mérida (Mishiku)	Mérida (Messico)
Kim Young-sam	Kim Young-sam
100 watakuna	Anni 100
Awaymantu	Physalis peruviana
100 watakuna kñ	Anni 100 a.C.
Maywood (Illinois)	Maywood (Illinois)
Anqas umiña	Turchese (minerale)
Lope de Vega	Lope de Vega
Teresina	Teresina (Brasile)
Kimsa khata sisayuq	Eudicotiledoni
Pachak Hukniyuq Dalmata Allqu	La carica dei cento e uno
Huwan XXII	Papa Giovanni XXII
Mérida suyu (Winisuyla)	Mérida (stato)
Machapu	Onda marina
Lluq'i Yupanki	Lloque Yupanqui
Yarqay	Fame
Sapa Inka	Qhapaq Inca
Manqu Qhapaq	Manco Cápac
Sinchi Ruq'a	Sinchi Roca
Mayta Qhapaq	Mayta Capac
Yawar apariy	Emorragia
Qhapaq Yupanki	Capac Yupanqui
Lelystad	Lelystad
Piluta Hayt'ay Pachantin Kupa 1974	Campionato mondiale di calcio 1974
Rurana wakichi	Applicazione (informatica)
Siwk patma	Segmento
Onega qucha	Lago Onega
Stiliyan Petrov	Stilijan Petrov
Inti yaykuy	Tramonto
San Pablo pruwinsya	Provincia di San Pablo
Sawintu	Psidium guajava
Griguryu IV	Papa Gregorio IV
Eger (Unriya)	Eger (Ungheria)
Puka pili	Anas cyanoptera
Mata unquy	Scabbia
Alan García	Alan García Pérez
Iskaynintinchaki	Diplopoda
Wik'uña	Vicugna vicugna
Haq'arwitu	Orthoptera
Gore Vidal	Gore Vidal
Lev Yashin	Lev Jašin
Domenico Scarlatti	Domenico Scarlatti
Ñawi huñuna unquy	Congiuntivite
Lluqlla	Frana
Chaki muqu	Caviglia
Chawpi p'unchaw	Mezzogiorno (parte del giorno)
Hatun yarqay	Carestia
Huq'ullu	Girino
Roger Milla	Roger Milla
Wichaykuna k'aspi	Scala (utensile)
Sopron	Sopron
Wawallku	Bambola
Vittorio Emanuele II	Vittorio Emanuele II di Savoia
Huwan II	Papa Giovanni II
Lorenzo Bernardi	Lorenzo Bernardi
California, Berkeley Yachay Suntur	Università della California, Berkeley
Anaphilaksiya	Anafilassi
Kawsaykuq tantalli ismusqa	Gangrena
Maceió	Maceió
Frank Rijkaard	Frank Rijkaard
10 watakuna kñ	Anni 10 a.C.
Llakikuy	Tristezza
Binidiktu XI	Papa Benedetto XI
Chaqrusqa	Miscela
Shaquille O'Neal	Shaquille O'Neal
Anahí	Anahí
11 ñiqin pachakwata kñ	XI secolo a.C.
Chachakumani (Chuqiyapu)	Chachacomani
Qalla iruru	Pneumatico
Griguryu XI	Papa Gregorio XI
Hulyu III	Papa Giulio III
Sach'a-sach'a qulluy	Diboscamento
1100 watakuna	Anni 1100
Ratatouille (kuyuchisqa siq'isqa)	Ratatouille (film)
Nicolás de Piérola	Nicolás de Piérola
Manuel Candamo	Manuel Candamo
Unquchiq	Microrganismo patogeno
Qillqa wayaqacha	Busta
Helena (santu)	Flavia Giulia Elena
Wanay wanu	Guano
Jinan	Jinan
Éric Cantona	Éric Cantona
Cần Thơ antanka pampa	Aeroporto di Cần Thơ
Hatun Concepción (Chili)	Gran Concepción
110 watakuna	Anni 110
110 watakuna kñ	Anni 110 a.C.
Gabriel Batistuta	Gabriel Batistuta
Blackpool	Blackpool
Binidiktu XII	Papa Benedetto XII
Takina	Melodia
Trance	Trance (musica)
T'uru	Fango
Adriano Leite Ribeiro	Adriano Leite Ribeiro
Amarumayu suyu (Winisuyla)	Amazonas (Venezuela)
Maywiy	Oscillazione
Bournemouth	Bournemouth
Kurku	Corpo (anatomia)
Gloucester	Gloucester
Huwan VIII	Papa Giovanni VIII
Karpa	Tenda (abitazione)
Binidiktu V	Papa Benedetto V
Asiy	Risata
Marucha	Pupa
Kuntur	Vultur gryphus
Wirrinatu Musuq Ispaña	Vicereame della Nuova Spagna
Techno	Techno
Santa Krus llaqta	Santa Cruz de la Sierra
Laura Pausini	Laura Pausini
Boca Juniors	Club Atlético Boca Juniors
Pedro Calderón de la Barca	Pedro Calderón de la Barca
Climinti III	Papa Clemente III
Wapsi antakuyu	Locomotiva a vapore
Pukllanamanta Willakuy	Toy Story - Il mondo dei giocattoli
Diego Rivera	Diego Rivera
Qara hampikamayuq	Dermatologia
Nyíregyháza	Nyíregyháza
K'askachakuq rimay	Lingua agglutinante
Aida	Aida
Pavel Nedvěd	Pavel Nedvěd
Ñust'awan K'ayrawan	La principessa e il ranocchio
Esztergom	Esztergom
Kecskemét	Kecskemét
Inti wayta	Helianthus annuus
Kanuwa	Canoa
Bobby Charlton	Bobby Charlton
Campinas	Campinas
Griguryu XIV	Papa Gregorio XIV
Marakaypu	Maracaibo
12 ñiqin pachakwata kñ	XII secolo a.C.
Aldo Moro	Aldo Moro
Middlesbrough	Middlesbrough
Ñupchu	Nettare (botanica)
Nanchang	Nanchang
Paka-paka	Nascondino
Yochanan Vollach	Yochanan Vollach
Georges Cuvier	Georges Cuvier
Omar Bongo	Omar Bongo
Chaki lluchk'ana	Sci (attrezzo)
Pallawan Q'arachakiwan	Lilli e il vagabondo
Liyun V	Papa Leone V
Peterborough	Peterborough
120 watakuna kñ	Anni 120 a.C.
Binidiktu III	Papa Benedetto III
120 watakuna	Anni 120
Arhintinap llaqta takin	Himno Nacional Argentino
Astor Piazolla	Astor Piazzolla
Beşiktaş JK	Beşiktaş Jimnastik Kulübü
Sanka	Palato
Teotiwakan	Teotihuacan
Karakum	Deserto del Karakum
Juan Pablo Montoya	Juan Pablo Montoya
Pichana	Scopa (strumento)
Aya mikhuq	Saprofagia
Wanaku	Lama guanicoe
Huwan XXI	Papa Giovanni XXI
Climinti IV	Papa Clemente IV
Huwan XII	Papa Giovanni XII
Achka t'asla	Poliedro
Awarank'u	Telaio (tessitura)
Kastilla	Castiglia
Santiago de Querétaro	Santiago de Querétaro
George Weah	George Weah
Carlos Reutemann	Carlos Reutemann
Veracruz	Veracruz
Éamon de Valera	Éamon de Valera
Contae Bhaile Átha Cliath	Dublino (contea)
Amachana chuku	Casco
Millq'uti	Esofago
Allqumiyu yura rikch'aq ayllu	Apocynaceae
Rubén Darío	Rubén Darío
Illwa	Raggio (geometria)
Ruud Gullit	Ruud Gullit
Changsha	Changsha
Suyt'u usiku delphin	Tursiops truncatus
Julio Cortázar	Julio Cortázar
Wilmington (Delaware)	Wilmington (Delaware)
Mutsuhito	Meiji
Abhisit Vejjajiva	Abhisit Vejjajiva
Pedro Alvares Cabral	Pedro Álvares Cabral
Q'uruta ch'uspa	Scroto
Madagaskar (kuyuchisqa siq'isqa)	Madagascar (film)
Piqwana	Pallottola
Mary McAleese	Mary McAleese
Amospa qillqasqan	Libro di Amos
29 ñiqin pachakwata kñ	XXIX secolo a.C.
Tiksicha k'allampa	Basidiomycota
Wayaqacha k'allampa	Ascomycota
Villa Alemana	Villa Alemana
Abdiyaspa qillqasqan	Libro di Abdia
United Airlines	United Airlines
Millp'uti	Faringe
Esmeralda munisipyu	Esmeralda (Bolivia)
Up	Up (film 2009)
Teresa de Jesús	Teresa d'Ávila
Wikipidiya:Ruraqta hark'ay	Wikipedia:Politiche di blocco degli utenti
13 ñiqin pachakwata kñ	XIII secolo a.C.
Punku p'anqa: Wiñay kawsay	Portale:Storia
Hatun tunqur	Trachea
Lakhdar Belloumi	Lakhdar Belloumi
Christophe Dugarry	Christophe Dugarry
La Merced Pallan	Madonna della Mercede
Piluta Hayt'ay Pachantin Kupa 2010	Campionato mondiale di calcio 2010
Takiq	Cantante
Murucha	Spora
Amarumayu sach'a-sach'a suyu	Amazzonia
Makaka	Macaca
170 watakuna	Anni 170
Maicon Douglas Sisenando	Maicon
Kalyu qullpa	Nitrato di potassio
Sankhu	Impasto
Mikhap qillqasqan	Libro di Michea
Rit'i suchuykachay	Snowboard
Sololá suyu	Dipartimento di Sololá
90 watakuna kñ	Anni 90 a.C.
Tuktunnaq sirk'ayuq	Pteridophyta
Chunka iskayniyuq uya	Dodecaedro
Ageop qillqasqan	Libro di Aggeo
Humu	Ragione
Salsa	Salsa (gastronomia)
Eseqyelpa qillqasqan	Libro di Ezechiele
Akak'ichki	Stitichezza
Mapuchi	Mapuche
Maki illapapayana	Mitra (arma)
Ruqyay phiruru	Disco in vinile
Wasa ruru rumi	Nefrolitiasi
Paolo Rossi	Paolo Rossi (calciatore)
Romario	Romário
Cafú	Cafu
15 ñiqin pachakwata kñ	XV secolo a.C.
Sindikatu	Sindacato
Binidiktu IX	Papa Benedetto IX
Cien años de soledad	Cent'anni di solitudine
Békéscsaba	Békéscsaba
Tucupita	Tucupita
Kareem Abdul-Jabbar	Kareem Abdul-Jabbar
T'uqyay	Esplosione
Waqyaykuna qillqasqa	Libro delle Lamentazioni
Yawar tikayay	Coagulazione del sangue
Kawallu yallinakuy	Equitazione
Parawayi mayu	Paraguay (fiume)
Oliver Stone	Oliver Stone
Atawallpa	Atahualpa
Ch'ultikuy	Subacquea
Sumaqchawan Sallqawan (kuyuchisqa siq'isqa)	La bella e la bestia (film 1991)
Binidiktu VII	Papa Benedetto VII
Wank'a	Statua
Huwan XVIII	Papa Giovanni XVIII
Wilancha	Sacrificio
Nahumpa qillqasqan	Libro di Naum
Habakukpa qillqasqan	Libro di Abacuc
Sakharyap qillqasqan	Libro di Zaccaria
Pedro Rodríguez Ledesma	Pedro Rodríguez Ledesma
Binidiktu VI	Papa Benedetto VI
Ahmed Ben Bella	Ahmed Ben Bella
Lirq'u	Strabismo
Yuyaychinkay	Sincope (medicina)
Lincoln (Lincolnshire)	Lincoln (Regno Unito)
Ben-Hur (1959 kuyu walltay)	Ben-Hur (film 1959)
Lilian Thuram	Lilian Thuram
Christopher Lee	Christopher Lee
Yosemite mamallaqta parki	Parco nazionale di Yosemite
Wapiti	Cervus elaphus canadensis
Wasi ukhu	Stanza (architettura)
Azpeitia	Azpeitia
Garrincha	Garrincha
Mario Kempes	Mario Kempes
Dino Zoff	Dino Zoff
14 ñiqin pachakwata kñ	XIV secolo a.C.
Lata phukuna waqachina	Ottoni (musica)
Mark Spitz	Mark Spitz
Elemento	Elemento
Sunqup'iti nanay	Angina pectoris
Bács-Kiskun	Provincia di Bács-Kiskun
Sayri	Nicotiana tabacum
Qiru phukuna waqachina	Legni
Szolnok	Szolnok
Mahathir bin Mohamad	Mahathir Mohamad
Suchuqrampa	Slitta
Winchu	Magnetite
Kutupaksi	Cotopaxi
Darling mayu	Darling (fiume)
Kau-hiyun	Kaohsiung
Hampina	Paziente
Ñañu tunqur	Bronco
Qullqa	Magazzino
Huk nasyunkuna rimanakuy qhawaq	Politica estera
Chimpapura uyayuq	Parallelepipedo
Agostinho Neto	Agostinho Neto
Tirisa Lisieuxmanta	Teresa di Lisieux
Nnamdi Azikiwe	Nnamdi Azikiwe
Contae Cheatharlach	Carlow (contea)
Huwan XIII	Papa Giovanni XIII
Huwan XI	Papa Giovanni XI
Naha	Naha
Kuru k'arachiq	Hydrozoa
Agostino Casaroli	Agostino Casaroli
Marakaypu qucha	Lago di Maracaibo
Antawakuna (kuyuchisqa siq'isqa)	Cars - Motori ruggenti
Surkay	Sbadiglio
Puruma munisipyu	Poroma
Benito Juárez	Benito Juárez
Tuwi puma	Puma yagouaroundi
Peter Schmeichel	Peter Schmeichel
José Sócrates Carvalho Pinto de Sousa	José Sócrates
Lars Løkke Rasmussen	Lars Løkke Rasmussen
Alberto Gilardino	Alberto Gilardino
Wilt Chamberlain	Wilt Chamberlain
Janet Gaynor	Janet Gaynor
Binidiktu IV	Papa Benedetto IV
Liyun VII	Papa Leone VII
Ruranakuy paqtachani	Equazione chimica
Rod Stewart	Rod Stewart
Kunming	Kunming
Simi hawa tullu	Osso mascellare
Pura-pura qara	Malacostraca
Q'uncha	Cucina (elettrodomestico)
Sut'i	Significato
Fabio Capello	Fabio Capello
Quchapampa	Cochabamba
