Afelika	Africa
Kalasi:Bapolitiki ya Repubilika ya Kongo	Categoria:Politici congolesi (Repubblica del Congo)
Kalasi:Bapolitiki ya Fwalansa	Categoria:Politici francesi
Kalasi:Albania	Categoria:Albania
Kalasi:Université en Italia	Categoria:Università in Italia
Kalasi:Andalucía	Categoria:Andalusia
Kalasi:Dalapo	Categoria:Bandiere
The Prodigy	The Prodigy
Mwela	Aria
Kalasi:Málaga	Categoria:Málaga
Kalasi:Bizunga ya Repubilika ya Kongo	Categoria:Regioni della Repubblica del Congo
Trojany	Trojany
Kalasi:Bizunga ya Repubilika ya Kongo ya Dimokalasi	Categoria:Province della Repubblica Democratica del Congo
Kalasi:Soria	Categoria:Soria
Kalasi:Kizunga ya Albania	Categoria:Prefetture dell'Albania
Kalasi:Babantu	Categoria:Città
Kipele-pele	Farfalla
Special:RecentChanges	Speciale:UltimeModifiche
