Āfrika	Africa
Anālais sekss	Sesso anale
1948. gada Vasaras Olimpiskās spēles	Giochi della XIV Olimpiade
1952. gada Vasaras Olimpiskās spēles	Giochi della XV Olimpiade
Aleksandrs Lielais	Alessandro Magno
1956. gada Vasaras Olimpiskās spēles	Giochi della XVI Olimpiade
Konstantīns I	Costantino I
1960. gada Vasaras Olimpiskās spēles	Giochi della XVII Olimpiade
Rokasbumba	Pallamano
1964. gada Vasaras Olimpiskās spēles	Giochi della XVIII Olimpiade
Aeroinženierija	Aeronautica
Kīrs Lielais	Ciro II di Persia
Aerodinamika	Aerodinamica
Sabiedrība	Società (sociologia)
1968. gada Vasaras Olimpiskās spēles	Giochi della XIX Olimpiade
Civilizācija	Civiltà
Izglītība	Educazione
Ģimene	Famiglia
1972. gada Vasaras Olimpiskās spēles	Giochi della XX Olimpiade
Ugo Čavess	Hugo Chávez
Vīrietis	Uomo (genere)
Oto fon Bismarks	Otto von Bismarck
1976. gada Vasaras Olimpiskās spēles	Giochi della XXI Olimpiade
Laulība	Matrimonio
Kurts Kobeins	Kurt Cobain
Vikipēdija franču valodā	Wikipedia in francese
Vikipēdija spāņu valodā	Wikipedia in spagnolo
1980. gada Vasaras Olimpiskās spēles	Giochi della XXII Olimpiade
Aborts	Aborto
Nāvessods	Pena di morte
1984. gada Vasaras Olimpiskās spēles	Giochi della XXIII Olimpiade
Korredžo	Correggio (pittore)
Cilvēktiesības	Diritti umani
Rasisms	Razzismo
Timurs	Tamerlano
Verdzība	Schiavismo
Pilsoņu karš	Guerra civile
1. FC Kaiserslautern	1. Fußball-Club Kaiserslautern
Umars Ibnelhatābs	ʿUmar ibn al-Khaṭṭāb
1988. gada Vasaras Olimpiskās spēles	Giochi della XXIV Olimpiade
Redžo di Kalabrija	Reggio Calabria
Karaspēks	Militare
Suleimans I	Solimano il Magnifico
Interpols	Interpol
Pēteris I	Pietro I di Russia
Krūšu kauls	Sterno
Kafija	Caffè
1992. gada Vasaras Olimpiskās spēles	Giochi della XXV Olimpiade
Sula	Succo di frutta
Amudarja	Amu Darya
Piens	Latte
Kalns	Montagna
Datubāze	Base di dati
Tuksnesis	Deserto
Futbola laukums	Campo da calcio
Vahša	Vahš
1996. gada Vasaras Olimpiskās spēles	Giochi della XXVI Olimpiade
The Big Bang Theory	Big Bang Theory
2000. gada Vasaras Olimpiskās spēles	Giochi della XXVII Olimpiade
Deikstras algoritms	Algoritmo di Dijkstra
Edsgers Deikstra	Edsger Dijkstra
2004. gada Vasaras Olimpiskās spēles	Giochi della XXVIII Olimpiade
2008. gada Vasaras Olimpiskās spēles	Giochi della XXIX Olimpiade
Suņs Jisjaņs	Sun Yat-sen
2012. gada Vasaras Olimpiskās spēles	Giochi della XXX Olimpiade
Saladīns	Saladino
Ašoka	Ashoka
Akbars Lielais	Akbar
Simons Bolivars	Simón Bolívar
Hipnoze	Ipnosi
Endrū Džonsons	Andrew Johnson
2016. gada Vasaras Olimpiskās spēles	Giochi della XXXI Olimpiade
Kvame Nkruma	Kwame Nkrumah
Jidišs	Lingua yiddish
Honkonga	Hong Kong
Maiami	Miami
Karāči	Karachi
Korejas karš	Guerra di Corea
Vēršu Dzinējs	Boote
Arābu—izraēliešu konflikts	Conflitti arabo-israeliani
Lagosa	Lagos
Pūķis (zvaigznājs)	Dragone (costellazione)
Amerikas pilsoņu karš	Guerra di secessione americana
Riodežaneiro	Rio de Janeiro
Zivis (zvaigznājs)	Pesci (costellazione)
Lielbritānijas impērija	Impero britannico
Madrides @@@u0026Real@@@u0026 (futbols)	Real Madrid Club de Fútbol
Aukstais karš	Guerra fredda
Seula	Seul
Džona Kenedija starptautiskā lidosta	Aeroporto Internazionale John F. Kennedy
Šanhaja	Shanghai
Bilbao @@@u0026Athletic"	Athletic Club
Kultūras revolūcija	Grande rivoluzione culturale
Hītrovas lidosta	Aeroporto di Londra-Heathrow
Bilbao	Bilbao
Kosviga	Coswig
Lielā depresija	Grande depressione
Madrides @@@u0026Atletico"	Club Atlético de Madrid
Volts Disnejs	Walt Disney
Meidzi restaurācija	Rinnovamento Meiji
Grēdica	Gröditz
Grosenhaina	Großenhain
Sevilja	Siviglia
Seviljas @@@u0026Real Betis"	Real Betis Balompié
1917. gada Krievijas revolūcija	Rivoluzione russa
Cjinu dinastija	Dinastia Qing
Lommača	Lommatzsch
Mīdieši	Medi
Versaļas līgums	Trattato di Versailles (1919)
Meisene	Meißen
Arhimēds	Archimede
Vjetnamas karš	Guerra del Vietnam
Tomass Edisons	Thomas Edison
Bigo	Vigo (Spagna)
Eiklīds	Euclide
Albāņu valoda	Lingua albanese
Bigo @@@u0026Celta"	Real Club Celta de Vigo
Maikls Faradejs	Michael Faraday
Nosene	Nossen
Basku valoda	Lingua basca
Enriko Fermi	Enrico Fermi
Akoruņa	La Coruña
Akoruņas @@@u0026Deportivo"	Real Club Deportivo de La Coruña
Rādebeile	Radebeul
Fibonači	Leonardo Fibonacci
Aragoniešu valoda	Lingua aragonese
British Airways	British Airways
DNS (protokols)	Domain Name System
Henrijs Fords	Henry Ford
Rādeburga	Radeburg
Žozefs Furjē	Jean Baptiste Joseph Fourier
Rīza	Riesa
HTTP	Hypertext Transfer Protocol
Galēns	Galeno
RCD Espanyol	Reial Club Deportiu Espanyol de Barcelona
Armēņu valoda	Lingua armena
Kriptogrāfija	Crittografia
Štrēla	Strehla
Internet Protocol	Internet Protocol
Ukraiņu valoda	Lingua ucraina
Baits	Byte
TCP	Transmission Control Protocol
Bits	Bit
Getafe Club de Fútbol	Getafe Club de Fútbol
Granada	Granada
HTML	HTML
Ogistēns Košī	Augustin-Louis Cauchy
ASCII	ASCII
Valensija (Spānija)	Valencia
Unikods	Unicode
Melnkalniešu valoda	Lingua montenegrina
Palma (pilsēta)	Palma di Maiorca
Maļorka	Maiorca
Žirafe (zvaigznājs)	Giraffa (costellazione)
Real Club Deportivo Mallorca	Real Club Deportivo Mallorca
Zelta Zivs	Dorado (costellazione)
Valis (zvaigznājs)	Balena (costellazione)
Jaunava (zvaigznājs)	Vergine (costellazione)
Centaurs (zvaigznājs)	Centauro (costellazione)
Valansa	Valence (Drôme)
Vēzis (zvaigznājs)	Cancro (costellazione)
Malaga	Málaga
Lauva (zvaigznājs)	Leone (costellazione)
Málaga CF	Málaga Club de Fútbol
Orions (zvaigznājs)	Orione (costellazione)
Pegazs (zvaigznājs)	Pegaso (costellazione)
Skorpions (zvaigznājs)	Scorpione (costellazione)
Strēlnieks (zvaigznājs)	Sagittario (costellazione)
Satjadžits Rejs	Satyajit Ray
Stīvens Spīlbergs	Steven Spielberg
Eiropas Komisija	Commissione europea
Eiropadome	Consiglio europeo
Eiropas Parlaments	Parlamento europeo
Eiropas Savienības Padome	Consiglio dell'Unione europea
Eiropas Revīzijas palāta	Corte dei conti europea
Eiropas Centrālā banka	Banca centrale europea
Čūsknesis	Ofiuco
Eiropas Padome	Consiglio d'Europa
Čūska (zvaigznājs)	Serpente (costellazione)
Krāsns (zvaigznājs)	Fornace (costellazione)
Lielais Lācis	Orsa Maggiore
Eiropas Atomenerģijas kopiena	Comunità europea dell'energia atomica
Gulbis (zvaigznājs)	Cigno (costellazione)
Dvīņi (zvaigznājs)	Gemelli (costellazione)
Mariona Kotijāra	Marion Cotillard
Zvaigznājs	Costellazione
Eiropas Ekonomiskā telpa	Spazio economico europeo
Johans Gūtenbergs	Johannes Gutenberg
Džeimss Preskots Džouls	James Prescott Joule
Johanness Keplers	Giovanni Keplero
Kankuna	Cancún
Gvadalahara	Guadalajara
Mo Jaņs	Mo Yan
Šafhauzene	Sciaffusa
Makss Planks	Max Planck
Gvadalahara (Meksika)	Guadalajara (Messico)
Zviedru valoda	Lingua svedese
Dāņu valoda	Lingua danese
Nikola Tesla	Nikola Tesla
Al-Horezmī	Muhammad ibn Musa al-Khwarizmi
Džeimss Vats	James Watt
Norvēģu valoda	Lingua norvegese
Čānakja	Chanakya
Gotfrīds Leibnics	Gottfried Wilhelm von Leibniz
Noams Čomskis	Noam Chomsky
Luksemburgiešu valoda	Lingua lussemburghese
Čehu valoda	Lingua ceca
Slovāku valoda	Lingua slovacca
Kārlis Markss	Karl Marx
Slovēņu valoda	Lingua slovena
Valters Dikss	Walter Dix
Ungāru valoda	Lingua ungherese
Voltērs	Voltaire
Igauņu valoda	Lingua estone
Šons Krofords	Shawn Crawford
Mozus	Mosè
Latviešu valoda	Lingua lettone
Lešons Merits	LaShawn Merritt
Zināšanas	Conoscenza
Lietuviešu valoda	Lingua lituana
Džeremijs Voriners	Jeremy Wariner
Hinduisms	Induismo
Baltkrievu valoda	Lingua bielorussa
Hosē Muhika	José Mujica
Džeimss Maksvels	James Clerk Maxwell
Monako Grand Prix	Gran Premio di Monaco
Krūts	Mammella
Dmitrijs Mendeļejevs	Dmitrij Ivanovič Mendeleev
Klusā okeāna Grand Prix	Gran Premio del Pacifico
Peskāras Grand Prix	Gran Premio di Pescara
Portugāles Grand Prix	Gran Premio del Portogallo
Kenenisa Bekele	Kenenisa Bekele
Atoms	Atomo
Sanmarīno Grand Prix	Gran Premio di San Marino
Ernests Rezerfords	Ernest Rutherford
Vintertūra	Winterthur
Gaisma	Luce
Grieķu valoda	Lingua greca
Ervīns Šrēdingers	Erwin Schrödinger
Mitoloģija	Mitologia
Operētājsistēma	Sistema operativo
Singapūras Grand Prix	Gran Premio di Singapore
Brimins Kipruto	Brimin Kipruto
Tadžmahāls	Taj Mahal
Īru valoda	Lingua irlandese
Programmēšanas valoda	Linguaggio di programmazione
Pingvīnu dzimta	Spheniscidae
Fundamentālisms	Fondamentalismo
Dajrons Robless	Dayron Robles
E-pasts	Posta elettronica
Monoteisms	Monoteismo
Josips Brozs Tito	Josip Broz Tito
Politeisms	Politeismo
Dvēsele	Anima
Maltiešu valoda	Lingua maltese
Persiešu valoda	Lingua persiana
Reliģija	Religione
Korejiešu valoda	Lingua coreana
Ābrams	Abramo
Radīšanas grāmata	Genesi
Kantoniešu dialekts	Lingua cantonese
Empire State Building	Empire State Building
Izceļošanas grāmata	Libro dell'Esodo
Renē Dekarts	Cartesio
Mandarīnu valoda	Lingua cinese mandarino
Vjetnamiešu valoda	Lingua vietnamita
Svētais Pāvils	Paolo di Tarso
Brīvības statuja	Statua della Libertà
Klaivs Steiplss Lūiss	C. S. Lewis
Khmeru valoda	Lingua khmer
Spānijas Grand Prix	Gran Premio di Spagna
ASV Grand Prix	Gran Premio degli Stati Uniti d'America
Laosiešu valoda	Lingua lao
ASV Armija	United States Army
Detroitas Grand Prix	Gran Premio degli Stati Uniti d'America-Est
Zigmunds Freids	Sigmund Freud
Taju valoda	Lingua thailandese
ASV Rietumu Grand Prix	Gran Premio degli Stati Uniti d'America-Ovest
Zviedrijas Grand Prix	Gran Premio di Svezia
Šveices Grand Prix	Gran Premio di Svizzera
Dienvidāfrikas Grand Prix	Gran Premio del Sudafrica
Birmiešu valoda	Lingua birmana
Turcijas Grand Prix	Gran Premio di Turchia
Kategorija:Zvaigznāji	Categoria:Costellazioni
Džainisms	Giainismo
Ungārijas Grand Prix	Gran Premio d'Ungheria
Georgs Vilhelms Frīdrihs Hēgelis	Georg Wilhelm Friedrich Hegel
Malajiešu valoda	Lingua malese
Indonēziešu valoda	Lingua indonesiana
Mongoļu valoda	Lingua mongola
Baku	Baku
Pūpe (zvaigznājs)	Poppa (costellazione)
Kazahu valoda	Lingua kazaka
Altāris (zvaigznājs)	Altare (costellazione)
Kirgīzu valoda	Lingua kirghisa
Andromeda (zvaigznājs)	Andromeda (costellazione)
UNESCO Pasaules mantojuma objekts	Patrimonio dell'umanità
Tadžiku valoda	Lingua tagica
Asterisms	Asterismo
Uzbeku valoda	Lingua uzbeca
Salāti (ēdiens)	Insalata
Turkmēņu valoda	Lingua turkmena
Jūdaisms	Ebraismo
Thimphu	Thimphu
Bandarseribegavana	Bandar Seri Begawan
Kauss (zvaigznājs)	Cratere (costellazione)
Berenikes Mati	Chioma di Berenice (costellazione)
Tēlnieks (zvaigznājs)	Scultore (costellazione)
Ivrits	Lingua ebraica
Galds (zvaigznājs)	Mensa (costellazione)
Azerbaidžāņu valoda	Lingua azera
Ibn Haldūns	Ibn Khaldun
Maķedoniešu valoda	Lingua macedone
Serbu valoda	Lingua serba
Serbohorvātu valoda	Lingua serbo-croata
Delfīns (zvaigznājs)	Delfino (costellazione)
Bosniešu valoda	Lingua bosniaca
Mazais Suns	Cane Minore
Galisiešu valoda	Lingua gallega
Velsiešu valoda	Lingua gallese
Dili	Dili
Imanuels Kants	Immanuel Kant
Skotu gēlu valoda	Lingua gaelica scozzese
Sikhisms	Sikhismo
Džons Meinards Keinss	John Maynard Keynes
Tintoreto	Tintoretto
Lufthansa	Lufthansa
Vjenčana	Vientiane
Gijs de Mopasāns	Guy de Maupassant
Uzvedība	Comportamento
Laodzi	Laozi
Gmail	Gmail
Google Drive	Google Drive
Google Docs	Google Documenti
Male	Malé
Picasa	Picasa
Joga	Yoga
Pikaču	Pikachu
Džons Loks	John Locke
Frīdrihs Nīče	Friedrich Nietzsche
Biškeka	Biškek
Žans Pols Sartrs	Jean-Paul Sartre
Dušanbe	Dušanbe
Google meklētājs	Google
Aknas	Fegato
Liesa	Milza
Simacjaņs	Sima Qian
Nieres	Rene
Ādams Smits	Adam Smith
Urīnpūslis	Vescica urinaria
Sēklinieks	Testicolo
Urīnvads	Uretere
Urīnizvadkanāls	Uretra
Maksis Vēbers	Max Weber
Ludvigs Vitgenšteins	Ludwig Wittgenstein
Truši	Coniglio
Džu Sji	Zhu Xi
Nervu sistēma	Sistema nervoso
Vilkacis	Licantropo
Emocijas	Emozione
Psiholoģija	Psicologia
Domāšana	Pensiero
Džeks Nikleuss	Jack Nicklaus
Timbuktu	Timbuctù
Okeāns	Oceano
Arnolds Pālmers	Arnold Palmer
Akvīnas Toms	Tommaso d'Aquino
Viktorija (Lielbritānija)	Vittoria del Regno Unito
Sidhārta Gautama	Gautama Buddha
Lietus mežs	Foresta pluviale
Pīts Samprass	Pete Sampras
Anglijas futbola Premjerlīga	Premier League
Dialektika	Dialettica
Velebaijs Patels	Vallabhbhai Patel
Muhameds	Maometto
Ētika	Etica
Epistemoloģija	Epistemologia
Gribas brīvība	Libero arbitrio
IPod	IPod
Vāveres	Sciuridae
Sačins Tendulkars	Sachin Tendulkar
Lidvāveres	Scoiattolo volante
Varbūtība	Probabilità
Anglijas Futbola asociācija	Federazione calcistica dell'Inghilterra
Īstenība	Realtà
Elpošana	Respirazione
BBC	BBC
Šāhruhs Hāns	Shah Rukh Khan
Bāddoberāna	Bad Doberan
Tonijs Blērs	Tony Blair
Al Gazāli	Al-Ghazali
Mārtiņš Luters	Martin Lutero
Džons Meidžors	John Major
Amitābs Bačens	Amitabh Bachchan
Džeimss Kelahans	James Callaghan
Burgosa	Burgos (Spagna)
Konfūcisms	Confucianesimo
Džeralds Fords	Gerald Ford
1924. gada Ziemas Olimpiskās spēles	I Giochi olimpici invernali
Honda	Honda
Šiītu islāms	Sciismo
Ričards Niksons	Richard Nixon
1928. gada Ziemas Olimpiskās spēles	II Giochi olimpici invernali
Romas Katoļu baznīca	Chiesa cattolica
Trimūrti	Trimurti
1932. gada Ziemas Olimpiskās spēles	III Giochi olimpici invernali
Vēders	Addome
Daoisms	Taoismo
1936. gada Ziemas Olimpiskās spēles	IV Giochi olimpici invernali
Zoroastrisms	Zoroastrismo
Sūfisms	Sufismo
Muguras smadzenes	Midollo spinale
1940. gada Ziemas Olimpiskās spēles	Giochi olimpici invernali 1940
Vēnas	Vena
Bengāļu valoda	Lingua bengalese
Dzemde	Utero
1944. gada Ziemas Olimpiskās spēles	Giochi olimpici invernali 1944
Mēle	Lingua (anatomia)
1948. gada Ziemas Olimpiskās spēles	V Giochi olimpici invernali
Chelsea F.C.	Chelsea Football Club
Arsenal FC	Arsenal Football Club
Aizkuņģa dziedzeris	Pancreas
Nervs	Nervo
Cilvēka skelets	Scheletro (anatomia umana)
1952. gada Ziemas Olimpiskās spēles	VI Giochi olimpici invernali
Liberālie demokrāti	Liberal Democratici (Regno Unito)
Priekšdziedzeris	Prostata
Konservatīvā partija (Apvienotā Karaliste)	Partito Conservatore (Regno Unito)
Vēderplēve	Peritoneo
Leiboristu partija (Apvienotā Karaliste)	Partito Laburista (Regno Unito)
Olnīca	Ovaia
1956. gada Ziemas Olimpiskās spēles	VII Giochi olimpici invernali
Kakls	Collo
1960. gada Ziemas Olimpiskās spēles	VIII Giochi olimpici invernali
Mute	Bocca
1964. gada Ziemas Olimpiskās spēles	IX Giochi olimpici invernali
Balsene	Laringe
Neibūkova	Neubukow
Zarnas	Intestino
Lindons Džonsons	Lyndon B. Johnson
1968. gada Ziemas Olimpiskās spēles	X Giochi olimpici invernali
Locītava	Articolazione
1972. gada Ziemas Olimpiskās spēles	XI Giochi olimpici invernali
Dziedzeris	Ghiandola
Folklenda Salas	Isole Falkland
Gremošanas orgānu sistēma	Sistema digerente
1976. gada Ziemas Olimpiskās spēles	XII Giochi olimpici invernali
1980. gada Ziemas Olimpiskās spēles	XIII Giochi olimpici invernali
Ipswich Town F.C.	Ipswich Town Football Club
Diafragma	Muscolo diaframma
Artērijas	Arteria
1984. gada Ziemas Olimpiskās spēles	XIV Giochi olimpici invernali
1988. gada Ziemas Olimpiskās spēles	XV Giochi olimpici invernali
A	A
1992. gada Ziemas Olimpiskās spēles	XVI Giochi olimpici invernali
Kodols (operētājsistēma)	Kernel
1994. gada Ziemas Olimpiskās spēles	XVII Giochi olimpici invernali
1998. gada Ziemas Olimpiskās spēles	XVIII Giochi olimpici invernali
2002. gada Ziemas Olimpiskās spēles	XIX Giochi olimpici invernali
Mihaels Šūmahers	Michael Schumacher
2006. gada Ziemas Olimpiskās spēles	XX Giochi olimpici invernali
Luiss Hamiltons	Lewis Hamilton
2010. gada Ziemas Olimpiskās spēles	XXI Giochi olimpici invernali
Menas Sala	Isola di Man
2014. gada Ziemas Olimpiskās spēles	XXII Giochi olimpici invernali
Vaita	Isola di Wight
2018. gada Ziemas Olimpiskās spēles	XXIII Giochi olimpici invernali
Elizabete II Vindzora	Elisabetta II del Regno Unito
Tanu dinastija	Dinastia Tang
The New York Times	The New York Times
Princese Diāna	Diana Spencer
ß	ß
Henrijs Pērsels	Henry Purcell
Džons Kenedijs	John Fitzgerald Kennedy
B	B
Onorē de Balzaks	Honoré de Balzac
Sperma	Sperma
Džoakīno Rosīni	Gioachino Rossini
Klasiskā mūzika	Musica classica
Simfonija	Sinfonia
G	G
U	U
Z	Z
Blūzs	Blues
Flamenko	Flamenco
F	F
J	J
Elektroniskā mūzika	Musica elettronica
Alfabēts	Alfabeto
Regejs	Reggae
Saksofons	Sassofono
Hērlena	Heerlen
T	T
C	C
Eindhovena	Eindhoven
R	R
D	D
Alfa	Alfa (lettera)
Omega	Omega (lettera)
I	I
Mī	Mi (lettera)
Minu dinastija	Dinastia Ming
E	E
H	H
Dvaits Eizenhauers	Dwight D. Eisenhower
Hārlema	Haarlem
K	K
L	L
M	M
Fanta	Fanta
N	N
O	O
P	P
Q	Q
S	S
Ronalds Reigans	Ronald Reagan
V	V
W	W
X	X
Y	Y
Zandvorta	Zandvoort
Vikipēdija nīderlandiešu valodā	Wikipedia in olandese
Enshede	Enschede
Fī	Phi (lettera)
Lindsija Vona	Lindsey Vonn
Tina Maze	Tina Maze
Maisūru	Mysore
Džūlija Mankuso	Julia Mancuso
Janica Kosteliča	Janica Kostelić
Marija Hefla-Rīša	Maria Riesch
Viktorija Rebensburga	Viktoria Rebensburg
Anja Hūbere	Anja Selbach
Viktorija Azarenka	Viktoryja Azaranka
Laura Robsone	Laura Robson
Endijs Marijs	Andy Murray
Fransisko Varaljo	Francisco Varallo
Rafaels Nadals	Rafael Nadal
Svetonijs	Gaio Svetonio Tranquillo
LibreOffice	LibreOffice
2002. gada Eirovīzijas dziesmu konkurss	Eurovision Song Contest 2002
2003. gada Eirovīzijas dziesmu konkurss	Eurovision Song Contest 2003
2004. gada Eirovīzijas dziesmu konkurss	Eurovision Song Contest 2004
2005. gada Eirovīzijas dziesmu konkurss	Eurovision Song Contest 2005
2006. gada Eirovīzijas dziesmu konkurss	Eurovision Song Contest 2006
2007. gada Eirovīzijas dziesmu konkurss	Eurovision Song Contest 2007
2008. gada Eirovīzijas dziesmu konkurss	Eurovision Song Contest 2008
2009. gada Eirovīzijas dziesmu konkurss	Eurovision Song Contest 2009
2010. gada Eirovīzijas dziesmu konkurss	Eurovision Song Contest 2010
2011. gada Eirovīzijas dziesmu konkurss	Eurovision Song Contest 2011
2012. gada Eirovīzijas dziesmu konkurss	Eurovision Song Contest 2012
2013. gada Eirovīzijas dziesmu konkurss	Eurovision Song Contest 2013
Zulu valoda	Lingua zulu
Zunu valoda	Lingua zuni
Zazaki valoda	Lingua zazaki
Indijas Nacionālais kongress	Congresso Nazionale Indiano
Plazma	Plasma (fisica)
Lamanša tunelis	Tunnel della Manica
Pitagors	Pitagora
Jarko Nieminens	Jarkko Nieminen
Pamplona	Pamplona
Kolizejs	Colosseo
CA Osasuna	Club Atlético Osasuna
Partenons	Partenone
Nabadzība	Povertà
Rayo Vallecano	Rayo Vallecano de Madrid
Saragosa	Saragozza
Saragosas @@@u0026Real"	Real Zaragoza
Sansebastjana	San Sebastián
Sansebastjanas @@@u0026Real Sociedad"	Real Sociedad de Fútbol
Sevilla FC	Sevilla Fútbol Club
Valencia CF	Valencia Club de Fútbol
Kardioloģija	Cardiologia
Banduna	Bandung
Džons Makeins	John McCain
Almerija	Almería
Mazais Lauva	Leone Minore
Ziemeļu Vainags	Corona Boreale
Dienvidu Zivs	Pesce Australe
Dienvidu Vainags	Corona Australe
Dienvidu Hidra	Idra Maschio
Dienvidu Trīsstūris	Triangolo Australe
Balodis (zvaigznājs)	Colomba (costellazione)
Vienradzis (zvaigznājs)	Unicorno (costellazione)
Ķirzaka (zvaigznājs)	Lucertola (costellazione)
Eridāna	Eridano (costellazione)
Muša (zvaigznājs)	Mosca (costellazione)
Lidojošā Zivs (zvaigznājs)	Pesce Volante (costellazione)
Mazais Zirgs	Cavallino (costellazione)
Fēnikss (zvaigznājs)	Fenice (costellazione)
Lūsis (zvaigznājs)	Lince (costellazione)
Zaķis (zvaigznājs)	Lepre (costellazione)
Herkuless (zvaigznājs)	Ercole (costellazione)
Indiānis (zvaigznājs)	Indiano (costellazione)
Medību Suņi	Cani da Caccia (costellazione)
Hameleons (zvaigznājs)	Camaleonte (costellazione)
Kasiopeja	Cassiopea (costellazione)
Cefejs (zvaigznājs)	Cefeo (costellazione)
Kuģa Ķīlis	Carena (costellazione)
Kompass (zvaigznājs)	Bussola (costellazione)
Vedējs	Auriga (costellazione)
Mazais Lācis	Orsa Minore
Katrīna, Kembridžas hercogiene	Catherine Middleton
Sūknis (zvaigznājs)	Macchina Pneumatica
Lira (zvaigznājs)	Lira (costellazione)
Gleznotājs (zvaigznājs)	Pittore (costellazione)
Greblis	Bulino (costellazione)
Airtons Senna	Ayrton Senna
Mikroskops (zvaigznājs)	Microscopio (costellazione)
Alēns Prosts	Alain Prost
Tīkliņš	Reticolo (costellazione)
Naidžels Mensels	Nigel Mansell
Oktants (zvaigznājs)	Ottante (costellazione)
Deimons Hills	Damon Hill
Paradīzes Putns	Uccello del Paradiso (costellazione)
Cirkulis (zvaigznājs)	Compasso (costellazione)
Džensons Batons	Jenson Button
Persejs (zvaigznājs)	Perseo (costellazione)
Bulta (zvaigznājs)	Freccia (costellazione)
Fernando Alonso	Fernando Alonso
Pāvs (zvaigznājs)	Pavone (costellazione)
Krauklis (zvaigznājs)	Corvo (costellazione)
Lapsiņa	Volpetta (costellazione)
Deivids Bekhems	David Beckham
Buras (zvaigznājs)	Vele (costellazione)
Bādtelcas-Volfratshauzenes apriņķis	Circondario di Bad Tölz-Wolfratshausen
Raiens Gigss	Ryan Giggs
Sekstants (zvaigznājs)	Sestante (costellazione)
Vairogs (zvaigznājs)	Scudo (costellazione)
Mežāzis	Capricorno (costellazione)
Lielais Suns	Cane Maggiore
Dienvidu Krusts	Croce del Sud
Teleskops (zvaigznājs)	Telescopio (costellazione)
Dzērve (zvaigznājs)	Gru (costellazione)
Trīsstūris (zvaigznājs)	Triangolo (costellazione)
Saskatūna	Saskatoon
Tukāns (zvaigznājs)	Tucano (costellazione)
Vērsis (zvaigznājs)	Toro (costellazione)
Vilks (zvaigznājs)	Lupo (costellazione)
Pulkstenis (zvaigznājs)	Orologio (costellazione)
Ūdensvīrs	Aquario (costellazione)
Hidra (zvaigznājs)	Idra (costellazione)
Svari (zvaigznājs)	Bilancia (costellazione)
Leņķmērs (zvaigznājs)	Regolo (costellazione)
Auns (zvaigznājs)	Ariete (costellazione)
Bens Fosters	Benjamin Foster
Ērglis (zvaigznājs)	Aquila (costellazione)
Kategorija:Pūķis (zvaigznājs)	Categoria:Costellazione del Dragone
Kategorija:Zivis (zvaigznājs)	Categoria:Costellazione dei Pesci
Ešlijs Jangs	Ashley Young
Kategorija:Žirafe (zvaigznājs)	Categoria:Costellazione della Giraffa
Elizabete Bousa-Laiona	Elizabeth Bowes-Lyon
Kategorija:Valis (zvaigznājs)	Categoria:Costellazione della Balena
Kategorija:Centaurs (zvaigznājs)	Categoria:Costellazione del Centauro
Kategorija:Lauva (zvaigznājs)	Categoria:Costellazione del Leone
Gordons Brauns	Gordon Brown
Kategorija:Orions (zvaigznājs)	Categoria:Costellazione di Orione
Kategorija:Pegazs (zvaigznājs)	Categoria:Costellazione di Pegaso
Kategorija:Skorpions (zvaigznājs)	Categoria:Costellazione dello Scorpione
Kategorija:Strēlnieks (zvaigznājs)	Categoria:Costellazione del Sagittario
Kategorija:Krāsns (zvaigznājs)	Categoria:Costellazione della Fornace
1100. gads	1100
Kategorija:Gulbis (zvaigznājs)	Categoria:Costellazione del Cigno
Kategorija:Dvīņi (zvaigznājs)	Categoria:Costellazione dei Gemelli
Nevils Čemberlens	Neville Chamberlain
Kims Čenirs	Kim Jong-il
Kategorija:Venecuēla	Categoria:Venezuela
Kategorija:Venecuēlas vēsture	Categoria:Storia del Venezuela
Sega Mega Drive	Sega Mega Drive
PlayStation	PlayStation
PlayStation 2	PlayStation 2
PlayStation 3	PlayStation 3
Belfāsta	Belfast
Kārdifa	Cardiff
Ķīmisko elementu periodiskā tabula	Tavola periodica degli elementi
Touršhavna	Tórshavn
Roberts Mugabe	Robert Mugabe
Red Hot Chili Peppers	Red Hot Chili Peppers
@	@
Džordžtauna (Gajāna)	Georgetown (Guyana)
Pašnāvība	Suicidio
Dveins Džonsons	Dwayne Johnson
Bādlauzika	Bad Lausick
Spānijas autonomie apgabali	Comunità autonome della Spagna
Bēlene	Böhlen (Sassonia)
Borna	Borna
Brandisa	Brandis
Koldica	Colditz
Froburga	Frohburg
Geithaina	Geithain
Groiča	Groitzsch
Kičere	Kitzscher
Korenzālisa	Kohren-Sahlis
Markranštete	Markranstädt
Naunhofa	Naunhof
Pēgava	Pegau
Rēgisa-Breitingene	Regis-Breitingen
Rēta (Saksija)	Rötha
Trebzene/Mulde	Trebsen/Mulde
Cvenkava	Zwenkau
Grimma	Grimma
Marklēberga	Markkleeberg
Vurcene	Wurzen
Cūkas	Sus (zoologia)
2001. gada 11. septembra uzbrukums ASV	Attentati dell'11 settembre 2001
Rāpuļi	Reptilia
Sprādzieni Londonā 2005. gada 7. jūlijā	Attentati del 7 luglio 2005 a Londra
Marjano Rahojs	Mariano Rajoy
Grauzēji	Rodentia
Baložu dzimta	Columbidae
Spānijas pilsoņu karš	Guerra civile spagnola
Arheji	Archaea
Aklums	Cecità
Baktērijas	Bacteria
Koks	Albero
Protisti	Protista
Lambda	Lambda
Abinieki	Amphibia
Hordaiņi	Chordata
Anonymous	Anonymous
