Afrik	Africa
1773 (almanak gregoryen)	1773
1861 (almanak gregoryen)	1861
1694 (almanak gregoryen)	1694
1695 (almanak gregoryen)	1695
1774 (almanak gregoryen)	1774
1862 (almanak gregoryen)	1862
1696 (almanak gregoryen)	1696
1775 (almanak gregoryen)	1775
1863 (almanak gregoryen)	1863
1697 (almanak gregoryen)	1697
1776 (almanak gregoryen)	1776
1864 (almanak gregoryen)	1864
1698 (almanak gregoryen)	1698
1865 (almanak gregoryen)	1865
1777 (almanak gregoryen)	1777
1699 (almanak gregoryen)	1699
1866 (almanak gregoryen)	1866
1778 (almanak gregoryen)	1778
1779 (almanak gregoryen)	1779
1867 (almanak gregoryen)	1867
1780 (almanak gregoryen)	1780
1868 (almanak gregoryen)	1868
1781 (almanak gregoryen)	1781
1869 (almanak gregoryen)	1869
Maten	Mattino
Minit	Minuto
Plonjon	Tuffi
Lang ris	Lingua russa
1782 (almanak gregoryen)	1782
1870 (almanak gregoryen)	1870
1783 (almanak gregoryen)	1783
1871 (almanak gregoryen)	1871
Lwa (dwa)	Diritto
1784 (almanak gregoryen)	1784
1872 (almanak gregoryen)	1872
Konstitisyon	Costituzione
1785 (almanak gregoryen)	1785
1873 (almanak gregoryen)	1873
1786 (almanak gregoryen)	1786
1874 (almanak gregoryen)	1874
1787 (almanak gregoryen)	1787
1875 (almanak gregoryen)	1875
1788 (almanak gregoryen)	1788
1876 (almanak gregoryen)	1876
1789 (almanak gregoryen)	1789
1877 (almanak gregoryen)	1877
1790 (almanak gregoryen)	1790
1878 (almanak gregoryen)	1878
1879 (almanak gregoryen)	1879
1791 (almanak gregoryen)	1791
Pen	Pane
1792 (almanak gregoryen)	1792
1880 (almanak gregoryen)	1880
1793 (almanak gregoryen)	1793
1881 (almanak gregoryen)	1881
INESKO	Organizzazione delle Nazioni Unite per l'Educazione, la Scienza e la Cultura
1794 (almanak gregoryen)	1794
1882 (almanak gregoryen)	1882
1795 (almanak gregoryen)	1795
1883 (almanak gregoryen)	1883
1796 (almanak gregoryen)	1796
1884 (almanak gregoryen)	1884
1797 (almanak gregoryen)	1797
1885 (almanak gregoryen)	1885
1886 (almanak gregoryen)	1886
1798 (almanak gregoryen)	1798
1887 (almanak gregoryen)	1887
1799 (almanak gregoryen)	1799
1888 (almanak gregoryen)	1888
1889 (almanak gregoryen)	1889
1890 (almanak gregoryen)	1890
1891 (almanak gregoryen)	1891
1892 (almanak gregoryen)	1892
1893 (almanak gregoryen)	1893
1894 (almanak gregoryen)	1894
1895 (almanak gregoryen)	1895
1896 (almanak gregoryen)	1896
1897 (almanak gregoryen)	1897
1898 (almanak gregoryen)	1898
1899 (almanak gregoryen)	1899
Selil	Cellula
San (non)	Sangue
Lapli	Pioggia
Klima	Clima
El Niño	El Niño
Rechofman atmosferik	Riscaldamento globale
Tranblemanntè	Terremoto
Mineral	Minerale
Tektonik plak	Tettonica delle placche
Nelson Mandela	Nelson Mandela
Martin Luther King	Martin Luther King
Anzim	Enzima
Proteyin	Proteine
Ròch	Roccia
Asid amine	Amminoacido
Inondasyon	Inondazione
Radmare	Maremoto
Vòlkan	Vulcano
Nwaj	Nuvola
Tònad	Tromba d'aria
Jewometri	Geometria
Siklòn twopikal	Ciclone tropicale
Van	Vento
Atmosfè	Atmosfera
Ekonomi	Economia
Endistri	Industria
Lengwistik	Linguistica
Mo	Parola
Alfabèt sirilik	Alfabeto cirillico
Alfabèt grèk	Alfabeto greco
Literati	Letteratura
Kategori:Frans	Categoria:Francia
Kategori:Mizik	Categoria:Musica
Kategori:Literati	Categoria:Letteratura
Akennsas (rivyè)	Arkansas (fiume)
Rena	Volpe
Dyaz	Jazz
Dwòg	Droga
Sosyete	Società (sociologia)
Edikasyon timoun	Educazione
Fanmi	Famiglia
Moun	Uomo (genere)
Maryaj	Matrimonio
Esklavay	Schiavismo
Kafe	Caffè
Ji	Succo di frutta
Lèt (likid)	Latte
Mòn	Montagna
Dezè	Deserto
Miami, Florid	Miami
Seoul	Seul
Shanghai	Shanghai
Walt Disney	Walt Disney
Archimedes	Archimede
Michael Faraday	Michael Faraday
Enrico Fermi	Enrico Fermi
Fibonacci	Leonardo Fibonacci
Joseph Fourier	Jean Baptiste Joseph Fourier
Augustin Louis Cauchy	Augustin-Louis Cauchy
Konsey Ewòp	Consiglio d'Europa
Konstelasyon	Costellazione
James Prescott Joule	James Prescott Joule
Johannes Kepler	Giovanni Keplero
Max Planck	Max Planck
Nikola Tesla	Nikola Tesla
James Watt	James Watt
Gottfried Leibniz	Gottfried Wilhelm von Leibniz
Knowledge	Conoscenza
Endouyis	Induismo
James Clerk Maxwell	James Clerk Maxwell
Sen	Mammella
Atòm	Atomo
Ernest Rutherford	Ernest Rutherford
Limyè	Luce
Erwin Schrödinger	Erwin Schrödinger
Monoteyis	Monoteismo
Nanm	Anima
Relijyon	Religione
Lang kore	Lingua coreana
Rene Descartes	Cartesio
Sigmund Freud	Sigmund Freud
Bakou	Baku
Jidayis	Ebraismo
Timfou	Thimphu
Banda Seri	Bandar Seri Begawan
Dili	Dili
Vyantyàn	Vientiane
Konpòtman	Comportamento
Male	Malé
Bichkek	Biškek
Douchanbe	Dušanbe
Fwa	Fegato
Ren	Rene
Blad pipi	Vescica urinaria
Irèt	Uretra
Lapen	Coniglio
Zonbi	Zombie
Panse	Pensiero
Oseyan	Oceano
Mahomet	Maometto
Etiik	Etica
Suspense	Suspense
Alèn	Respirazione
Vant	Addome
Lang (ògan)	Lingua (anatomia)
Ovè (plant)	Ovaia
Kou	Collo
Bouch	Bocca
Zantray	Intestino
Atikilasyon	Articolazione
Glann	Ghiandola
Disjesyon	Sistema digerente
Dyafragm	Muscolo diaframma
Atè	Arteria
A	A
Michael Schumacher	Michael Schumacher
Elizabeth II	Elisabetta II del Regno Unito
John Fitzgerald Kennedy	John Fitzgerald Kennedy
B	B
Espèm	Sperma
G	G
U	U
Z	Z
F	F
J	J
Alfabèt	Alfabeto
T	T
C	C
R	R
D	D
Α	Alfa (lettera)
Ω	Omega (lettera)
I	I
Μ	Mi (lettera)
E	E
H	H
K	K
L	L
M	M
N	N
O	O
P	P
Q	Q
S	S
Ronald Reagan	Ronald Reagan
V	V
W	W
X	X
Y	Y
Φ	Phi (lettera)
Plasma (fizik)	Plasma (fisica)
Almería (Almería)	Almería
Fernando Alonso	Fernando Alonso
David Beckham	David Beckham
Gordon Brown	Gordon Brown
1100 (almanak jilyen)	1100
Kategori:Venezwela	Categoria:Venezuela
Bèlfast	Belfast
Kadif	Cardiff
Tablo klasifikasyon peryodik eleman	Tavola periodica degli elementi
Jòjtòn	Georgetown (Guyana)
Toutouni	Nudità
Rèptil	Reptilia
Pijon	Columbidae
Akeyo	Archaea
Bakteri	Bacteria
Pyebwa	Albero
Pwotis	Protista
Λ	Lambda
Kòde	Chordata
Fromaj	Formaggio
Rezen	Uva
Siwo	Miele
Vyann	Carne
Pòm tè	Solanum tuberosum
Nwa (fwi)	Noce (botanica)
Teknoloji	Tecnologia
Elis	Vite (meccanica)
Enjenieri	Ingegneria
Kominikasyon	Comunicazione
Enfòmasyon	Informazione
Jounal	Giornale
Kilti	Cultura
Asid ribonikleyik	RNA
Pierre Bouguer	Pierre Bouguer
Sistèm sikilatwa fèmen	Apparato circolatorio
Gwo trip	Intestino crasso
Ti trip	Intestino tenue
Lugo	Lugo (Spagna)
Asid	Acido
Konpoze	Composto chimico
Almanak jilyen	Calendario giuliano
Medsin	Medicina
Baz (chimi)	Base (chimica)
Sarayevo	Sarajevo
Sistèm kouwòdone	Sistema di riferimento
Fidel Castro	Fidel Castro
Kategori:Brezil	Categoria:Brasile
Resif koray	Barriera corallina
Eleman chimik	Elemento chimico
Chimi òganik	Chimica organica
Ang	Angolo
Kabonidrat	Glucidi
Aryabhata	Aryabhata
Òmòn	Ormone
Lipid	Lipidi
Akselerasyon santripèd	Accelerazione
Enèji	Energia
Lwa konsèvasyon enèji	Legge di conservazione dell'energia
Onn elektwomayetik	Radiazione elettromagnetica
Espès ki reprezante menas	Specie a rischio
Dezyèm lwa Newton	Meccanica classica
Fòs	Forza
Chan mayetik	Campo magnetico
Karate	Karate
Jido	Judo
Jwèt	Giocattolo
Mas inèsi	Massa (fisica)
Sinema	Film
Metal	Metallo
Asye	Acciaio
Eta matyè	Stato della materia
Gaz	Gas
Likid	Liquido
Solid	Solido
Radyo-aktivite	Radioattività
Agrikilti	Agricoltura
Semi-kondiktè	Semiconduttore
Rad	Abbigliamento
Onn sonò	Suono
Vitès mwayèn	Velocità
Tanperati	Temperatura
Vè (materyo)	Vetro
Tan	Tempo
Tèmodinamik	Termodinamica
Plastik	Materie plastiche
Reyon gama	Raggi gamma
Nonm	Numero
Kilogram	Chilogrammo
Segonn	Secondo
Mayi	Zea mays
Òj	Hordeum vulgare
Kelven	Kelvin
Sonoma, Kalifòni	Sonoma
Penti	Pittura
Fotografi	Fotografia
Grace Hopper	Grace Murray Hopper
Elektwonik	Elettronica
Kouran elektrik	Corrente elettrica
Frekans	Frequenza
Dyòd	Diodo
Transfòmatè	Trasformatore
Lis peyi	Stati del mondo
Preyistwa	Preistoria
Lous	Ursidae
William Rowan Hamilton	William Rowan Hamilton
Dijesyon chimik	Digestione
Fotosentèz	Fotosintesi clorofilliana
Repwodiksyon	Riproduzione
Grosès	Gravidanza
Chèn	Quercus
1101 (almanak jilyen)	1101
1102 (almanak jilyen)	1102
Wa	Re
Avwàn	Avena sativa
Ble (sereyal)	Triticum
Maladi	Malattia
Almanak gregoryen	Calendario gregoriano
Lasante	Salute
Malarya	Malaria
Antibyotik	Antibiotico
Penisilin	Penicillina
Nant	Nantes
Sida	AIDS
Huelva (Huelva)	Huelva
Achitekti	Architettura
Pon	Ponte
Mezi	Misurazione
Simetri	Simmetria
1103 (almanak jilyen)	1103
1104 (almanak jilyen)	1104
Eskalye	Scala (architettura)
Aztèk	Aztechi
Mwayenaj	Medioevo
Maine-ak-Lwar	Maine e Loira
Baden Powell	Robert Baden-Powell
Konbistib fosil	Combustibili fossili
Reinhard Selten	Reinhard Justus Reginald Selten
Helmar Frank	Helmar Frank
Majouro	Majuro
Georges Lemaître	Georges Lemaître
Hualpén	Hualpén
Hualqui	Hualqui
Fizyon	Fusione nucleare
Nerja (Málaga)	Nerja
Torrox (Málaga)	Torrox
Moclinejo (Málaga)	Moclinejo
Ronda (Málaga)	Ronda (Spagna)
Kokoye	Cocos nucifera
Grenad (fwi)	Punica granatum
Pèch (fwi)	Prunus persica
Zoranj	Citrus × sinensis
Montserrat	Montserrat (isola)
Thomas Malthus	Thomas Robert Malthus
Wikispecies	Wikispecies
Zèb katre	Mirabilis jalapa
1105 (almanak jilyen)	1105
Kapot	Profilattico
Palmis	Arecaceae
Kors	Corsica
Santiago de Compostela	Santiago di Compostela
Β	Beta (lettera)
Γ	Gamma (lettera)
Δ	Delta (lettera)
Ε	Epsilon (lettera)
Ζ	Zeta (lettera greca)
Η	Eta (lettera)
Θ	Theta
Ι	Iota
Κ	Kappa (lettera greca)
Ν	Ni (lettera)
Ξ	Xi (lettera)
Ο	Omicron
Ρ	Rho (lettera)
Σ	Sigma (lettera greca)
Τ	Tau (lettera)
Υ	Ypsilon
Χ	Chi (lettera)
Ψ	Psi (lettera)
Iquique	Iquique
La Serena, Chili	La Serena
Drapo	Bandiera
Labapen	Artocarpus altilis
Mèb	Arredamento
Tab	Tavolo
Lage	Lage
Sapoti	Manilkara zapota
Chèz	Sedia
ג	Gimel (lettera)
Jiraf	Giraffa camelopardalis
Lèv	Labbro
Moustach	Baffo (peli del viso)
Pwen konjelasyon	Punto di fusione
Radyasyon kosmik natirèl	Radiazione cosmica di fondo
Kòdelya	Cordelia (astronomia)
Ofeli	Ofelia (astronomia)
Byanka	Bianca (astronomia)
Kresida	Cressida (astronomia)
Dèsdemòn	Desdemona (astronomia)
Jilyèt	Giulietta (astronomia)
Pòtya	Porzia (astronomia)
Rozalinn	Rosalinda (astronomia)
Kipidon	Cupido (astronomia)
Belinda	Belinda (astronomia)
Pèdita	Perdita (astronomia)
Pik	Puck (astronomia)
Mab	Mab (astronomia)
Jaén (Jaén)	Jaén
Pye	Piede
Queen	Queen
Brian May	Brian May
Leza	Lacertilia
Nayad	Naiade (astronomia)
Nereyid	Nereide (astronomia)
Pwote	Proteo (astronomia)
Braintree, Massachusetts	Braintree (Massachusetts)
Б	Б
А	А
Г	Г
Д	Д
В	В
Zepòl	Spalla
Gòj	Gola (anatomia)
Modèl:Link FA	Template:Link V
Lemonn	Mondo
Jij	Giudice
Vèmont	Vermont
San Diego, Kalifòni	San Diego
San Jose, Kalifòni	San Jose
Denver, Kolorado	Denver
Houston, Texas	Houston
Phoenix, Arizona	Phoenix (Arizona)
Dalas (Teksas)	Dallas
Fort Worth, Texas	Fort Worth
Austin, Texas	Austin
Palè (gwo kay)	Palazzo
El Paso, Texas	El Paso
Memphis, Tennessee	Memphis
Charlotte	Charlotte (Carolina del Nord)
Columbus, Ohio	Columbus (Ohio)
Jacksonville, Florid	Jacksonville
Jožef Stefan	Josef Stefan
Long Beach, Kalifòni	Long Beach (California)
Laredo, Texas	Laredo (Texas)
Los Ángeles (Chili)	Los Ángeles
Lota	Lota (Cile)
Lopital	Ospedale
Etna	Etna
Gwadloup	Guadalupa
Oakland, Kalifòni	Oakland
Matinik	Martinica
Ze	Uovo (biologia)
Trilobit	Trilobita
Tibet	Tibet
Sèk (non)	Circonferenza
John von Neumann	John von Neumann
Donald Knuth	Donald Knuth
Stephen Hawking	Stephen Hawking
Teyori	Teoria
Arlington, Texas	Arlington (Texas)
Sacramento, Kalifòni	Sacramento (California)
1925 (almanak gregoryen)	1925
1927 (almanak gregoryen)	1927
Aspirin	Acido acetilsalicilico
Konpòtman natirèl	Istinto
Radyasyon	Radiazione
Providence (Rod Aylann)	Providence
Alatri	Alatri
1000 (almanak jilyen)	1000
999 (almanak jilyen)	999
Fransisko	Francisco (astronomia)
Kaliban	Calibano (astronomia)
Stefano	Stefano (astronomia)
Trenkilo	Trinculo (astronomia)
Sikoraks	Sicorace (astronomia)
Magarèt	Margherita (astronomia)
Pwospero	Prospero (astronomia)
Lou	Canis lupus
Setebos	Setebos (astronomia)
Fèdinan	Ferdinando (astronomia)
Byomas	Biomassa
Ball, Lwizyana	Palla (sport)
Tucson, Arizona	Tucson
1955 (almanak gregoryen)	1955
1954 (almanak gregoryen)	1954
1953 (almanak gregoryen)	1953
1951 (almanak gregoryen)	1951
1950 (almanak gregoryen)	1950
1946 (almanak gregoryen)	1946
1943 (almanak gregoryen)	1943
1942 (almanak gregoryen)	1942
1940 (almanak gregoryen)	1940
1939 (almanak gregoryen)	1939
Club de Gimnasia y Esgrima La Plata	Club de Gimnasia y Esgrima La Plata
1938 (almanak gregoryen)	1938
1937 (almanak gregoryen)	1937
1936 (almanak gregoryen)	1936
1935 (almanak gregoryen)	1935
1934 (almanak gregoryen)	1934
1933 (almanak gregoryen)	1933
1932 (almanak gregoryen)	1932
1931 (almanak gregoryen)	1931
1930 (almanak gregoryen)	1930
1929 (almanak gregoryen)	1929
Pyongyang	Pyongyang
Nouvo Testaman	Nuovo Testamento
Sistèm pozisyon global	Sistema di Posizionamento Globale
106 (nonm)	106 (numero)
Jan Delay	Jan Delay
Pwokaryòt	Prokaryota
Ekaryòt	Eukaryota
9 (nonm)	9 (numero)
צ	Tsade
ר	Reš (lettera)
1001 (almanak jilyen)	1001
1002 (almanak jilyen)	1002
1003 (almanak jilyen)	1003
1005 (almanak jilyen)	1005
1006 (almanak jilyen)	1006
1007 (almanak jilyen)	1007
1008 (almanak jilyen)	1008
1009 (almanak jilyen)	1009
1010 (almanak jilyen)	1010
1011 (almanak jilyen)	1011
1012 (almanak jilyen)	1012
1013 (almanak jilyen)	1013
1014 (almanak jilyen)	1014
1015 (almanak jilyen)	1015
1016 (almanak jilyen)	1016
1017 (almanak jilyen)	1017
1018 (almanak jilyen)	1018
1019 (almanak jilyen)	1019
1020 (almanak jilyen)	1020
1021 (almanak jilyen)	1021
1022 (almanak jilyen)	1022
1023 (almanak jilyen)	1023
1024 (almanak jilyen)	1024
1025 (almanak jilyen)	1025
1026 (almanak jilyen)	1026
1027 (almanak jilyen)	1027
1028 (almanak jilyen)	1028
1029 (almanak jilyen)	1029
1030 (almanak jilyen)	1030
1031 (almanak jilyen)	1031
Bien Hoa	Biên Hòa
1032 (almanak jilyen)	1032
1033 (almanak jilyen)	1033
1034 (almanak jilyen)	1034
1035 (almanak jilyen)	1035
1036 (almanak jilyen)	1036
1037 (almanak jilyen)	1037
1038 (almanak jilyen)	1038
1039 (almanak jilyen)	1039
1040 (almanak jilyen)	1040
1041 (almanak jilyen)	1041
San Pedro de la Paz	San Pedro de la Paz
1042 (almanak jilyen)	1042
1043 (almanak jilyen)	1043
1044 (almanak jilyen)	1044
1045 (almanak jilyen)	1045
1046 (almanak jilyen)	1046
1047 (almanak jilyen)	1047
1049 (almanak jilyen)	1049
1050 (almanak jilyen)	1050
1051 (almanak jilyen)	1051
1052 (almanak jilyen)	1052
1053 (almanak jilyen)	1053
1054 (almanak jilyen)	1054
1055 (almanak jilyen)	1055
1056 (almanak jilyen)	1056
1057 (almanak jilyen)	1057
1058 (almanak jilyen)	1058
1059 (almanak jilyen)	1059
1060 (almanak jilyen)	1060
1061 (almanak jilyen)	1061
1062 (almanak jilyen)	1062
1063 (almanak jilyen)	1063
1064 (almanak jilyen)	1064
1065 (almanak jilyen)	1065
1066 (almanak jilyen)	1066
1067 (almanak jilyen)	1067
1068 (almanak jilyen)	1068
1069 (almanak jilyen)	1069
1070 (almanak jilyen)	1070
1071 (almanak jilyen)	1071
1072 (almanak jilyen)	1072
1073 (almanak jilyen)	1073
1074 (almanak jilyen)	1074
1075 (almanak jilyen)	1075
1076 (almanak jilyen)	1076
1077 (almanak jilyen)	1077
1078 (almanak jilyen)	1078
1079 (almanak jilyen)	1079
Talasa	Talassa (astronomia)
1080 (almanak jilyen)	1080
1081 (almanak jilyen)	1081
1082 (almanak jilyen)	1082
Despina	Despina (astronomia)
1083 (almanak jilyen)	1083
1084 (almanak jilyen)	1084
1085 (almanak jilyen)	1085
1086 (almanak jilyen)	1086
1087 (almanak jilyen)	1087
1088 (almanak jilyen)	1088
Galate	Galatea (astronomia)
1089 (almanak jilyen)	1089
1090 (almanak jilyen)	1090
1091 (almanak jilyen)	1091
Larisa	Larissa (astronomia)
1092 (almanak jilyen)	1092
1093 (almanak jilyen)	1093
1094 (almanak jilyen)	1094
1095 (almanak jilyen)	1095
1096 (almanak jilyen)	1096
1097 (almanak jilyen)	1097
Nha Trang	Nha Trang
1098 (almanak jilyen)	1098
1099 (almanak jilyen)	1099
1106 (almanak jilyen)	1106
1107 (almanak jilyen)	1107
1108 (almanak jilyen)	1108
1109 (almanak jilyen)	1109
1110 (almanak jilyen)	1110
1111 (almanak jilyen)	1111
1112 (almanak jilyen)	1112
1113 (almanak jilyen)	1113
1114 (almanak jilyen)	1114
1115 (almanak jilyen)	1115
Samate	Psamate (astronomia)
1116 (almanak jilyen)	1116
1117 (almanak jilyen)	1117
1118 (almanak jilyen)	1118
1119 (almanak jilyen)	1119
1120 (almanak jilyen)	1120
Pap	Papa
Metal alkalen	Metalli alcalini
1130 (almanak jilyen)	1130
Metal alkaline-tere	Metalli alcalino terrosi
1131 (almanak jilyen)	1131
Rafael Correa	Rafael Correa
1132 (almanak jilyen)	1132
1133 (almanak jilyen)	1133
Metal tranzisyon entèn	Metalli del blocco d
1134 (almanak jilyen)	1134
1135 (almanak jilyen)	1135
1136 (almanak jilyen)	1136
1137 (almanak jilyen)	1137
Alojèn	Alogeni
1138 (almanak jilyen)	1138
1139 (almanak jilyen)	1139
Gaz nòb	Gas nobili
5 (almanak jilyen)	5
1140 (almanak jilyen)	1140
1141 (almanak jilyen)	1141
1142 (almanak jilyen)	1142
1143 (almanak jilyen)	1143
1144 (almanak jilyen)	1144
4 (almanak jilyen)	4
1145 (almanak jilyen)	1145
1146 (almanak jilyen)	1146
1147 (almanak jilyen)	1147
1148 (almanak jilyen)	1148
3 (almanak jilyen)	3
1149 (almanak jilyen)	1149
1150 (almanak jilyen)	1150
1151 (almanak jilyen)	1151
Rèn	Regina regnante
1152 (almanak jilyen)	1152
1153 (almanak jilyen)	1153
2 (almanak jilyen)	2
1154 (almanak jilyen)	1154
1155 (almanak jilyen)	1155
1156 (almanak jilyen)	1156
1157 (almanak jilyen)	1157
1158 (almanak jilyen)	1158
1159 (almanak jilyen)	1159
Boukarès	Bucarest
1160 (almanak jilyen)	1160
1161 (almanak jilyen)	1161
1162 (almanak jilyen)	1162
1163 (almanak jilyen)	1163
1164 (almanak jilyen)	1164
1165 (almanak jilyen)	1165
1166 (almanak jilyen)	1166
1167 (almanak jilyen)	1167
1168 (almanak jilyen)	1168
1169 (almanak jilyen)	1169
1170 (almanak jilyen)	1170
Pati Endepandantis Pòtoriken	Partito Indipendentista Portoricano
1171 (almanak jilyen)	1171
1172 (almanak jilyen)	1172
1173 (almanak jilyen)	1173
Tirana	Tirana
1174 (almanak jilyen)	1174
1175 (almanak jilyen)	1175
1176 (almanak jilyen)	1176
1177 (almanak jilyen)	1177
1178 (almanak jilyen)	1178
Motorhead	Motörhead
1179 (almanak jilyen)	1179
1180 (almanak jilyen)	1180
1181 (almanak jilyen)	1181
Bourik	Equus asinus
1182 (almanak jilyen)	1182
1928 (almanak gregoryen)	1928
1183 (almanak jilyen)	1183
1184 (almanak jilyen)	1184
1185 (almanak jilyen)	1185
1186 (almanak jilyen)	1186
1187 (almanak jilyen)	1187
1188 (almanak jilyen)	1188
1189 (almanak jilyen)	1189
1190 (almanak jilyen)	1190
1191 (almanak jilyen)	1191
1192 (almanak jilyen)	1192
1193 (almanak jilyen)	1193
1194 (almanak jilyen)	1194
1195 (almanak jilyen)	1195
1196 (almanak jilyen)	1196
1197 (almanak jilyen)	1197
1198 (almanak jilyen)	1198
1199 (almanak jilyen)	1199
6 (almanak jilyen)	6
Ansyen Testaman	Antico Testamento
Nowèl	Natale
Lang roman	Lingue romanze
Triyang	Triangolo
Bisektil	Anno bisestile
Breinigerberg	Breinigerberg
Tig	Panthera tigris
John Couch Adams	John Couch Adams
IU	IU (cantante)
Pandil	Pendolo
Louis Couturat	Louis Couturat
Vung Tau	Vũng Tàu
Pak (fèt)	Pasqua
Chisinaou	Chișinău
Enfòmatik	Informatica
Sosyoloji	Sociologia
Şalom	Şalom
Monotrèm	Monotremata
Aurora, Ilinwa	Aurora (Illinois)
Apach	Apach
Illkirch	Illkirch-Graffenstaden
Maurice Rene Frechet	Maurice René Fréchet
Soulye	Scarpa
1 (almanak jilyen)	1
10 (almanak jilyen)	10
Nashville, Tennessee	Nashville
20 (almanak jilyen)	20
30 (almanak jilyen)	30
40 (almanak jilyen)	40
Salt Lake City, Utah	Salt Lake City
9 (almanak jilyen)	9
7 (almanak jilyen)	7
8 (almanak jilyen)	8
7 (nonm)	7 (numero)
8 (nonm)	8 (numero)
12 (almanak jilyen)	12
Lamare	Marea
Semèn	Settimana
Sèf	Cervidae
Glas (materyo)	Ghiaccio
Lak	Lago
Lay	Allium sativum
Antropoloji	Antropologia
930 (almanak jilyen)	930
13 (almanak jilyen)	13
Chato	Castello
985 (almanak jilyen)	985
1122 (almanak jilyen)	1122
981 (almanak jilyen)	981
939 (almanak jilyen)	939
Konkonm	Cucumis sativus
Oulan-Batò	Ulan Bator
Edinbo	Edimburgo
Achgabat	Aşgabat
51 (almanak jilyen)	51
Octave Mirbeau	Octave Mirbeau
Il	Isola
Provo, Utah	Provo (Stati Uniti d'America)
Blan	Bianco
Nwa (koulè)	Nero
814 (almanak jilyen)	814
678 (almanak jilyen)	678
950 (almanak jilyen)	950
679 (almanak jilyen)	679
996 (almanak jilyen)	996
680 (almanak jilyen)	680
37 (almanak jilyen)	37
980 (almanak jilyen)	980
900 (almanak jilyen)	900
1129 (almanak jilyen)	1129
843 (almanak jilyen)	843
Lordi	Lordi
690 (almanak jilyen)	690
691 (almanak jilyen)	691
988 (almanak jilyen)	988
692 (almanak jilyen)	692
476 (almanak jilyen)	476
693 (almanak jilyen)	693
Masey	Marsiglia
694 (almanak jilyen)	694
695 (almanak jilyen)	695
Zonyon	Allium cepa
696 (almanak jilyen)	696
6 (nonm)	6 (numero)
697 (almanak jilyen)	697
698 (almanak jilyen)	698
699 (almanak jilyen)	699
700 (almanak jilyen)	700
Mostchena	Moščena
701 (almanak jilyen)	701
702 (almanak jilyen)	702
Akeyoloji	Archeologia
703 (almanak jilyen)	703
Tomat	Solanum lycopersicum
704 (almanak jilyen)	704
705 (almanak jilyen)	705
706 (almanak jilyen)	706
68 (almanak jilyen)	68
89 (almanak jilyen)	89
707 (almanak jilyen)	707
708 (almanak jilyen)	708
Phong Nha-Ke Bang	Parco nazionale di Phong Nha-Ke Bang
709 (almanak jilyen)	709
11 (almanak jilyen)	11
710 (almanak jilyen)	710
711 (almanak jilyen)	711
712 (almanak jilyen)	712
713 (almanak jilyen)	713
714 (almanak jilyen)	714
715 (almanak jilyen)	715
716 (almanak jilyen)	716
717 (almanak jilyen)	717
Quang Binh	Provincia di Quang Binh
718 (almanak jilyen)	718
719 (almanak jilyen)	719
Ekwatè (liy imajinè)	Equatore
720 (almanak jilyen)	720
721 (almanak jilyen)	721
722 (almanak jilyen)	722
Selena	Selena
723 (almanak jilyen)	723
724 (almanak jilyen)	724
Mérida, Venezwela	Mérida (Venezuela)
725 (almanak jilyen)	725
726 (almanak jilyen)	726
Atlanta (Djòdji)	Atlanta
727 (almanak jilyen)	727
728 (almanak jilyen)	728
729 (almanak jilyen)	729
963 (almanak jilyen)	963
730 (almanak jilyen)	730
731 (almanak jilyen)	731
962 (almanak jilyen)	962
732 (almanak jilyen)	732
733 (almanak jilyen)	733
997 (almanak jilyen)	997
734 (almanak jilyen)	734
972 (almanak jilyen)	972
735 (almanak jilyen)	735
955 (almanak jilyen)	955
901 (almanak jilyen)	901
736 (almanak jilyen)	736
737 (almanak jilyen)	737
936 (almanak jilyen)	936
738 (almanak jilyen)	738
953 (almanak jilyen)	953
902 (almanak jilyen)	902
739 (almanak jilyen)	739
15 (almanak jilyen)	15
740 (almanak jilyen)	740
14 (almanak jilyen)	14
741 (almanak jilyen)	741
742 (almanak jilyen)	742
17 (almanak jilyen)	17
743 (almanak jilyen)	743
958 (almanak jilyen)	958
744 (almanak jilyen)	744
500 (almanak jilyen)	500
745 (almanak jilyen)	745
150 (almanak jilyen)	150
746 (almanak jilyen)	746
880 (almanak jilyen)	880
747 (almanak jilyen)	747
748 (almanak jilyen)	748
Diksyonè	Dizionario
749 (almanak jilyen)	749
870 (almanak jilyen)	870
903 (almanak jilyen)	903
750 (almanak jilyen)	750
751 (almanak jilyen)	751
Bermid	Bermuda
752 (almanak jilyen)	752
Tèt	Testa
753 (almanak jilyen)	753
987 (almanak jilyen)	987
754 (almanak jilyen)	754
965 (almanak jilyen)	965
755 (almanak jilyen)	755
924 (almanak jilyen)	924
951 (almanak jilyen)	951
932 (almanak jilyen)	932
Welintòn	Wellington
23 (almanak jilyen)	23
800 (almanak jilyen)	800
120 (almanak jilyen)	120
42 (almanak jilyen)	42
Simon Stevin	Simone Stevino
967 (almanak jilyen)	967
989 (almanak jilyen)	989
960 (almanak jilyen)	960
969 (almanak jilyen)	969
957 (almanak jilyen)	957
1124 (almanak jilyen)	1124
971 (almanak jilyen)	971
Nò (rejyon syèl)	Punto cardinale
937 (almanak jilyen)	937
992 (almanak jilyen)	992
990 (almanak jilyen)	990
899 (almanak jilyen)	899
975 (almanak jilyen)	975
942 (almanak jilyen)	942
966 (almanak jilyen)	966
1128 (almanak jilyen)	1128
959 (almanak jilyen)	959
