আফ্রিকা	Africa
এশিয়ান হকি ফেডারেশন	Asian Hockey Federation
হাও আই মেট ইওর মাদার	How I Met Your Mother
সাগর কুসুম	Actiniaria
কাজল দেবগন	Kajol
কোমল পানীয়	Bibita
১৮৯৬ গ্রীষ্মকালীন অলিম্পিকে ইতালি	Italia ai Giochi della I Olimpiade
গাঁদা	Tagetes
কোলো তুরে	Kolo Touré
বোধ বিজ্ঞান	Scienze cognitive
দইগোটা	Bixa orellana
১৯২৮ গ্রীষ্মকালীন অলিম্পিকে ভারত	India ai Giochi della IX Olimpiade
সিরোসিস	Cirrosi epatica
আন্না কারেনিনা	Anna Karenina
সুব্রহ্মণ্যন চন্দ্রশেখর	Subrahmanyan Chandrasekhar
এডগার রাইস বারোজ	Edgar Rice Burroughs
যাদুকর	Mago
জাদু (বিভ্রম)	Illusionismo
কাবাডি	Kabaddi
শাপলা	Nymphaeaceae
অপ্সরা	Apsaras
কাঁটা মুকুট	Euphorbia milii
জেলা	Distretto
দ্বিতীয় ফয়সাল	Faysal II d'Iraq
আফ্রিকার ইতিহাস	Storia dell'Africa
ক্যালকুলাস	Calcolo infinitesimale
রোচেস্টার বিশ্ববিদ্যালয়	Università di Rochester
টমাহক (ক্ষেপণাস্ত্র)	BGM-109 Tomahawk
মেটাক্রিটিক	Metacritic
ডেভিড দে গিয়া	David de Gea Quintana
পেন্টেন	Pentano
হেক্সেন	Esano
ফের্ডিনান্ড ২, পুণ্য রোমান সম্রাট	Ferdinando II d'Asburgo
মিগ-২১	Mikoyan-Gurevich MiG-21
ক্যামিলো গলজি	Camillo Golgi
হেপ্টেন	Eptano
অক্টেন	Ottano
ননেন	Nonano
ডেকেন	Decano (idrocarburo)
দ্য পিয়ানিস্ট (২০০২-এর চলচ্চিত্র)	Il pianista (film)
নাৎসি বাহিনীর পোল্যান্ড আক্রমণ	Campagna di Polonia
প্লেবয়	Playboy
ফ্রাঙ্কেনস্টাইন (উপন্যাস)	Frankenstein
জ্বিলকদ	Dhu l-Qa'da
জন বন জভি	Jon Bon Jovi
মার্তিন দেমিচেলিস	Martín Demichelis
কম্পিউটার গ্রাফিক্স	Computer grafica
সাইরেন	Sirene (religione greca)
ফ্রেদেরিক জোলিও-কুরি	Frédéric Joliot-Curie
চোল সাম্রাজ্য	Chola
অঁদ্রে মালরো	André Malraux
নব্য নাৎসীবাদ	Neonazismo
জেরোম বোয়াটেং	Jérôme Boateng
রবের্ত লেওয়ানদস্কি	Robert Lewandowski
জনি ওয়াইজমুলার	Johnny Weissmuller
ইথিন	Etilene
প্রোপিন	Propilene
বিউটিন	Butene
পেন্টিন	Pentene
হেক্সিন	Esene
অক্টিন	Ottene
টমাস কার্লাইল	Thomas Carlyle
জর্জ মার্শাল	George Marshall
প্রোপাইন	Propino
স্ফিংক্স	Sfinge
পঞ্চম মুহাম্মদ (উসমানীয় সুলতান)	Mehmet V
আবদুল আজিজ ইবনে সৌদ	Abd al-Aziz dell'Arabia Saudita
হাইডেলবার্গ বিশ্ববিদ্যালয়	Università Ruperto Carola di Heidelberg
রিচার্ড ওয়েন	Richard Owen
ফ্রেডরিক স্যাঙ্গার	Frederick Sanger
উইকিপিডিয়া:কীভাবে একটি পৃষ্ঠা সম্পাদনা করবেন	Aiuto:Modifica
ফ্রাঁসোয়া অ্যাংলার্ট	François Englert
এফ. ডব্লিউ. ডি ক্লার্ক	Frederik de Klerk
ফের্নান্দো লুগো	Fernando Lugo
ধারণা	Concetto
পিপল ফর দি ইথিকাল ট্রিটমেন্ট অফ অ্যানিম্যালস	People for the Ethical Treatment of Animals
অর্থশোধন	Riciclaggio di denaro
পল (অক্টোপাস)	Polpo Paul
এডুয়ার্ড শেভার্দনাদজে	Eduard Shevardnadze
জোসেফিন বেকার	Joséphine Baker
রিচার্ড বার্টন	Richard Burton
প্রশান্ত মহাসাগরীয় যুদ্ধ	Guerra del Pacifico (1879-1884)
লরা বুশ	Laura Bush
ডেনমার্ক প্রণালী	Stretto di Danimarca
দেউলিয়া	Bancarotta
বেনরাট রেখা	Linea di Benrath
গ্লি	Glee (serie televisiva)
জিযেলি বিন্ডচিন	Gisele Bündchen
পার্তিয়া কারকেরেন কুর্দিস্তান	Partito dei Lavoratori del Kurdistan
টাটা ন্যানো	Tata Nano
ক্যামিলা, ডাচেস অব কর্নওয়াল	Camilla Shand
ক্রন্দন	Pianto
ফ্ল্যাশ মব	Flash mob
হোয়াইট ফ্যাঙ	Zanna Bianca
নগ্নতাবাদ	Naturismo
সাইক্লোন নার্গিস	Ciclone Nargis
আইফেল পর্বতমালা	Eifel
মার্কো রয়েস	Marco Reus
মোহাম্মদ নাশিদ	Mohamed Nasheed
জোয়ান মিরো	Joan Miró
ক্যারোলিনা কুর্কোভা	Karolína Kurková
হেনরি ওয়েডসওয়ার্থ লংফেলো	Henry Wadsworth Longfellow
মঙ্গোলিয়া ও তিব্বত সরকারের মধ্যে মৈত্রী চুক্তি	Trattato di amicizia e alleanza tra i governi di Mongolia e Tibet
অ্যালেক্সা পিনাভেগা	Alexa Vega
ব্লাউজ	Blusa
লাইফ অব পাই (চলচ্চিত্র)	Vita di Pi (film)
আবর্জনাভূমি	Discarica
হেকলার অ্যান্ড কখ	Heckler & Koch
সুসান সনট্যাগ	Susan Sontag
কেভিন কিগান	Kevin Keegan
ইউনিভার্সিটি অফ গ্যটিঙেন	Università Georg-August di Gottinga
অলিভার বিয়েরহফ	Oliver Bierhoff
রাউল ওয়ালেনবার্গ	Raoul Wallenberg
ডের উন্টারগাং	La caduta - Gli ultimi giorni di Hitler
আসুস	ASUS
কার্ল-হাইন্ৎস রুমেনিগে	Karl-Heinz Rummenigge
মিট লোফ	Meat Loaf
লেফট্যানেন্ট জেনারেল	Tenente generale
ম্যাক্সিমিলিয়ান শেল	Maximilian Schell
এডওয়ার্ড ভিক্টর অ্যাপলটন	Edward Victor Appleton
জন রবার্ট শ্রিফার	Robert Schrieffer
জ্যাক স্টাইনবার্গার	Jack Steinberger
জোসিয়াহ উইলার্ড গিবস	Willard Gibbs
প্রিমো লেভি	Primo Levi
ফর আ ফিউ ডলার্‌স মোর	Per qualche dollaro in più
ফ্রীম্যান জন ডাইসন	Freeman Dyson
ইনগ্লোরিয়াস বাস্টার্ডস	Bastardi senza gloria
এলিনর অস্ট্রম	Elinor Ostrom
মার্টিন নাইমোলার	Martin Niemöller
ইরসিনিয়া পেস্টিস	Yersinia pestis
আনোয়ার পাশা (সৈনিক)	Ismail Enver
লিনডাউ	Lindau (Bodensee)
টুবিঙেন বিশ্ববিদ্যালয়	Università di Tubinga
ভোগ (ম্যাগাজিন)	Vogue (rivista)
মুঙ্গু ইবারিকি আফ্রিকা	Mungu ibariki Afrika
মুড়ি	Riso soffiato
জার্মানির ভূগোল	Geografia della Germania
জান্নাতুল বাকি	Al-Baqi
ইউসুফ ইসলাম	Cat Stevens
ফ্রাঁসোয়া আরাগো	François Arago
এমিল বোরেল	Émile Borel
ছুতোর	Falegname
গ্যাংস অফ নিউ ইয়র্ক	Gangs of New York
লুসিয়ান ফ্রয়েড	Lucian Freud
কোষকঙ্কাল	Citoscheletro
কালোর্স ফুয়েন্তেস	Carlos Fuentes
শিনজি কাগওয়া	Shinji Kagawa
ব্রিটেনের যুদ্ধ	Battaglia d'Inghilterra
অ্যাডা	Ada (linguaggio di programmazione)
বন্দর আব্বাস	Bandar Abbas
শ্রীলঙ্কার জাতীয় পতাকা	Bandiera dello Sri Lanka
নরম্যান বোরলাউগ	Norman Borlaug
হেপাটাইটিস সি	Epatite C
নিকেলোডিয়ন	Nickelodeon (Stati Uniti)
হুগো গ্রোশিয়াস	Ugo Grozio
লেনিনবাদ	Leninismo
ইমরান খান	Imran Khan (politico)
এস্তাদিও দো মারাকানা	Estádio Jornalista Mário Filho
ভয়েজার প্রোগ্রাম	Programma Voyager
চার্লস ব্রেন্টন হাজিন্স	Charles Brenton Huggins
আর্চিবাল্ড ভি. হিল	Archibald Vivian Hill
স্টানলি বি প্রুসিনার	Stanley Prusiner
ইয়োহান গটফ্রিট হের্ডার	Johann Gottfried Herder
বিভব শক্তি	Energia potenziale
উজি	IMI Uzi
চতুর্থ চার্লস, পবিত্র রোমান সম্রাট	Carlo IV di Lussemburgo
ইগর তাম	Igor' Evgen'evič Tamm
মাসাতোশি কোশিবা	Masatoshi Koshiba
হিদেকি ইউকাওয়া	Hideki Yukawa
লুই ইউজিন ফেলিক্স নিল	Louis Néel
ডেনেস গাবর	Dennis Gabor
ইউজিন পল উইগনার	Eugene Wigner
হান্স বেটে	Hans Bethe
ভেনাস ফ্লাইট্র্যাপ (উদ্ভিদ)	Dionaea muscipula
করবী	Nerium oleander
চিনুয়া আচেবে	Chinua Achebe
এঞ্জেলা গসসোও	Angela Gossow
ক্রিস্টিয়ান জিগে	Christian Ziege
লাউৎসেন এখবার্টস ইয়ান ব্রাউয়ার	Luitzen Brouwer
মাইকোব্যাক্টেরিয়াম লেপ্রি	Mycobacterium leprae
ওয়াকা ওয়াকা	Waka Waka (This Time for Africa)
ফকার	Fokker
অ্যারো এল-৩৯ আলবতোর্স	Aero L-39 Albatros
ডিয়েটমার হামান	Dietmar Hamann
জর্জ গ্যাব্রিয়েল স্টোকস	George Stokes
টোমাস হাসলার	Thomas Häßler
পিটার সিমোন পালাস	Peter Simon Pallas
আন্ড্রেয়াস মোয়েলার	Andreas Möller
ট্যাবলেট কম্পিউটার	Tablet computer
আবলুস	Ebano
ইউরোস্টার	Eurostar (Eurotunnel)
পাইওনিয়ার করপোরেশন	Pioneer (azienda)
আজাদ হিন্দ ফৌজ	Azad Hind Fauj
তক্ষশীলা	Taxila
হামবুর্গ মাস্টার্স	German Open Hamburg
স্বেচ্ছাসেবকদের কুচকাওয়াজ	Marcia dei Volontari
রোমান ইয়াকবসন	Roman Jakobson
লিগনাইট	Lignite
রাসেল অ্যালান হাল্‌স	Russell Alan Hulse
লতা মঙ্গেশকর	Lata Mangeshkar
সর্বপল্লী রাধাকৃষ্ণণ	Sarvepalli Radhakrishnan
ইয়োহান ক্রিস্টফ আডেলুং	Johann Christoph Adelung
উইলিয়াম এইচ. স্টেইন	William Stein
ডিজিটালিস	Digitalis
গৃহ নির্যাতন	Violenza domestica
মালভেসি	Malvaceae
ফায়জবাদ, বাদাখশন	Feyzabad
মোরাসিয়া	Moraceae
লাইডেন বিশ্ববিদ্যালয়	Università di Leida
লাল বান্দর	Macaca mulatta
ইন্সে	Institut national de la statistique et des études économiques
পাপারাৎসি	Paparazzo
কুসুম ফুল	Carthamus tinctorius
কোনিগ্‌স্‌জে	Königssee
১৯৪৮ গ্রীষ্মকালীন অলিম্পিকে ভারত	India ai Giochi della XIV Olimpiade
লুপিন	Lupinus
ব্রিথনীয় ভাষাসমূহ	Lingue brittoniche
ইয়াকোবুস কাপ্টাইন	Jacobus C. Kapteyn
সুপারি	Areca catechu
অপাদান কারক	Ablativo
বাগানবিলাস	Bougainvillea
গ্যোটে ইনস্টিটিউট	Goethe-Institut
সামুয়েল হানেমান	Samuel Hahnemann
লর্ড লুই মাউন্টব্যাটেন	Louis Mountbatten
ন্যাশনাল জিওগ্রাফিক চ্যানেল	National Geographic Channel
হিবিস্কাস	Hibiscus
বাথোরী	Bathory
রিওজি নোয়োরি	Ryōji Noyori
ক্যারি মুলিস	Kary Mullis
রবার্ট আউমান	Robert Aumann
আলেক্সান্ডার টড	Alexander Robertus Todd
মাইকেল স্পেন্স	Michael Spence
হ্যারল্ড ওয়াল্টার ক্রোটো	Harold Kroto
মার্টন মিলার	Merton Miller
লিওনিদ হারউইচ	Leonid Hurwicz
রবার্ট সলো	Robert Solow
ফ্রিড্‌রিশ ফন শ্লেগেল	Friedrich Schlegel
বোহেমীয় অরণ্য	Selva Boema
গোল্ডেন স্টেট ওয়ারিয়ার্‌স	Golden State Warriors
ব্যবসায় সুনাম	Avviamento d'azienda (diritto italiano)
শার্ল লুসিয়াঁ বোনাপার্ত	Carlo Luciano Bonaparte
হেপাটাইটিস এ	Epatite A
ফরিদা জালাল	Farida Jalal
এএফসি এশিয়ান কাপ	Coppa delle nazioni asiatiche
বাওবাব	Adansonia
বচ	Acorus calamus
কোকা	Erythroxylum coca
চট্টগ্রাম বিভাগ	Divisione di Chittagong
দেজা ভু	Déjà vu
বিপাশা বসু	Bipasha Basu
তাবু (অভিনেত্রী)	Tabu (attrice)
আয়েশা তাকিয়া	Ayesha Takia
ভেদাঘাট	Bhedaghat
গওয়ালিয়র	Gwalior
বথুয়া	Chenopodium album
আপেল	Malus pumila
আফগানিস্তানের প্রদেশসমূহ	Province dell'Afghanistan
মদিনার সনদ	Costituzione di Medina
প্যাট নিক্সন	Pat Nixon
ইউরাল	Ural (disambigua)
জুহি চাওলা	Juhi Chawla
নিউক্লিয়ার ব্ল্যাস্ট রেকর্ডস	Nuclear Blast
প্রিয়াঙ্কা চোপড়া	Priyanka Chopra
মিনুসিনস্ক	Minusinsk
ফণী-মনসা	Opuntia
আনড্রেয়াস ব্রেহমা	Andreas Brehme
বিদ্যা বালান	Vidya Balan
থেমিস	Temi
নার্গিস (দ্ব্যর্থতা নিরসন)	Nargis (attrice)
দীপিকা পাড়ুকোন	Deepika Padukone
১৯৩৬ গ্রীষ্মকালীন অলিম্পিকে বাস্কেটবল	Pallacanestro ai Giochi della XI Olimpiade
একমুখী তড়িৎ প্রবাহ	Corrente continua
ফুজিস	Fugees
ছাতা (ছত্রাক)	Muffa
নৌকা বাইচ	Canottaggio
.সিডব্লিউ	.cw
বেবুন	Papio
আর্থার কেলি	Arthur Cayley
কামরাঙ্গা	Averrhoa carambola
ক্যাপুয়েরা	Capoeira
নিকোলাই ত্রুবেৎস্‌কোয়	Nikolaj Sergeevič Trubeckoj
জার্মানির রাজনীতি	Politica della Germania
ড্রাগনভ	SVD Dragunov
জবা	Hibiscus rosa-sinensis
ইয়োহানেস ইয়েনসেন	Johannes Vilhelm Jensen
আবগারী শুল্ক	Accisa
জন নেপিয়ার	Nepero
অন্নপূর্ণা (পর্বতশৃঙ্গ)	Annapurna
যোশেফ প্রিস্টলি	Joseph Priestley
ফ্রেঙ্কিসেক পোলাৎস্কি	František Palacký
পরম ঔজ্জ্বল্য	Magnitudine assoluta
ব্রিটিশ একাডেমি অফ ফিল্ম অ্যান্ড টেলিভিশন আর্টস	British Academy of Film and Television Arts
হেক্টর (পৌরাণিক চরিত্র)	Ettore (mitologia)
গিলগামেশ	Gilgameš
বিদ্যুৎ উৎপাদন কেন্দ্র	Centrale elettrica
স্যান অ্যানটোনিও স্পার্স	San Antonio Spurs
ব্যারিয়ন	Barione
নেপালের জাতীয় পতাকা	Bandiera del Nepal
ওলন্দাজ ইস্ট ইন্ডিয়া কোম্পানি	Compagnia olandese delle Indie orientali
কাপুচিনো	Cappuccino (bevanda)
গ্রীষ্মকালীন অলিম্পিক গেমস	Giochi olimpici estivi
প্যারামাউন্ট পিকচার্স	Paramount Pictures
কাম্প ন্যু	Camp Nou
র‍্যাম্বো (২০০৮-এর চলচ্চিত্র)	John Rambo (film)
আটলান্টা হক্‌স	Atlanta Hawks
ডোভার প্রণালী	Stretto di Dover
সাদা গণ্ডার	Ceratotherium simum
তৃতীয় মুরাদ	Murad III
বিমূর্ত বীজগণিত	Algebra astratta
চতুস্তলক	Tetraedro
জাতিসংঘের সদস্য দেশ	Stati membri delle Nazioni Unite
ম্যাগলেভ	Treno a levitazione magnetica
কনস্টান্টিনোপল বিজয়	Assedio di Costantinopoli (1453)
ম্যান বুকার পুরস্কার	Booker Prize
সিনকোনা	Cinchona
জরায়ুমুখ ক্যান্সার	Neoplasie della cervice uterina
নীলাম্বরী	Delphinium
লজ্জাবতী	Mimosa (Fabaceae)
কার্পেথিয়ান ফরেস্ট	Carpathian Forest
পুদিনা	Mentha spicata
ডার্কথ্রোন	Darkthrone
তাজিকিস্তানের জাতীয় পতাকা	Bandiera del Tagikistan
বলপয়েন্ট কলম	Penna a sfera
মূল্য	Prezzo
অপান	Flatulenza
ওলে রয়মা	Ole Rømer
এর্নান ক্রেসপো	Hernán Crespo
রাম	Rama
তেলেফনিকা	Telefónica
ডেভিড রিকার্ডো	David Ricardo
জন রকফেলার	John Davison Rockefeller
এডিনবরা বিশ্ববিদ্যালয়	Università di Edimburgo
ফাতেমীয় খিলাফত	Fatimidi
নরোদম সিহানুক	Norodom Sihanouk
পোপ তৃতীয় ক্যালিক্সটাস	Papa Callisto III
আল ফারাবী	Al-Farabi
বোতাম	Bottone
মার্ক-আন্দ্রে টের স্টেগেন	Marc-André ter Stegen
গুস্তাফ দালেন	Nils Gustaf Dalén
চার্লস গ্লোভার বার্কলা	Charles Glover Barkla
কনকাকাফ	Confederation of North, Central America and Caribbean Association Football
মুহাম্মদ আলী জিন্নাহ	Mohammad Ali Jinnah
দ্য দা ভিঞ্চি কোড (চলচ্চিত্র)	Il codice da Vinci (film)
সিসমোমিটার	Sismometro
আলেয়া	Fuoco fatuo
কালোজিরা	Nigella sativa
সেকেন্দার বেগ	Giorgio Castriota Scanderbeg
আলফ্রেড রাসেল ওয়ালেস	Alfred Russel Wallace
রিও গ্র্যান্ড নদী	Rio Grande (fiume Stati Uniti d'America)
সল্‌স্‌বারি	Salisbury
মাখ সংখ্যা	Numero di Mach
হোসে রাউল কাপাব্লাঙ্কা	José Raúl Capablanca
রম	Read Only Memory
অ্যাং লি	Ang Lee
মেডুসা	Medusa (mitologia)
গাম্বিয়া নদী	Gambia (fiume)
ভিব্রিও কলেরী	Vibrio cholerae
ফিঞ্চ	Fringillidae
সমাজভাষাবিজ্ঞান	Sociolinguistica
হিদেকি তোজো	Hideki Tōjō
সৌদি আরবের জাতীয় পতাকা	Bandiera dell'Arabia Saudita
রুবি (প্রোগ্রামিং ভাষা)	Ruby
ডেভিড সিলভা	David Silva
পাইরেটস অফ দ্য ক্যারিবিয়ান: ডেড ম্যান’স চেস্ট	Pirati dei Caraibi - La maledizione del forziere fantasma
অ্যাবাকা	Musa textilis
দার্দীয় ভাষাসমূহ	Lingue dardiche
পানিফল	Trapa natans
উদয়পদ্ম	Magnolia grandiflora
অস্ট্রিয়ার কমিউনিস্ট পার্টি	Partito Comunista d'Austria
পাসওয়ার্ড	Password
মেলেস জেনাউই	Meles Zenawi
সাফাভি রাজবংশ	Safavidi
ফরমালিন	Formaldeide
কৌণিক ভরবেগ	Momento angolare
অরল্যান্ডো ম্যাজিক	Orlando Magic
হিউস্টন রকেট্‌স	Houston Rockets
মিস ইউনিভার্স	Miss Universo
ক্রেডিট কার্ড	Carta di credito
এ্যানিম্যাক্স	Animax
অকেয়ানোস	Oceano (mitologia)
কৃষ্ণবস্তু	Corpo nero
ধান	Oryza sativa
অলঙ্কার	Gioielleria
ঝাঁঝি দাম	Utricularia australis
আনত তল	Piano inclinato
বিন্যাস	Permutazione
ওয়ার এন্ড পিস (উপন্যাস)	Guerra e pace
ক্যালিফোর্নিয়া ইন্সটিটিউট অফ টেকনোলজি	California Institute of Technology
হাভিয়ের মাশ্চেরানো	Javier Mascherano
অ্যানড্রোমিডা (পুরাণ)	Andromeda (mitologia)
বিউটাইন	Etilacetilene
কৌণিক বেগ	Velocità angolare
হ্যারি পটার অ্যান্ড দ্য ডেথলি হ্যালোস (চলচ্চিত্র)	Harry Potter e i Doni della Morte - Parte 1
হ্যারি পটার অ্যান্ড দ্য হাফ-ব্লাড প্রিন্স (চলচ্চিত্র)	Harry Potter e il principe mezzosangue (film)
জাতিসংঘ উন্নয়ন কর্মসূচী	Programma delle Nazioni Unite per lo sviluppo
আকাদেমি ফ্রঁসেজ	Académie française
ম্যাঙ্গিফেরা	Mangifera
এম্পেরার পেঙ্গুইন	Aptenodytes forsteri
এডওয়ার্ড গিবন	Edward Gibbon
দ্বিতীয় সেলিম	Selim II
খুফু	Cheope
পল অ্যালেন	Paul Allen
নীল বনলতা	Thunbergia
ইউসেবিও	Eusébio
খেসারি ডাল	Lathyrus sativus
নয়াপ্লাতোবাদ	Neoplatonismo
ঘোড়ানিম	Melia azedarach
বীর	Eroe
আলেকজান্ডার (চলচ্চিত্র)	Alexander (film)
রবার্ট ক্লাইভ	Robert Clive
বীরেন্দ্র বীর বিক্রম শাহ দেব	Birendra del Nepal
লে কাত্র্ সঁ কু	I 400 colpi
স্টেথোস্কোপ	Stetofonendoscopio
এলাহাবাদ	Allahabad
জিনি সহগ	Coefficiente di Gini
ড্রিম থিয়েটার	Dream Theater
প্রগণ্ডাস্থি	Omero (anatomia)
স্পেনের প্রশাসনিক অঞ্চল	Province della Spagna
নিউরোট্রান্সমিটার	Neurotrasmettitore
ইয়েমেনের জাতীয় পতাকা	Bandiera dello Yemen
নব্যউদারনীতিবাদ	Neoliberismo
ব্রেভহার্ট	Braveheart - Cuore impavido
আঙ্গারা নদী	Angara
পার্সোনাল ডিজিটাল অ্যাসিসটেন্ট	Computer palmare
ইরাকের জাতীয় পতাকা	Bandiera dell'Iraq
হলুদ আমরুল	Oxalis corniculata
পেগাসাস	Pegaso (mitologia)
নাইট্রোগ্লিসারিন	Nitroglicerina
স্মৃতিসৌধ	Mausoleo
চার্লস থমসন রিস উইলসন	Charles Thomson Rees Wilson
সীল	Sigillo (oggetto)
ডেনভার নাগেট্‌স	Denver Nuggets
ক্লিভল্যান্ড ক্যাভালিয়ার্স	Cleveland Cavaliers
ক্যাম্বোডিয়ার জাতীয় পতাকা	Bandiera della Cambogia
সাইকো (১৯৬০-এর চলচ্চিত্র)	Psyco
ওয়াহাবী আন্দোলন	Wahhabismo
সোনিয়া গান্ধী	Sonia Gandhi
বেলুচিস্তান (পাকিস্তান)	Belucistan (Pakistan)
ইভা লঙ্গোরিয়া	Eva Longoria
স্ফেনডন পান্কটাম	Sphenodon
লেত্রঁজে	Lo straniero (Camus)
প্রিন্সিপিয়া ম্যাথেম্যাটিকা	Principia Mathematica
এজরা পাউন্ড	Ezra Pound
উইলিয়াম ব্র্যাডফোর্ড শকলি	William Bradford Shockley
শারলট ববক্যাট্‌স	Charlotte Hornets
'গ্রো-ম্গোন-ছোস-র্গ্যাল-'ফাগ্স-পা	Drogön Chögyal Phagpa
গ্রেরীফ শার্ক	Carcharhinus amblyrhynchos
কলাবতী	Canna indica
নেমানজা ভিডিচ	Nemanja Vidić
ডিডিটি	DDT (insetticida)
ভাইপারিডি	Viperidae
লেজিওঁ দনর	Legion d'onore
স্নাতক	Bachelor's degree
মায়ানমারের জাতীয় পতাকা	Bandiera della Birmania
ভিনসন ম্যাসিফ	Massiccio Vinson
জুজুৎসু	Jūjutsu
ত্রিশূর	Thrissur
সিলিকন ভ্যালি (যুক্তরাষ্ট্র)	Silicon Valley
ইপ মান	Yip Man
অঙ্কবাচক সংখ্যা	Numero cardinale
দ্রুজ	Drusi
চিরতা	Swertia
আর্চ এনিমি	Arch Enemy
এমিরেট্‌স স্টেডিয়াম	Emirates Stadium
পেপ গার্দিওলা	Josep Guardiola
ফ্রাঙ্কফুর্ট উ-বান	Metropolitana di Francoforte sul Meno
তিয়েনআনমেন স্কয়ার	Piazza Tienanmen
হেলেন	Elena (mitologia)
মেক্সিকো জাতীয় ফুটবল দল	Nazionale di calcio del Messico
আ বিউটিফুল মাইন্ড (চলচ্চিত্র)	A Beautiful Mind
মার্ক ওয়ালবার্গ	Mark Wahlberg
মার্কিন যুক্তরাষ্ট্র জাতীয় পুরুষ ফুটবল দল	Nazionale di calcio degli Stati Uniti d'America
ফিলিপ কোটলার	Philip Kotler
ফিনিক্স সান্‌স	Phoenix Suns
মার হায়রেনিক	Mer Hayrenik
অপারেশন (গণিত)	Operazione binaria
শিনকানসেন	Shinkansen
হাইপোথ্যালামাস	Ipotalamo
ধারকত্ব	Capacità elettrica
জাক আদামার	Jacques Hadamard
ওলন্দাজ বিদ্রোহ	Guerra degli ottant'anni
সর্বভূক প্রাণী	Onnivoro
জর্জ বেস্ট	George Best
আলফ্রেদো দি স্তিফানো	Alfredo Di Stéfano
সের্জিও লেওনে	Sergio Leone
আদনান ওকতার	Adnan Oktar
বামপন্থী রাজনীতি	Sinistra (politica)
২০১২ গ্রীষ্মকালীন অলিম্পিকের পদক তালিকা	Medagliere dei Giochi della XXX Olimpiade
চার্লস কর্নওয়ালিস	Charles Cornwallis, I marchese Cornwallis
ফুজিফিল্ম	Fujifilm
মুহাম্মদ আমিন আল হুসাইনি	Amin al-Husseini
দ্য ওয়াল স্ট্রিট জার্নাল	The Wall Street Journal
আলেক্সান্দ্‌র ব্লক‌	Aleksandr Aleksandrovič Blok
আগাদির সঙ্কট	Crisi di Agadir
অ্যাশ্‌টন কুচার	Ashton Kutcher
ডাস পারফুম	Profumo - Storia di un assassino
সাংখ্য	Sāṃkhya
অলিভার টুইস্ট (উপন্যাস)	Oliver Twist
গ্যালিপলির যুদ্ধ	Campagna di Gallipoli
ইব্রাহীম আফেলায়	Ibrahim Afellay
নিকে (পৌরাণিক চরিত্র)	Nike (mitologia)
গ্রীনহাউস	Serra
লম্বন	Parallasse
হাভিয়ের হার্নান্দেজ	Javier Hernández
গলগন্ড	Struma
সুইজারল্যান্ড জাতীয় ফুটবল দল	Nazionale di calcio della Svizzera
ইউরোপা (পৌরাণিক চরিত্র)	Europa (principessa)
অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস	Application programming interface
নীল (উদ্ভিদ)	Indigofera tinctoria
লঁস	Lens (Francia)
মিষ্টিকুমড়া	Zucca
অসমতা	Disuguaglianza
অপরাধ ও শাস্তি (উপন্যাস)	Delitto e castigo
অস্টিওপোরোসিস	Osteoporosi
কের্মন প্রদেশ	Regione di Kerman
অপশ্রুতি	Apofonia
বাদাখশন প্রদেশ	Badakhshan
অ্যাসেম্বলি ভাষা	Assembly
ধবলগিরি	Dhaulagiri
আযান	Adhān
নুট	Nut (mitologia)
শ্রোডিঙার সমীকরণ	Equazione di Schrödinger
ব্যারন	Barone
কুয়েতের জাতীয় পতাকা	Bandiera del Kuwait
ওমানের জাতীয় পতাকা	Bandiera dell'Oman
মঙ্গোলিয়ার জাতীয় পতাকা	Bandiera della Mongolia
কাসিনি-হাওখেন্স	Missione spaziale Cassini-Huygens
লেউকিপ্পোস	Leucippo (filosofo)
ক্যাশ (কম্পিউটিং)	Cache
জড়তার ভ্রামক	Momento di inerzia
কিরগিজিস্তানের জাতীয় পতাকা	Bandiera del Kirghizistan
অ্যাডোবি ফ্ল্যাশ	Adobe Flash
ইয়াজউদ্দিন আহম্মেদ	Iajuddin Ahmed
এডমান্ড বার্ক	Edmund Burke
ভূকেন্দ্রিক মডেল	Sistema geocentrico
সেভিং প্রাইভেট রায়ান	Salvate il soldato Ryan
রয়্যাল এয়ার ফোর্স	Royal Air Force
ব্রুনাইয়ের জাতীয় পতাকা	Bandiera del Brunei
আলোর প্রতিফলন	Riflessione (fisica)
উত্তর পশ্চিম প্রদেশ (দক্ষিণ আফ্রিকা)	Provincia del Nordovest (Sudafrica)
প্লাস্টিড	Plastidio
ইসিদোর ইজাক রাবি	Isidor Isaac Rabi
ভিয়েনা বিশ্ববিদ্যালয়	Università di Vienna
দ্বিতীয় বায়েজীদ	Bayezid II
দ্য লেমনহেডস	The Lemonheads
দ্য ওয়াশিংটন পোস্ট	The Washington Post
অ্যামিটার	Amperometro
স্যাক্রামেন্টো কিংস	Sacramento Kings
এপ্লিকেশন সফটওয়্যার	Applicazione (informatica)
বালোঁ দ’অর (১৯৫৬–২০০৯)	Pallone d'oro
ফ্রান্স ২৪	France 24
কাঁকড়া রহস্য	Il granchio d'oro
বিশৃঙ্খলা তত্ত্ব	Teoria del caos
হাঙ্গেরির ভূগোল	Geografia dell'Ungheria
আমির	Emiro
ড্যানিয়েল ডে-লুইস	Daniel Day-Lewis
সিএমওয়াইকে রঙ মডেল	CMYK
