Африк	Africa
Нүцгэн үртэн	Gymnospermae
Илмари Салминен	Ilmari Salminen
Эшмор ба Картьер Арлууд	Isole Ashmore e Cartier
Дифракц	Diffrazione
Виржил ван Дейк	Virgil van Dijk
Яаралтай анхны тусламж	Primo soccorso
Кочи-кэн	Prefettura di Kōchi
Аустерлицийн тулалдаан	Battaglia di Austerlitz
Мэжик Жонсон	Magic Johnson
Поло	Polo (sport)
Ардебиль муж	Regione di Ardabil
Луханск	Luhans'k
Катыний хядлага	Massacro di Katyń
Атомын цахилгаан станц	Centrale elettronucleare
Мишима Юкио	Yukio Mishima
Бүх ертөнцийн таталцлын хууль	Legge di gravitazione universale
AJAX	AJAX
Хорват улсын хөлбөмбөгийн шигшээ баг	Nazionale di calcio della Croazia
Балхаш	Lago Balqaš
Байшинтай	Gorodovikovsk
Чуэ Мину	Minho (cantante)
Шяуляй	Comune urbano di Šiauliai
Хоселу	Joselu
Галуутнуур хот	Gusinoozërsk
Коктейль	Cocktail
Форрест Гамп	Forrest Gump
Давхрага зүй	Stratigrafia (geologia)
Аналитик геометр	Geometria analitica
Мүраками Харүки	Haruki Murakami
Вакцин	Vaccino
Хөхүүл ханиад	Pertosse
Шампанск	Champagne
Хавьер Бардем	Javier Bardem
Фрэйзер арал	Isola di Fraser
Уругвай улсын хөлбөмбөгийн шигшээ баг	Nazionale di calcio dell'Uruguay
Грек улсын хөлбөмбөгийн шигшээ баг	Nazionale di calcio della Grecia
Өвлийн дайн	Guerra d'inverno
Лукас Подольски	Lukas Podolski
Ном зүй	Bibliografia
Габриэль Агбонлахор	Gabriel Agbonlahor
Ольмек	Olmechi
Лев Гумилёв	Lev Nikolaevič Gumilëv
Гүүгл Орчуулагч	Google Traduttore
Ессентуки	Essentuki
Бага Кьюба Гудинг	Cuba Gooding Jr.
Софийн ЦСКА	Profesionalen Futbolen Klub CSKA
Захаамин балгас	Zakamensk
Их Хуралдай	Kuriltai
Жеймс Харден	James Harden
Андре Игудала	Andre Iguodala
Мауро Икарди	Mauro Icardi
Виссан Бен Йеддер	Wissam Ben Yedder
Аркадиуш Милик	Arkadiusz Milik
Halo 3	Halo 3
2007 оны хөлбөмбөгийн багийн дэлхийн аварга шалгаруулах тэмцээн	Coppa del mondo per club FIFA 2007
Майкл Китон	Michael Keaton
Пак Гынь-хе	Park Geun-hye
Филадельфи Севенти Сиксерс	Philadelphia 76ers
Тасманийн онгон зэлүүд нутаг	Tasmanian Wilderness
Радамель Фалькао	Radamel Falcao
Пётр Столыпин	Pëtr Arkad'evič Stolypin
Нельсон Пруденчио	Nélson Prudêncio
Забид	Zabid
Микаэла Шиффрин	Mikaela Shiffrin
Забуль аймаг	Zabol
Бөх (2008 оны кино)	The Wrestler
Зак Рэндольф	Zach Randolph
Вольфганг Шмидт	Wolfgang Schmidt
Үндэсний Фашист Нам	Partito Nazionale Fascista
Голд-Кост	Gold Coast
МЕ262	Messerschmitt Me 262
Шадар гурван цэрэг	I tre moschettieri
Тоон зурхай	Numerologia
Себастьян Кель	Sebastian Kehl
Лаврентий Берия	Lavrentij Pavlovič Berija
Кимчи	Kimchi
Михаил Николаевич Тухачевский	Michail Nikolaevič Tuchačevskij
ИЛ-76	Ilyushin Il-76
Неймар	Neymar
Алтай Таван Богд	Tavan Bogd uul
Хар тоншуул	Dryocopus martius
Ойн шийхнүүхэй	Anthus trivialis
Шүдний суулгац	Impianto dentale
Шүдэт халим	Odontoceti
Левски баг	Profesionalen Futbolen Klub Levski Sofija
Залхуу баавгай	Melursus ursinus
Викторийн их цөл	Gran Deserto Victoria
Манж үндэстэн	Manciù
Апеннины хойг	Penisola italiana
Буурцаг	Baccello
One Direction	One Direction
Нэрчүү хот	Nerčinsk
Нил цэцэг	Viola (botanica)
Улиангар	Populus tremula
Умардын Зөвлөл	Consiglio nordico
Европ лийр	Pyrus communis
Холбох програм хангамж	Middleware
Олон тоо	Plurale
Миралем Пьянич	Miralem Pjanić
Эмма Стоун	Emma Stone
Ацикловир	Aciclovir
Эгшиг зохицох ёс	Armonia vocalica
Швейцари нарс	Pinus cembra
Нарагийн Үндэсний Музей	Museo nazionale di Nara
Монгол улс 2012 оны Зуны Олимпийн наадамд	Mongolia ai Giochi della XXX Olimpiade
Монгол улс 2004 оны Афины олимпод	Mongolia ai Giochi della XXVIII Olimpiade
Монгол улс Атлантын олимпод	Mongolia ai Giochi della XXVI Olimpiade
Монгол улс Бээжингийн олимпод	Mongolia ai Giochi della XXIX Olimpiade
Монгол улс Ванкуверын олимпт	Mongolia ai XXI Giochi olimpici invernali
Монгол улс Мехикогийн олимпод	Mongolia ai Giochi della XIX Olimpiade
Монгол улс Саппорогийн олимпод	Mongolia agli XI Giochi olimpici invernali
Монгол улс Солт-Лэйк Ситийн олимпод	Mongolia ai XIX Giochi olimpici invernali
Монгол улс Турины олимпод	Mongolia ai XX Giochi olimpici invernali
Коло Туре	Kolo Touré
Хасавюрт	Chasavjurt
Яргуй	Pulsatilla
Флорес арал (Индонез)	Flores (Indonesia)
Эдип хаан	Edipo re (Sofocle)
Кевин Нолан	Kevin Nolan
Грекийн хот-улсууд	Polis
Сильвериус	Papa Silverio
Сахалт далайн хав	Erignathus barbatus
Cтефан Cессеньон	Stéphane Sessègnon
Стивен Флетчер	Steven Fletcher
Давид Де Хеа	David de Gea Quintana
Уинстон Рид	Winston Reid
Жей Кей Симмонс	J. K. Simmons
Ивица Олич	Ivica Olić
Миг-21	Mikoyan-Gurevich MiG-21
Архитектурын инженерчлэл	Ingegneria edile
КАТ-ТҮН	KAT-TUN
Гун Ли	Gong Li
Жин Хэкмен	Gene Hackman
Мартин Демичелис	Martín Demichelis
Компьютер график	Computer grafica
Холбоотон гурван гүрний удирдагчдын Тегераны уулзалт	Conferenza di Teheran
Якуб Блашиковский	Jakub Błaszczykowski
Кевин-Принс Боатенг	Kevin-Prince Boateng
Холбоотон гурван гүрний удирдагчдын Подстамын уулзалт	Conferenza di Potsdam
Барс танк	Panzer VI Tiger I
Вэстлайф	Westlife
Неонацизм	Neonazismo
Жером Боатенг	Jérôme Boateng
Роберт Левандовский	Robert Lewandowski
Хольгер Бадштубер	Holger Badstuber
Жонни Вайсмюллер	Johnny Weissmuller
Москвагийн тулалдаан	Battaglia di Mosca
Францын тулалдаан	Campagna di Francia
Нэгдсэн Орос	Russia Unita
Тусламж:Ахисан түвшинд эх засварлах талаар	Aiuto:Modifica
Аксель Витсель	Axel Witsel
Мөнгө угаах	Riciclaggio di denaro
Ирвэс танк	Panzer V Panther
Леопард 2	Leopard 2
Ричард Бартон	Richard Burton
Take That	Take That
Цэнхэр жижир	Monticola solitarius
Эдвард Бенеш	Edvard Beneš
Бобби Замора	Bobby Zamora
Арам Хачатурян	Aram Il'ič Chačaturjan
Герман Титов	German Stepanovič Titov
Карл Густаф Эмиль Маннерхайм	Carl Gustaf Emil Mannerheim
Уэльсийн хунтайж Харри	Henry del Galles
Ян Коллер	Jan Koller
Марко Ройс	Marco Reus
Ивээн тэтгэгч	Sponsor
Август Энна	August Enna
Роке Санта Крус	Roque Santa Cruz
Монгол-Төвөдийн гэрээ	Trattato di amicizia e alleanza tra i governi di Mongolia e Tibet
Ларс Бендер	Lars Bender
Бенедикт Хёведес	Benedikt Höwedes
Кевин Кураньи	Kevin Kurányi
Оливер Нойвилль	Oliver Neuville
МиГ-17	Mikoyan-Gurevich MiG-17
Риккардо Монтоливо	Riccardo Montolivo
Лукаш Пишек	Łukasz Piszczek
МиГ-19	Mikoyan-Gurevich MiG-19
Кисловодск	Kislovodsk
Марианы арлууд	Isole Marianne
Эдин Жеко	Edin Džeko
F-86	North American F-86 Sabre
Берлиний тулалдаан	Battaglia di Berlino
Зондын арлууд	Isole della Sonda
Деннис Аого	Dennis Aogo
Рикардо Кошта	Ricardo Costa
Роман Вайденфеллер	Roman Weidenfeller
Жан-Жак Анно	Jean-Jacques Annaud
Даниел Праньич	Danijel Pranjić
Дорнод фронт (Дэлхийн нэгдүгээр дайн)	Fronte orientale (1914-1918)
Левон Аронян	Levon Aronian
Шинжи Кагава	Shinji Kagawa
Элэгний C вирус	Epatite C
Рене Адлер	René Adler
Рон-Роберт Цилер	Ron-Robert Zieler
Диего Контенто	Diego Contento
Үндэсний Сагсан Бөмбөгийн Холбоо	National Basketball Association
Нирун улс	Rouran
Роберт Хут	Robert Huth
Ведад Ибишевич	Vedad Ibišević
Ми-8	Mil Mi-8
Ми-24	Mil Mi-24
Гэрээслэл	Testamento
Т-72	T-72
Петер Симон Паллас	Peter Simon Pallas
Опава	Opava
Бүгд Найрамдах Хятад Ард Улсын төрийн дуулал	Marcia dei Volontari
Баруун Буг	Bug Occidentale
Хуан Фернандесын арлууд	Isole Juan Fernández
Хиагт	Kjachta
Олсныхон	Cannabaceae
Юрий Лужков	Jurij Michajlovič Lužkov
Хар хувцастнууд 2	Men in Black II
Лааган хот	Lagan'
Папарацци	Paparazzo
Халил Алтынтоп	Halil Altıntop
Аляскын нуруу	Catena dell'Alaska
Ужгород	Užhorod
Житомир	Žytomyr
Хмельницький	Chmel'nyc'kyj
Днепрожерзинск	Dniprodzeržyns'k
Кременчук	Kremenčuk
Ивано-Франковск	Ivano-Frankivs'k
Херсон	Cherson (Ucraina)
Ровно	Rivne
Тернополь	Ternopil'
Полтав	Poltava
Сумы	Sumy
Өрнийн тоншголжин	Sitta europaea
Рамиз Алиа	Ramiz Alia
Эзэн Хаан Тайшоо	Taisho
Чернигов	Černihiv
Черкас хот	Čerkasy
Макеевка	Makiïvka
Кривой Рог	Kryvyj Rih
Винниц	Vinnycja
Горловк	Horlivka
Никобарын арлууд	Nicobare
Голден Стэйт Уорриорз	Golden State Warriors
Голт бор	Syringa
Василий Чуйков	Vasilij Ivanovič Čujkov
Элэгний А вирус	Epatite A
Черновцы	Černivci
Запорожье хот	Zaporižžja
Ази тивийн хөлбөмбөгийн аварга шалгаруулах тэмцээн	Coppa delle nazioni asiatiche
Тутмос III	Thutmose III
Читтагонг муж	Divisione di Chittagong
Кировоград	Kirovograd
Манжин	Brassica napobrassica
Хумхаагийн шумуул	Anopheles
Карлтон Коул	Carlton Cole
Мэттью Жарвис	Matthew Jarvis
X&Y	X&Y
Viva la Vida or Death and All His Friends	Viva la vida or Death and All His Friends
Марк Нобл	Mark Noble
I Карлуш	Carlo I del Portogallo
Мэттью Тейлор	Matthew Taylor
Рикардо Ваш Те	Ricardo Vaz Tê
Андреас Бреме	Andreas Brehme
Кацүра Таро	Taro Katsura
Йенс Новотны	Jens Nowotny
Валкири (кино)	Operazione Valchiria (film)
Марк Шварцер	Mark Schwarzer
Графите	Edinaldo Batista Libânio
Уншигч (2008 оны кино)	The Reader - A voce alta
Висла-Одерын давшилт	Operazione Vistola-Oder
ТУ-134	Tupolev Tu-134
Цагаан хот, Тель Авив	Città Bianca (Tel Aviv)
Ульмийн тулалдаан	Battaglia di Ulma
Мари-Аделэйд, Люксембургийн их ван	Maria Adelaide di Lussemburgo
Энди Кэрролл	Andy Carroll
Филиппиний тэнгис	Mare delle Filippine
Амплитуд	Ampiezza
Генийн инженерчлэл	Ingegneria genetica
Чукотын тэнгис	Mare dei Ciukci
Геополитик	Geopolitica
Бух мэлхий	Lithobates catesbeianus
Баатар-хот	Città eroina
Эмирт Ажман	Ajman
Легницийн тулалдаан	Battaglia di Legnica
Андреас Бек	Andreas Beck (calciatore)
Жет Ли	Jet Li
Влёра	Valona
Кристиан Диор	Christian Dior
Сан-Антонио Спёрс	San Antonio Spurs
Барион	Barione
Мишель Пфайффер	Michelle Pfeiffer
Зуны олимп	Giochi olimpici estivi
Атланта Хоокс	Atlanta Hawks
Цагаан хирс	Ceratotherium simum
III Мурад	Murad III
Орос-Японы дайн	Guerra russo-giapponese
Сүүдэр	Ombra
Эконометрик	Econometria
Константинополийн уналт	Assedio di Costantinopoli (1453)
Тал газар	Pianura
III Хонориус	Papa Onorio III
Оле Рөмэр	Ole Rømer
Давид Рикардо	David Ricardo
Эдинбургийн их сургууль	Università di Edimburgo
Өрнө дахин	Civiltà occidentale
Актиумын тулалдаан	Battaglia di Azio
Жүүд Лоу	Jude Law
Крымийн ханлиг	Khanato di Crimea
Ту-124	Tupolev Tu-124
Зээрд дэглий	Ardea purpurea
Да Винчигийн код (Кино)	Il codice da Vinci (film)
Махын тоо	Numero di Mach
Хосе Рауль Капабланка	José Raúl Capablanca
Тогтмол санах ой	Read Only Memory
Симон Рольфес	Simon Rolfes
Клеменс Фриц	Clemens Fritz
Швед улсын хөлбөмбөгийн шигшээ баг	Nazionale di calcio della Svezia
Тоожоо Хидэки	Hideki Tōjō
Морины хүч	Cavallo vapore
Невен Суботич	Neven Subotić
Жонатан Спектор	Jonathan Spector
Хосе Олебас	José Holebas
Лайне гол	Leine
Иван Перишич	Ivan Perišić
Давид Сильва	David Silva
2007/2008 оны Германы хөлбөмбөгийн лиг	Fußball-Bundesliga 2007-2008
Хотжилт	Urbanizzazione
Илкай Гюндоган	İlkay Gündoğan
Владимир Крамник	Vladimir Borisovič Kramnik
Холбоотон гурван гүрний удирдагчдын Ялтын уулзалт	Conferenza di Jalta
Орландо Мэжик	Orlando Magic
Хьюстон Рокетс	Houston Rockets
Орчлонгийн сайхан хүүхэн шалгаруулах тэмцээн	Miss Universo
Peer to peer computing	Peer-to-peer
Оросын түүх	Storia della Russia
Хар бие	Corpo nero
Хавьер Маскерано	Javier Mascherano
Жамъянмядаг	Trollius
Япон үндэстэн	Giapponesi
Алтан гагнуур	Rhodiola rosea
Харри Поттэр ба Үхлийн шүтээн 1-р бүлэг	Harry Potter e i Doni della Morte - Parte 1
Харри Поттэр ба Хагас цуст Ханхүү (кино)	Harry Potter e il principe mezzosangue (film)
Тату	T.A.T.u.
Үндэстэн дамнасан корпораци	Multinazionale
Геохими	Geochimica
Черкас муж	Oblast' di Čerkasy
Император оцон шувуу	Aptenodytes forsteri
Хуфу	Cheope
Марио Стэчер	Mario Stecher
Оуэн Уилсон	Owen Wilson
Ники Минаж	Nicki Minaj
Сүбэдэй баатар	Subedei
Цэнэгт мандал	Ionosfera
Аллахабад	Allahabad
Орлогын тэгш бус байдлын илтгэлцүүр	Coefficiente di Gini
Колин Фөрт	Colin Firth
VI Мехмед	Mehmet VI
Өскемен	Öskemen
Картахена	Cartagena (Spagna)
Жан-Бедель Бокасса	Jean-Bédel Bokassa
Ангар	Angara
Негевийн цөл	Deserto del Negev
Денвер Наггетс	Denver Nuggets
Кливленд Кавальерс	Cleveland Cavaliers
Петрологи	Petrologia
Магнус Крог	Magnus Krog
Балучистан	Belucistan (Pakistan)
Эва Лонгориа	Eva Longoria
Херсон муж	Oblast' di Cherson
Хью Грант	Hugh Grant
Ромын легион	Legione romana
Канаан	Canaan
Пипетик	Pipetta
Дорнод Сибирийн тэнгис	Mare della Siberia orientale
Хивс	Tappeto
Шарлотт Бобкэтс	Charlotte Hornets
Пагва лам	Drogön Chögyal Phagpa
Ирландын хөлбөмбөгийн үндэсний шигшээ баг	Nazionale di calcio dell'Irlanda
Неманья Видич	Nemanja Vidić
Ангкор	Angkor
Counter-Strike	Counter-Strike
Хосе Мануэль Рейна	José Manuel Reina
Зул сарын баярын эвлэрэл	Tregua di Natale
ИЛ-38	Ilyushin Il-38
Чийг бам	Scorbuto
Рафаэль ван дер Варт	Rafael van der Vaart
Хосеп Гуардиола	Josep Guardiola
Мексик улсын хөлбөмбөгийн шигшээ баг	Nazionale di calcio del Messico
Марк Уолберг	Mark Wahlberg
Филип Котлер	Philip Kotler
Финикс Санс	Phoenix Suns
Львов муж	Oblast' di Leopoli
Шинкансэн	Shinkansen
Виктор Амбарцумян	Viktor Amazaspovič Ambarcumjan
Багтаамж	Capacità elettrica
Хурган цахлай	Hydrocoloeus minutus
Сержио Леоне	Sergio Leone
Бүтээлийн хулгай	Plagio (diritto d'autore)
Макото Хасэбэ	Makoto Hasebe
2012 оны Зуны Олимпийн наадмын медалийн хүснэгт	Medagliere dei Giochi della XXX Olimpiade
Гагауз нутаг	Gagauzia
Бөгжний эзэн: Хоёр цамхаг	Il Signore degli Anelli - Le due torri
Оливер Твист	Oliver Twist
Ибрахим Афеллай	Ibrahim Afellay
Сергей Новиков	Sjarhej Novikaŭ
Мозамбикийн хоолой	Canale del Mozambico
Хавьер Эрнандес Балькасар	Javier Hernández
Швейцарийн хөлбөмбөгийн шигшээ	Nazionale di calcio della Svizzera
Ким Ён-Сам	Kim Young-sam
Роберт Дауни, хүү	Robert Downey Jr.
Оюу	Turchese (minerale)
Бадахшан аймаг	Badakhshan
Плевен	Pleven
Ассемблер хэл	Assembly
Сату-Маре аймаг	Distretto di Satu Mare
Эван Макгрегор	Ewan McGregor
Тоби Магуайр	Tobey Maguire
Мемфис Гриззлис	Memphis Grizzlies
Карло Гольдони	Carlo Goldoni
Монгол улсын төрийн далбаа	Bandiera della Mongolia
Колийн хойг	Penisola di Kola
Органик хөдөө аж ахуй	Agricoltura biologica
Свен Бендер	Sven Bender
Өндрийн харайлт	Salto in alto
Афоризм	Aforisma
StarCraft	StarCraft
Исидор Айзек Раби	Isidor Isaac Rabi
Мэдрэгч дэлгэц	Touchscreen
Идлэг шонхор	Falco cherrug
Найман өнцөгт	Ottagono
Сакраменто Кингc	Sacramento Kings
Хэрэглээний програм хангамж	Applicazione (informatica)
Польш улсын хөлбөмбөгийн шигшээ баг	Nazionale di calcio della Polonia
Астеносфер	Astenosfera
Стилиян Петров	Stilijan Petrov
Жеффри Раш	Geoffrey Rush
Фабиан Делф	Fabian Delph
Пауло Дибала	Paulo Dybala
Сэргээш	Doping
Дэниел Дэй-Льюис	Daniel Day-Lewis
Эрэлт ба нийлүүлэлт	Domanda e offerta
Винниц муж	Oblast' di Vinnycja
Бельгийн хөлбөмбөгийн шигшээ	Nazionale di calcio del Belgio
Биатлон	Biathlon
Мануул	Felis manul
Як-24	Yakovlev Yak-24
Кемба Уокер	Kemba Walker
Колин Маттель	Coline Mattel
Жон Оби Микель	Mikel John Obi
Загросын нуруу	Monti Zagros
IV Грегориус	Papa Gregorio IV
Хүүхдийн эсрэг хүчирхийлэл	Abuso minorile
Васлуй аймаг	Distretto di Vaslui
Никлас Бентнер	Nicklas Bendtner
Портлэнд Трэйл Блэйзерс	Portland Trail Blazers
Антонио Ди Натале	Antonio Di Natale
Хүлэмжийн хий	Gas serra
Крагуевац	Kragujevac
Нуристан аймаг	Provincia di Nurestan
Мег Райан	Meg Ryan
АНТ-3/Р-3	Tupolev ANT-3
Юрийн галавын цэцэрлэг (кино)	Jurassic Park (film)
Завхан	Provincia del Zavhan
Эдинсон Кавани	Edinson Cavani
Лев Яшин	Lev Jašin
Волынь муж	Oblast' di Volinia
Чернигов муж	Oblast' di Černihiv
Майонез	Maionese
БРДМ-2	BRDM-2
Крайова хот	Craiova
Үд	Mezzogiorno (parte del giorno)
Даниеле Де Росси	Daniele De Rossi
Добрич	Dobrič
Тас	Aegypius monachus
Ширакава Масааки	Masaaki Shirakawa
Эмма Томпсон	Emma Thompson
Хуан Мата	Juan Manuel Mata
Нилийн матар	Crocodylus niloticus
Спиритуалити	Spiritualità
Черновцы муж	Oblast' di Černivci
Эгэл ногоолзой	Spinus spinus
Дорнын хан бүргэд	Aquila heliaca
Даниэль Шваб	Daniel Schwaab
Фрэнк Райкард	Frank Rijkaard
Панжаб	Punjab (regione)
Нара	Nara
Майами Хийт	Miami Heat
Александр Дюма, хүү	Alexandre Dumas (figlio)
Вашингтон Уизардс	Washington Wizards
Омбудсмен	Difensore civico
Ялгаварлан гадуурхалт	Discriminazione
ENIAC	ENIAC
Нэгдсэн загварчлалын хэл	Unified Modeling Language
Шакил О'Нил	Shaquille O'Neal
Полтав муж	Oblast' di Poltava
Милуоки Бакс	Milwaukee Bucks
Детройт Пистонс	Detroit Pistons
Графин	Grafene
III Валентиниан	Valentiniano III
Киев муж	Oblast' di Kiev
Самарра	Samarra
Закарпат муж	Oblast' della Transcarpazia
Димитр Бербатов	Dimităr Berbatov
Жинань	Jinan
Могойч загалай	Circaetus gallicus
Андреас Везалиус	Andrea Vesalio
Суботица	Subotica
Баглан аймаг	Baghlan
Хятад-Японы хоёрдугаар дайн	Seconda guerra sino-giapponese
Намаг	Zona umida
Чиндао	Tsingtao
Индиана Пэйсерс	Indiana Pacers
Ринченгийн Барсболд	Rinchen Barsbold
Стара-Загора	Stara Zagora
Дэлхийн Эдийн Засгийн Форум	Forum economico mondiale
2010 оны өсвөрийн зуны олимп	I Giochi olimpici giovanili estivi
Дэлхийн Цаг Уур Судлалын Байгууллага	Organizzazione meteorologica mondiale
Хелена Бонэм Картер	Helena Bonham Carter
Махан идэштэн	Predazione
Сумы муж	Oblast' di Sumy
Припять	Pryp'jat' (città)
Балч гоорбис	Pernis apivorus
Кашгар	Kashgar
Миннесота Тимбервулвз	Minnesota Timberwolves
V Бенедикт	Papa Benedetto V
Унгарын хөлбөмбөгийн үндэсний шигшээ баг	Nazionale di calcio dell'Ungheria
Терминатор 2: Цээрлэлийн өдөр	Terminator 2 - Il giorno del giudizio
Японы хөлбөмбөгийн үндэсний шигшээ баг	Nazionale di calcio del Giappone
Алек Болдуин	Alec Baldwin
Хелен Хант	Helen Hunt
Томми Ли Жонс	Tommy Lee Jones
Хүхэрт устөрөгч	Acido solfidrico
Андын тас	Vultur gryphus
Ева Мендес	Eva Mendes
Чиба	Chiba
Юта Жаз	Utah Jazz
Харьков муж	Oblast' di Charkiv
Днепропетровск муж	Oblast' di Dnipropetrovs'k
I Абдул Хамид	Abdul Hamid I
Усны могой	Natrix natrix
Шарга балч	Merops apiaster
Хондон ангир	Tadorna ferruginea
Математикч	Matematico
Сүүлт хөхбух	Aegithalos caudatus
Сергей Королёв	Sergej Pavlovič Korolëv
III Николас	Papa Niccolò III
Бөмбөгдөгч онгоц	Bombardiere
Биологийн зэвсэг	Arma biologica
Кэндо	Kendō
VPN	Virtual Private Network
Галац	Galați
Гриззли баавгай	Ursus arctos horribilis
Био хий	Biogas
II Целестин	Papa Celestino II
Аида	Aida
Хмельницкий муж	Oblast' di Chmel'nyc'kyj
Запорожье муж	Oblast' di Zaporižžja
Бамиан аймаг	Provincia di Bamiyan
Наран цэцэг	Helianthus annuus
Маракайбо	Maracaibo
Тоодог	Otis tarda
Хөхөөний үүрэн дээгүүрх нислэг (кино)	Qualcuno volò sul nido del cuculo
И Сын-Ман	Syngman Rhee
Чилдрэн оф Бодом	Children of Bodom
Роберт Дюваль	Robert Duvall
Жереми Айронс	Jeremy Irons
Абхаз ястан	Abcasi
Одесс муж	Oblast' di Odessa
Агра бэхлэлт	Forte rosso di Agra
Жэйми Фокс	Jamie Foxx
Луганск муж	Oblast' di Luhans'k
Ганын хөлбөмбөгийн шигшээ	Nazionale di calcio del Ghana
Чили улсын хөлбөмбөгийн шигшээ баг	Nazionale di calcio del Cile
Женнифер Гарнер	Jennifer Garner
Бадгис аймаг	Badghis
Манхин галуу	Anser albifrons
Шингэний механик	Meccanica dei fluidi
Жэйми Каррагер	Jamie Carragher
Шүрэн Тэнгисийн Арлууд	Isole del Mar dei Coralli
Словенийн хөлбөмбөгийн үндэсний шигшээ баг	Nazionale di calcio della Slovenia
Цана	Sci (attrezzo)
Т-34	T-34 (carro armato)
Шоушенкийн шоронгоос оргосон нь	Le ali della libertà
Жон Малкович	John Malkovich
Малефисент (кино)	Maleficent
Хлор	Cloroformio
Нью Орлеанс Хорнетс	New Orleans Pelicans
Нерюнгри	Nerjungri
Серби динар	Dinaro serbo
Сэмюэл Лерой Жексон	Samuel L. Jackson
Даниэл Алвес	Daniel Alves
Антонио Пиццониа	Antônio Pizzonia
Даррен Флетчер	Darren Fletcher
Веселин Топалов	Veselin Topalov
Загребын Динамо	Građanski nogometni klub Dinamo Zagreb
Мика Хаккинен	Mika Häkkinen
Илья Репин	Il'ja Efimovič Repin
ТУ-154	Tupolev Tu-154
Агрономи	Agronomia
Тоон дохио боловсруулалт	Elaborazione numerica dei segnali
Тоон электроник	Elettronica digitale
Бен Кингсли	Ben Kingsley
Франц Фердинанд (хамтлаг)	Franz Ferdinand
Эстончууд	Estoni
Нангиад ногоолдой	Chloris sinica
Гауссын хууль	Teorema del flusso
Булш	Tomba
Эллен Пейж	Ellen Page
Тернополь муж	Oblast' di Ternopil'
Хүмүүнлэгийн эсрэг гэмт хэрэг	Crimine contro l'umanità
Жессика Лэнг	Jessica Lange
Ice Cube	Ice Cube
Су-27	Sukhoi Su-27
М1 Абрамс	M1 Abrams
Сетубал	Setúbal
Газни	Ghazni
Эрдош Пал	Paul Erdős
Хасагийн тенге	Tenge kazako
Рубен Дарио	Rubén Darío
Кандахар аймаг	Provincia di Qandahar
Каписа аймаг	Kapisa
Радиус	Raggio (geometria)
Хильменд аймаг	Helmand
Фарьяб аймаг	Faryab
Никарагуа нуур	Lago Nicaragua
Файсалабад	Faisalabad
Хэрмаини Грэнжер	Hermione Granger
Керманшах муж	Regione di Kermanshah
Банхар булжуухай	Coccothraustes coccothraustes
Чанша	Changsha
Хогвартс	Hogwarts
Ровно муж	Oblast' di Rivne
Орос-Туркийн дайн (1877-1878)	Guerra russo-turca (1877-1878)
Эзэн Хаан Мэйжи	Meiji
Vietnam Airlines	Vietnam Airlines
Argento Soma	Argento Soma
Савагт ариан	Aegolius funereus
Антонио Валенсиа	Luis Antonio Valencia
Карло Анчелотти	Carlo Ancelotti
См	Centimetro
Жефф Брижес	Jeff Bridges
Алан Шепард	Alan Shepard
Хаш	Giada
Свот шинжилгээ	Analisi SWOT
Женнифер Лав Хьюит	Jennifer Love Hewitt
Дүүжлэх ял	Impiccagione
Москва гол	Moscova
Маркус Лициниус Крассус	Marco Licinio Crasso
Альфред Сислей	Alfred Sisley
Бат хан	Batu Khan
Өгөгдлийн бүтэц	Struttura dati
Wikipedia:Хориг ба түгжээстэй холбоотой баримтлах бодлого	Wikipedia:Politiche di blocco degli utenti
Раул Мейрелиш	Raul Meireles
Аарон Леннон	Aaron Lennon
Рашард Льюис	Rashard Lewis
Сергей Ильюшин	Sergej Vladimirovič Il'jušin
Евлах	Yevlax
Египетийн пирамидууд	Piramidi egizie
Таддеус Шидлер	Thaddeus Shideler
Айдас	Fobia
Шоткийн диод	Diodo Schottky
Оронгийн транзистор	Transistor a effetto di campo
Лорд Волдэморт	Lord Voldemort
Олон улсын харьцуулалт: Хүн амын суурьшлын нягт сийрэг	Stati per densità di popolazione
Берни Мак	Bernie Mac
Зөгийн аж ахуй	Apicoltura
ЦСКА Москва (хөлбөмбөгийн баг)	Professional'nyj Futbol'nyj Klub Central'nyj Sportivnyj Klub Armii
Умард туйлын цагираг	Circolo polare artico
Буган чулуу	Stele del Cervo
2010 оны хөлбөмбөгийн дэлхийн аварга шалгаруулах тэмцээн	Campionato mondiale di calcio 2010
Полимеразын гинжин урвал	Reazione a catena della polimerasi
Атомаас жижиг бөөм	Particella subatomica
Паскалийн гурвалжин	Triangolo di Tartaglia
Блессинг Окагбаре	Blessing Okagbare
Дуучин	Cantante
Борис Спасский	Boris Vasil'evič Spasskij
Хүлэгү	Hulagu Khan
Крэйг Гордон	Craig Gordon
Тимоте Колозейчак	Timothée Kolodziejczak
Стерадиан	Steradiante
Томас Хант Морган	Thomas Hunt Morgan
Майкон Дуглас Сизенандо	Maicon
Гидравлик	Idraulica
Соронзон урсгал	Flusso magnetico
Япон Википедиа	Wikipedia in giapponese
Ухаа хажир	Gyps fulvus
Эурелио Гомес	Heurelho da Silva Gomes
I Иштван	Stefano I d'Ungheria
Үнэ хаялцах	Asta
Стек	Stack
Гайус Мариус	Gaio Mario
Маркиан	Marciano (imperatore)
Илчит мандал	Termosfera
Мэдээлэл дамжуулах түгээгүүр	Bus (informatica)
Туамасина	Toamasina
