Naakaii Łizhiní Bikéyah	Africa
Akʼáán	Farina
Mágítsoh	Gorilla
Bitsįʼ yishtłizhii	Nativi americani
Chʼil akʼahí	Persea americana
Neeshchʼííłbáhí	Arachis hypogaea
Dzidzétsoh díkʼǫ́ǫzhii	Prunus armeniaca
Naʼashǫ́ʼii łahgo ánééhé	Chamaeleonidae
Yootó	Santa Fe (Nuovo Messico)
Łééchąąłgaii	Greyhound
Nahatʼeʼiitsoh Bikéyahdę́ę́ʼ łééchąąʼí ałchiní	Canis lupus dingo
Chʼééhjiyáán	Citrullus lanatus
Teide	Teide
Naʼastsʼǫǫsí	Mus (genere)
Hakʼaz bįįh	Rangifer tarandus
Chʼosh doo yitʼínii	Microrganismo
Táshchozhii	Hirundinidae
Neeshchʼííʼ hááheeshchiiʼí	Prunus dulcis
Łóóʼ bigaan tseebíí	Octopoda
Chʼosh bikágí ntłʼizí	Brachyura
Tábąąstííntsoh bideeʼ hólónígíí	Odobenus rosmarus
Mágí diʼilí	Pongo (zoologia)
Atsátsoh	Aquila chrysaetos
Łóóʼtʼą́hí atsiniltłʼish ííłʼínígíí	Torpediniformes
Chʼil łitsxooí ntsxaaígíí	Citrus × paradisi
Kʼíníjíłʼahí (dííshjį́ ááłjiní)	Ribes uva-crispa
Kʼaalógiiłgaígíí	Pieridae
Naʼastsʼǫǫsí binááʼ áłtsʼíísígíí	Soricidae
Dzaanééz	Mulo
Tsinlátah shash łichíʼígíí	Ailurus fulgens
Tsídii jáádnézí	Phoenicopterus
Tééh łééchąąʼí	Hyaenidae
Łóóʼtsoh dootłʼizhígíí	Balaenoptera musculus
Sóól	Acer (botanica)
Aghaaʼ	Lana
Deesdoigi	Zona torrida
Shádiʼááhdę́ę́ʼ tłʼízí	Lama glama
Mósíʼilí	Persiano (razza felina)
Lókʼaatah mósí ałchiní	Felis chaus
Náátsʼózídę́ę́ʼ mósíłkizhii ałchinígíí	Prionailurus bengalensis
Náshdóítʼą́ʼí łikizhígíí	Leptailurus serval
Tábąąh béégashii	Bubalus bubalis
Béégashiitsoh naʼałkǫ́ǫ́ʼígíí	Trichechus
Hastiin Leiw Éíwiksson	Leif Erikson
Akágí yitsʼǫǫsii	Hirudinea
Anáʼálwoʼ:TʼAN (FAQ)	Aiuto:FAQ
Táłkááʼ tsʼin	Crocodylidae
Chidítsoh	Autocarro
Dlǫ́ʼiitsoh áłtsʼózígíí	Genetta
Gáagii	Corvus
Tó wónaanídę́ę́ʼ náshdóí	Lynx lynx
Jááłánii (bitsiitsʼiin nteelígíí)	Chilopoda
Giní	Falco
Dahiitį́hii	Trochilidae
Tsídii biyęęzhtsohígíí	Apteryx
Tązhii	Meleagris
Chʼosh (Bíígháán Ádaadinígíí)	Invertebrata
Gáagii naashchʼąąʼígíí	Coraciidae
Mąʼii	Canis latrans
Dah Naatʼaʼí Sǫʼ bił Sinil	The Star-Spangled Banner
Akʼah sisíʼí tsin	Eucalyptus
Gahtsoh	Lepus (genere)
Bisóodi bíchį́į́h nineezí	Orycteropus afer
Sonora Hahoodzo	Sonora
Nahakʼízii	Gryllidae
Chaaʼ	Castor (zoologia)
Chʼilzooł	Brassica oleracea var. italica
Kááʼtsʼiní	Dasypodidae
Atsʼiis naałdzid	Carcinoma del polmone
Yágháhoníkáángóó ałánátʼahí	Space Shuttle
Méhigo tééh	Valle del Messico
Nahatʼeʼiitsoh łichíiʼii	Macropus rufus
Azeeniłchin	Lamiaceae
Chʼał	Anura
Tsxilghááh	Caudata
Shádiʼááhdę́ę́ʼ atsátsoh	Harpia harpyja
Shádiʼááhdę́ę́ʼ chʼał kʼaasdáhígíí	Dendrobatidae
Chʼał niłtólí	Centrolenidae
Chʼał dichʼízhí	Bufonidae
Tónteel tsídiitsoh	Diomedeidae
Chidí nadlééh	Cabriolet
Chʼał atʼąąʼ nahalinii	Megophryidae
Naashgalí	Mescaleros
Bisóodi ałchiní	Sus scrofa
Naʼastsʼǫǫsí dóó Łéʼétsoh Danilínígíí	Muroidea
Mariner 10	Mariner 10
Sǫʼ łóóʼ bigaanézí	Ophiuroidea
Dághaałóóʼ	Siluriformes
Łóóʼtʼą́hí	Pleuronectiformes
Toohjįʼ ndiigaii	Egretta thula
Kʼaalógii bitseeʼ hólóní	Papilionidae
Mágí binááʼtsohígíí	Tarsius
Tó wónaanídę́ę́ʼ dlǫ́ʼiiłkizhii	Vormela peregusna
Díłdánii	Odontophoridae
Táłtłʼááh łį́į́ʼ	Hippocampus
Łóóʼ bíígháántsiighąąʼ ádaadinígíí	Myxiniformes
Béésh Sinil	Winslow (Arizona)
Achʼįʼ Náhiłtį́į́	Safford
Tó wónaanídę́ę́ʼ dzeeh	Cervus elaphus
Tsézhin Deezʼáhí	St. Johns (Arizona)
Béésh Bá Hooghan	Globe (Arizona)
Kinłání (Hoozdoh Hahoodzo)	Flagstaff (Arizona)
Michoacán Hahoodzo	Michoacán
Tʼiisyaakin	Holbrook (Arizona)
Naʼníʼá Hótsaa	Page (Arizona)
Táłtłʼááh chʼosh daadánígíí	Caridea
Mágíshzhin	Pan (zoologia)
Łóóʼntsxaaí łikizhígíí	Rhincodon typus
Dlǫ́ʼii yił Aheedaałtʼéhígíí	Herpestidae
Béésh Bichʼahníí Bikéyahdę́ę́ʼ ayání	Bison bonasus
Łóóʼtsoh bitsiiʼ dikʼání	Physeter macrocephalus
Waaʼ (dííshjį́ ááłjiní)	Spinacia oleracea
Néʼéshjaatsoh	Bubo virginianus
Shádiʼááhdę́ę́ʼ tłʼízíʼilí	Vicugna pacos
Chʼosh ditłʼooí	Bruco
Łóóʼ bigaan neeznání	Teuthida
Bijáád noodǫ́ǫzii	Okapia johnstoni
Méhigo Hahoodzo	Messico (stato)
Ayání	Bison bison
Mąʼiiłgaii	Alopex lagopus
Táłtłʼááh chʼosh chʼééh digháhii bideetsohígíí	Anaspidea
Gólízhii Danilínígíí	Mephitidae
Táłtłʼááh adijiłii	Echinoidea
Nahachagii	Caelifera
Tsídiitsoh ditsʼozígíí	Dromaius novaehollandiae
Ałhaʼdeetʼaah	Contratto
Naayééʼ tsídii	Archaeopteryx lithographica
Tsísʼná (bitłʼizh ííłʼínígíí)	Apis
Chééwokii dinéʼiʼ	Cherokee
Tsin naaʼeeł hééł bee nágéhéʼ	Nave cargo
Ałtį́į́ jikʼáshí áłtsʼózígíí (chʼil)	Equisetum arvense
Yéigo ałhoshii	Gliridae
Naʼashjéʼii bijéí dah łichíiʼii	Latrodectus mactans
Mágí dághaaʼígíí	Saguinus imperator
Didzéłchííʼ	Ilex
Naałání	Comanche
Oozéí / Ayahkinii	Hopi
Toohjįʼ noołnahiitsoh	Ardea goliath
Bidááʼ Haʼaztʼiʼ Tsékooh	Grand Canyon
Táłtłʼááh naʼashjéʼii	Argyroneta aquatica
Táłtłʼááh tsisteełtsoh	Dermochelys coriacea
Tsídii yáłtiʼí yázhí	Melopsittacus undulatus
Tábąąh mąʼii	Procyon lotor
Hołchʼíʼí	Urtica
Dáághahii dinéʼiʼ	Francesi
Shash łizhinígíí	Ursus americanus
Náshdóí bizaʼazis hólóní	Thylacinus cynocephalus
Shash bitéélgaígíí	Ursus thibetanus
Chʼoshtʼą́hí	Platyhelminthes
Hashtłʼish jeeshóóʼ	Gypaetus barbatus
Jádí bíchį́į́htsohígíí	Saiga tatarica
Táłtłʼááh chʼoshtsoh chʼééh digháhii	Holothuroidea
Chidí naatʼaʼí dilwoʼí	Aereo da caccia
Bíchį́į́h naatsʼǫǫdí	Tapirus
Tó wónaanídę́ę́ʼ mąʼii	Canis aureus
Chʼóshgai (tsin)	Picea glauca
Łóóʼ Bigaan Dahólónígíí	Cephalopoda
Naʼashǫ́ʼii łóóʼ	Anguilliformes
Dahbaʼ (tsin)	Fraxinus
Łóóʼ hashkéhétsoh	Carcharodon carcharias
Neeshchʼííłchííʼ	Castanea
Chį́į́hnézí nahatʼeʼígíí	Macroscelididae
Táłtłʼááh ayání	Dugong dugon
Dibé Diníí Bikéyahdę́ę́ʼ náshdóí	Lynx pardinus
Maadíséloo	Monticello (Utah)
Kʼaiʼ Bił Hahazteel	Kanab
Toohjįʼ ndiigaiitsoh	Ardea alba
Wóóneeshchʼįįdii	Cicadidae
Dééshzhiin	Cygnus atratus
Naakaii náásééł	Mantodea
Dlǫ́ǫ́ʼ ntsxaaígíí	Hydrochoeris hydrochaeris
Mąʼii bijaaʼtsohí	Vulpes zerda
Dilchaʼ	Marmota
Náshdóí łibáhígíí	Lynx rufus
Chʼilhaatʼaʼii	Falco columbarius
Tééh hóyáaniitsoh	Delphinapterus leucas
Jádí bideeʼ yisdizígíí	Aepyceros melampus
Náátsʼózídę́ę́ʼ mąʼiiłchííʼ	Cuon alpinus
Łóóʼtsoh bighą́ą́ʼ yílkʼidígíí	Megaptera novaeangliae
Ghą́ą́ʼnaakiskʼidii	Camelus bactrianus
Tábąąh mąʼiiniiʼí	Nyctereutes procyonoides
Naʼazhǫǫsh (ndajiné dóó adazhdikaʼgi)	Casa da gioco
Dlǫ́tʼą́ʼí	Suricata suricatta
Azeeʼ hókániitsoh (chʼil daadánígíí)	Cynara scolymus
Kéchwa dinéʼiʼ	Quechua
Mąʼii bizaʼazis hólóní	Sarcophilus harrisii
Shash bítááʼłgaígíí	Tremarctos ornatus
Jádítsoh	Tragelaphus strepsiceros
Naatʼáanii Moctezuma II	Montezuma
Biwooʼ Ádaałtsʼíísígíí	Pilosa
Ásáí dinéʼiʼ bikéyah	Mondo arabo
Shash yázhí	Helarctos malayanus
Shash ndilnaʼii	Melursus ursinus
Teeł	Typha
Hwéeldi	Lunga marcia dei Navajo
Chʼódeenínii	Picea pungens
Łéʼétsoh yiljaaʼí	Ranunculus
Hakʼaz náshdóí	Lynx canadensis
Mąʼii yił Ałhidanoolinígíí Yázhí	Procyonidae
Béésh Bichʼahii beʼakétłʼóól dijoolí	Brassica oleracea gongylodes
Nahooyéí (chʼil naʼatłʼoʼii)	Convolvulus
Tłʼoh waaʼí nahalinígíí	Trifolium repens
Tábąąstííntsoh dághaaʼígíí	Erignathus barbatus
Atʼééké bijish yázhí	Brassica oleracea gemmifera
Tsékooh	Gola (geografia)
Noodah	Agave (botanica)
Łeeʼdoolʼeezí	Orobanchaceae
Kinteel Bił Hahoodzo	Contea di San Juan (Nuovo Messico)
Beeʼeldííl Dahsinil Bił Hahoodzo	Contea di Bernalillo
Aniłtʼánii	Neuroptera
Kʼaalógii bijáád dį́įʼii	Nymphalidae
Nímasii yiyání	Leptinotarsa decemlineata
Awééʼchíʼí (chʼil)	Campanula
Taʼaghálii	Astragalus
Naaʼołí yiltʼąąʼí	Lathyrus
Azeeʼ ndootʼeezhí łibáhígíí	Marrubium vulgare
Hastóí tsiiyéélí	Clematis
Chʼilátah atsʼos	Epilobium
Kʼish	Alnus incana
Dééłjáád	Rumex crispus
Kʼįįʼ	Rhus
Naaztání	Gleditsia triacanthos
Tsinyaa tłʼoh	Poa (botanica)
Tłʼééʼ yiigáhii	Oenothera
Tłʼoh deeskʼidí	Amaranthus retroflexus
Ndootʼeezhí	Monarda
Wóóseekʼidii	Sphingidae
Díkʼǫ́ǫ́zhí (chʼil)	Atriplex
Láʼashdlaʼ	Parthenocissus quinquefolia
Tséghániłchʼi	Portulaca oleracea
Tséyaa hataałí	Brassica napobrassica
Tłʼohtsʼózí	Juncus
Tłʼoh dichʼíízh	Carex
Shashdą́ą́ʼ	Berberis
Díkʼǫ́ǫ́zhí yiltʼąąʼí	Chenopodium album
Bįįh yildeeʼí	Physalis
Kʼaalógii bitʼaʼ ndikʼąʼ nahalinígíí	Lycaenidae
Hosh niteelí	Opuntia
Chʼał nineezí	Lithobates catesbeianus
Tééh hóyáanii bíchį́į́htsahí	Monodon monoceros
Mágí bíchį́į́htsohígíí	Papio
Bįįh łikizhígíí (Béésh Bichʼahníí Bikéyahdę́ę́ʼígíí)	Dama dama
Tábąąh ayání	Syncerus caffer
Nátʼostsoh	Verbascum thapsus
Dibé diníí dinéʼiʼ	Spagnoli
Binaʼadaałtzózí	Giapponesi
Dzidzé ditʼódí	Amelanchier alnifolia
Gad yił aheełtʼéhígíí	Tamarix
Łóóʼ bíchį́į́h nineezí	Xiphias gladius
Binááʼ Ádaałtsʼózí bichʼil łigaií	Brassica rapa pekinensis
Kolíya Tááʼ Bikéyahą́ą	Tre regni di Corea
Iiʼnótʼį́į́	Infezione
Chʼah Diʼilii Bikéyahdę́ę́ʼ mósí ałchinígíí	Felis manul
Tááʼyaʼniiltʼóshiiłbáhígíí	Cardinalis sinuatus
Jááłánii (bikágí ntłʼizígíí)	Diplopoda
Iichʼąhii ntsxaaígíí	Attacus atlas
Łóóʼ ńdídzihígíí	Dipnoi
Chʼíshiibeezhii	Paridae
Giní jáádnézí	Sagittarius serpentarius
Hakʼaz néʼéshjaaʼ	Bubo scandiacus
Shádiʼááhdę́ę́ʼ jeeshóóʼ	Vultur gryphus
Chidí naatʼaʼítsoh beeʼeldǫǫh bikǫʼ neiyéhé	Bombardiere
Shash bighą́ąʼgi hadzíbáhí	Ursus arctos horribilis
Kǫʼ naʼałbąąsii	Locomotiva a vapore
Ndíyíliitsoh	Helianthus annuus
Naaʼahóóhaiłkizhígíí	Numididae
Tłʼiish yighání	Mellivora capensis
Dadilhóni aheltłʼidígíí	Bomba a mano
Naakaii Łizhiní Bikéyahdę́ę́ʼ łééchąąʼí ałchiní	Lycaon pictus
Aniłtʼánii (tʼááłaʼajínígoʼígíí)	Ephemeroptera
Ayánítsoh bighą́ą́ʼaskʼidígíí	Bos gaurus
Máaz yikááʼ nandahí Spirit	Spirit
Hakʼaz giníłgaii	Falco rusticolus
Tsétah jeeshóóʼ łibáhí	Gyps fulvus
Tééh łééchąąʼí łikizhígíí	Crocuta crocuta
Tłʼízí ałchiní	Capra aegagrus
Yaaʼ dóó chʼosh bíchį́į́h dadichʼízhí	Acanthocephala
Beeʼeldǫǫh	Moschetto
Chʼosh bitsʼaʼígíí bigaan dahólónígíí	Brachiopoda
Tʼąąʼdoolghasí (daadánígíí)	Cichorium endivia
Dlǫ́ʼii (bílaʼashdlaʼii bilį́į́ʼ)	Mustela putorius furo
Łóóʼtsoh łibáhígíí	Eschrichtius robustus
Chʼah Diʼilii Bikéyahdę́ę́ʼ atsátsoh	Aquila nipalensis
Yiisnááh	Prigioniero di guerra
Dzeeh	Cervus elaphus canadensis
Tsinlátahgi tsídii nahatʼeʼígíí	Coliidae
Nátʼoh (chʼil)	Nicotiana tabacum
Tsin naaʼeeł bee daʼahijighánígíí	Nave da battaglia
Tsísʼná yiyání	Meropidae
Bisóodi bizęęs dį́įʼii	Phacochoerus africanus
Dlǫ́ʼiitsoh naalzheehígíí	Cryptoprocta ferox
Nahachagii biyázhí	Aphidoidea
Naalkʼįhiitsoh	Dermoptera
Łóóʼ naatʼaʼí	Exocoetidae
Hakʼaz ayání	Ovibos moschatus
Tsétah gah	Ochotona
Mąʼiitsoh bikʼos bineʼdę́ę́ʼ łizhinígíí	Chrysocyon brachyurus
Iichʼąhiitsʼósí	Trichoptera
Kéyah Dańlínídę́ę́ʼ atsátsoh	Pithecophaga jefferyi
Tábąąstííntsoh bíchį́į́htsohígíí	Mirounga
Łóóʼntsxaaí díníchʼahii	Cetorhinus maximus
Chʼosh yighání	Proteles cristatus
Mágí bitseeʼ noodǫ́zígíí	Lemur catta
Táyiʼ chʼoshnézí	Nemertea
Dlǫ́tsʼósí łibáhígíí	Mungotictis decemlineata
Tó naagoʼ	Goccia
Dlǫ́ʼiitsoh Danilínígíí	Viverridae
Mágí bigaanézí	Hylobatidae
Bílaneezii	Daubentonia madagascariensis
Séí mąʼii	Vulpes corsac
Naalʼeełítsoh bitéél halchíʼí	Branta ruficollis
Tłʼízí bideeʼ yisdizígíí	Capra falconeri
Jádí	Antilocapra americana
Wónikǫsí	Phasmatodea
Tééh łééchąąʼí noodǫ́zígíí	Hyaena hyaena
Tsídiiłchxoní	Opisthocomus hoazin
Táłtłʼááh chʼoshtʼą́hí bikááʼtsʼinígíí	Polyplacophora
Mąʼii bighą́ąʼgi hadzíjiní	Canis mesomelas
Naakaii Łizhiní Bikéyahdę́ę́ʼ mąʼiiłchííʼ	Canis simensis
Tsétah dibé	Ovis canadensis
Dibé dóó Tłʼízí Ndahalinígíí	Caprinae
Mágí bíchį́į́h dootłʼizhígíí	Mandrillus sphinx
Tsiighájíłchí	Cuscuta
Bįįhyázhí biwooʼnézí	Moschus moschiferus
Dzeeh łikizhígíí	Cervus nippon
Tábąąh mósí ałchiní	Prionailurus viverrinus
Chį́į́h yee achʼiishíhii	Pristidae
Shádiʼááhdę́ę́ʼ hodíłchʼil mąʼii	Speothos venaticus
Hakʼaz mágí	Macaca fuscata
Tsé Biiʼ Ndzisgaii	Monument Valley
Mágí bíchį́į́h niilyoolígíí	Nasalis larvatus
Shádiʼááhdę́ę́ʼ tsídiitsoh	Rhea americana
Dáádílí łibáhígí	Epinephelus marginatus
Náátsʼózídę́ę́ʼ mósíłtsxooí ałchinígíí	Pardofelis temminckii
Łóóʼnteeltsoh	Mola mola
Gaanłáníchilí dóó Gaanłání doo yitʼíinii	Hydra (zoologia)
Atłʼóóh	Tessitura
Chʼoshkʼaaʼ	Chaetognatha
Tábąąh bįįh	Hydropotes inermis
Hodíłchʼil jeeshóóʼ	Sarcoramphus papa
Dlǫ́ǫ́ʼ bitseetłʼooígíí	Chinchilla
Achʼąąʼ adáʼatsʼiʼ	Vaccinazione
Néʼéshjaaʼ bíńdáhii	Surnia ulula
Bitseeʼ yee adiłhałii	Alligator mississippiensis
Jádítsoh noodǫ́zígíí	Tragelaphus eurycerus
Níyolgi naatʼaʼígíí (tónteel tsídii)	Hydrobatidae
Tádídíín yiyání	Chrysomelidae
Tsídiidaashiyishí	Threskiornithinae
Shádiʼááhdę́ę́ʼ łéʼétsoh bitseeʼ ádinígíí	Dasyproctidae
Chʼosh bitsʼaʼłáaʼii	Monoplacophora
Naʼashǫ́ʼii łóóʼ hashkéhé	Chlamydoselachus anguineus
Jeeshóóʼ	Gymnogyps californianus
Chʼosh dilwoʼígíí	Cicindelinae
Chʼosh doo yitʼíinii bee nílʼíní	Microscopio
Tsin ditʼinii	Spermophilus
Joogii	Cyanocitta cristata
Łeeyiʼ nahakʼízii	Gryllotalpidae
Náátsʼózídę́ę́ʼ naalʼeełí	Aix galericulata
Mąʼii bijaaʼabanígíí	Otocyon megalotis
Tsídiitsoh bikʼos dootłʼizhí	Casuarius
Atsiniltłʼish ííłʼíinii (naʼashǫ́ʼii łóóʼ)	Electrophorus electricus
Dįʼ	Tetraoninae
Niicháadii (łóóʼ)	Tetraodontidae
Tééhoołtsódiichilí	Hexaprotodon liberiensis
Kʼiiznoodǫ́ǫzii (tsin yigházhígíí)	Cuniculus
Wóláchííʼ yildeełítsoh	Myrmecophaga tridactyla
Bináʼadaałtsózí bitsin naaʼeeł	Giunca
Níłtsą́goʼ (bideeneezígíí)	Cerambycidae
Tséʼédǫ́ʼii bitsiinézí	Mecoptera
Tłʼohtahgi díłdánii yił aheełtʼéhii	Turnicidae
Łóóʼyiniʼįįhí (tónteel tsídii)	Skua
Shádiʼááhdę́ę́ʼ tó hóyáanii	Inia geoffrensis
Naʼashǫ́ʼiitsoh	Iguana
Łóóʼ adishishí	Dasyatidae
Tsin yąąh dzootʼihí	Sitta
Atʼaʼ yiltʼąąʼí dah sidáhígíí (chʼosh ntsxaaígíí)	Birgus latro
Yółeehii	Lophiiformes
Tiníléí	Heloderma suspectum
Tłʼoh	Prato rasato
Dinas	Arctostaphylos uva-ursi
Mąʼii bikʼiizgi hadzíjiní	Canis adustus
Yadiizį́įgo ayání	Litocranius walleri
Télii bijáád noodǫ́zí	Equus africanus
Bitsʼáá bidaʼhodiʼniil	Terra bruciata (guerra)
Mágíłchííʼ	Leontopithecus rosalia
Dááʼadeeʼii	Platalea
Łóóʼ hashkéhé bitsiiʼ dikʼání	Sphyrnidae
Taahilnoodii	Sulidae
Kʼíneedlíshii adiłhashígíí	Lucanidae
Łééh yidi tóʼígíí	Falda acquifera
Naʼashǫ́ʼiitsoh naʼałkǫ́ʼígíí	Amblyrhynchus cristatus
Tsídiisháshii	Bombycilla
Naakétłʼáhí	Pima
Yaaʼ bitsʼaʼígíí	Coccoidea
Daateel	Cochlearius cochlearius
Tééh łééchąąʼí ditsʼozígíí	Parahyaena brunnea
Tsétaʼ łį́į́ʼ	Mustang (cavallo)
Kénézí	Jacanidae
Neeshchʼííʼ	Pinolo
Naalʼeełítsoh yił aheełtʼéhii łizhin dóó łigaiígíí	Anseranas semipalmata
Mąʼii chʼil	Solidago
Yaadaaʼnézí (tónteel tsídii)	Rynchops
Tsídii disxǫsígíí	Galbulidae
Náátsʼózídę́ę́ʼ mósíłchíiʼii ałchinígíí	Pardofelis badia
Shádiʼááhdę́ę́ʼ tsétah mósí ałchinígíí	Leopardus jacobita
Tsinlátahgi dlǫ́ʼiitsoh	Arctictis binturong
Jeeshóóʼ łizhinígíí	Coragyps atratus
Naałʼashí	Theraphosidae
Dééłdą́ą́ʼ	Pteridium aquilinum
Hashkʼaan yildeełígíí (tsídii)	Musophagidae
Łį́į́chilí	Shetland (cavallo)
Daakʼį́į́ʼ	Numenius
Mąʼiiłtsooí łibáhígíí	Urocyon cinereoargenteus
Naʼashǫ́ʼiitsoh dootłʼizhígíí	Iguana iguana
Chidí bikéíjį́ʼ adeizʼááhígíí	Pick-up (veicolo)
Bįįh bitseełgaiígíí	Odocoileus virginianus
Wónitłʼizí	Oniscidea
Díʼdikii (jádí)	Madoqua
Hakʼaz mąʼiitsoh	Canis lupus arctos
Dark Ages	Secoli bui
Tłʼoh naadą́ą́ʼ biyaʼ	Sitophilus granarius
Łeeyiʼ jááłániichilí	Pauropoda
Tséʼédǫ́ʼii dishooí	Syrphidae
Tsáʼásziʼ dóó Noodah	Agavaceae
Tééh tsisteeł	Chelonioidea
Bichʼah Dootłʼizhii	Peacekeeping
Dlǫ́ʼii łizhin dóó łitsooígíí	Martes flavigula
Chʼosh ałchozhii (chéłchaaʼ)	Dermestidae
Łeʼesoołii (bitseeʼ naakiígíí)	Diplura
Dlǫ́ʼátsoh	Marmota monax
Chʼééh digháhii dóó Tsisteeł	Testudines
Tááʼyaʼniiltʼóshii	Cardinalidae
Łeʼesoołii (bitseeʼ tááʼígíí)	Thysanura
Tłʼézhii	Tabanidae
Tániilʼáítsʼóóz	Zygoptera
Naashtʼézhí	Zuñi
Aniłtʼániitsʼóóz	Myrmeleontidae
Tó wónaanídę́ę́ʼ hazéí bíchį́į́hnézí	Scandentia
Hakʼaz gah	Lepus arcticus
Bįįh łikizhígíí (Naakaii Dootłʼizhii Bikéyahdę́ę́ʼígíí)	Axis axis
Nahashchʼidí (naaldeehii)	Taxidea taxus
Tsídii bichʼahtsooígíí	Buceros bicornis
Shádiʼááhdę́ę́ʼ bisóodi diʼilígíí	Tayassuidae
Náʼagéédí bizaʼazis hólóní	Notoryctes
Tłʼézhiiłbáhí	Tachinidae
Shash nátʼoh	Tribulus terrestris
Jádítsoh diłhiłígíí	Tragelaphus angasii
Jádítsoh bideeʼ shiyishígíí	Hippotragus niger
Dlǫ́ʼiitsoh łikizhígíí	Civettictis civetta
Tsinaʼayąʼii yildeełí	Myrmecobius fasciatus
Tsétah tłʼízí	Oreamnos americanus
Jááłániichilí bighádzígaiígíí	Symphyla
Gahchilí	Brachylagus idahoensis
Dééłgai bitsiiʼ halzhinígíí	Cygnus melancoryphus
Chʼosh nahachagii	Cicadellidae
Hóółtseiigi naʼastsʼǫǫsí	Gerbillinae
Gaanłání	Ceriantharia
Tádídíín yiyání łichíʼígíí	Lilioceris lilii
Laanaa Yáʼátʼéehgo Késhmish	We Wish You a Merry Christmas
Naʼazǫ́ǫzii	Mutillidae
Jáád neishoodí (naʼashjéʼii haalzheehígíí)	Pompilidae
Naalʼeełí bidaatsʼózí	Mergus
Naalʼeełí łizhinígíí	Melanitta
Nahatʼeʼiitsoh Bikéyahdę́ę́ʼ naalʼeełítsoh łibáhígíí	Cereopsis novaehollandiae
Dahsánítsoh	Hystrix cristata
Naʼastsʼǫǫsí bitseeʼ dichʼízhí	Acomys
Tsétah nahatʼeʼiitsoh	Petrogale
Táłkááʼ dilwoʼí	Gerridae
Akáshtʼóózh biyaʼ	Psocoptera
Łeʼesoołii (bideeʼ ádinígíí)	Protura
Ąąʼąʼii	Pica (zoologia)
Jádí bideeʼ dį́įʼii	Tetracerus quadricornis
Táłtłʼááh chʼosh ntsxaaígíí	Macrocheira kaempferi
Mósí ałchiní bitsiiʼtʼąhígíí	Prionailurus planiceps
Naakaii Łizhiní Bikéyahdę́ę́ʼ naalʼeełítsoh dibéłchíʼígíí	Alopochen aegyptiaca
Hosh aditsahiitsoh	Carnegiea gigantea
Tʼáá łichíʼígo náʼagéédí	Heterocephalus glaber
Tsisteeł łizhinígíí	Chelonoidis carbonarius
Tééh jeeshóóʼ	Gyps africanus
Ghą́ą́ʼnoodǫ́ǫzii (tsin yigházhígíí)	Dinomys branickii
Tsáʼásziʼ bideeʼí	Yucca baccata
Łéʼétsoh beeniʼíhoniitaahígíí	Cavia
Ásaaʼ neiyéhii	Meloidae
Naʼashǫ́ʼiitsoh łitsooígíí	Conolophus subcristatus
Shádiʼááhdę́ę́ʼ tiníléí	Heloderma horridum
Tsé Bighánílíní	Antelope Canyon
Naakaii Dootłʼizhii bimósí ałchinígíí	Prionailurus rubiginosus
Kʼaabizhii	Mammillaria
Dahiitį́hídą́ą́ʼtsoh	Castilleja
Wálázhini	Messor
Jáád neishoodí (łeyiʼdi bighanígíí)	Sphex
Chʼał bikʼos ádinígíí	Nasikabatrachus sahyadrensis
Jéí náyoogisii	Echinocereus
Tłʼohtah náshdóí	Leopardus pajeros
Tsídii naʼałkǫ́ʼígíí	Fratercula
Tsisteeł diyogí	Chelus fimbriata
Łóóʼ adishishí ntsxaaígíí	Manta birostris
Tónteel bibąąh hóyáanii	Neophocaena phocaenoides
Naakaii Łizhiní Bikéyahdę́ę́ʼ tsétah dibé	Ammotragus lervia
Náhookǫsdę́ę́ʼ dlǫ́ʼii	Martes americana
Naalʼeełí naashchʼąąʼígíí	Aix sponsa
Tsinlátah nahatʼeʼiitsoh	Dendrolagus
Tsin naaʼeeł łóó beeʼháʼhaalʼééłiʼ	Peschereccio
Chʼosh biyaʼ	Strepsiptera
Táłtłʼááh chʼosh	Dytiscidae
Gáagii dinéʼiʼ	Crow
Shádiʼááhdę́ę́ʼ tábąąstííntsoh	Otaria flavescens
Táłtłʼááh álééh	Ardea herodias
Tsísʼnáłtsooítsoh	Vespa (zoologia)
Táłtłʼááh naakaii náásééł yił aheełtʼéhii	Stomatopoda
Náátsʼózídę́ę́ʼ tsiiłtsooí	Chrysolophus pictus
Bisóodi Danilínígíí	Suiformes
Gólízhii noodǫ́zígíí	Mephitis mephitis
Naʼastsʼǫǫsí bijaaʼntsxaaígíí	Macrotis lagotis
Tsʼání	Gymnorhinus cyanocephalus
Chʼééh digháhii bitsʼaʼ yilzhólí	Trionychidae
Chį́į́shghą́ʼiiłgaii	Sitta carolinensis
Hastiin Diego de Landa	Diego de Landa
Hastiin Biʼééʼ Łichíiʼii	Kit Carson
Tábąąstííntsoh (Akééháshį́į́dę́ę́ʼígíí)	Zalophus californianus
Mósí bizaʼazis hólóní	Dasyurus
Tségad	Selaginella
Tsįyaalzhahí	Accipiter striatus
Hashtłʼishdi chʼééh digháhii	Kinosternidae
Bichʼáh yiisdiisí	Australiani anglo-celtici
Yaaʼ nahachagiígíí	Siphonaptera
Kéʼ łizhiní	Confederazione dei Piedi Neri
Tábąąsdísí áłtsʼíísí	Actitis macularius
