Afríka	Africa
Krossblómabálkur	Brassicales
Odisha	Orissa
Muse	Muse (gruppo musicale)
Frjálsa GNU-handbókarleyfið	GNU Free Documentation License
John Kerry	John Kerry
Púnjab (Indlandi)	Punjab (India)
Taívan	Isola di Formosa
Germanir	Germani
Snjallsími	Smartphone
Trója	Troia
Gyðingahatur	Antisemitismo
Æðvængjur	Hymenoptera
New York	New York (disambigua)
Hráolía	Petrolio
Steinsteypa	Calcestruzzo
The Pirate Bay	The Pirate Bay
Bauganet jarðar	Coordinate geografiche
Skráardeiling	File sharing
Lestarsamgöngur	Ferrovia
Evrópukeppnin í knattspyrnu 2012	Campionato europeo di calcio 2012
Friedrich Schiller	Friedrich Schiller
Project Gutenberg	Progetto Gutenberg
Skór	Scarpa
Bahá'í trúin	Bahá'í
Banki	Banca
Prentfrelsi	Libertà di stampa
Metz	Metz
Málfrelsi	Libertà di parola
Ólivín	Olivina
Kastaníutré	Castanea sativa
Númeraplata	Targa automobilistica
Vængberar	Pterygota
Boðháttur	Imperativo
Kjörfursti	Principe elettore
Hrafninn	Il corvo e altre poesie
Hellislíking Platons	Mito della caverna
Þjóðbókasafn	Biblioteca nazionale
Þéttleiki byggðar	Densità di popolazione
Broddvespur	Apocrita
Bath	Bath
Írland	Irlanda (isola)
Bradford	Bradford
Elliheimili	Casa di riposo
Neoptera	Neoptera
Swansea	Swansea
Halastjarna Halleys	Cometa di Halley
Kantónur í Sviss	Cantoni della Svizzera
Cheshire	Cheshire
Cumbria	Cumbria
Lancashire	Lancashire
Norðymbraland	Northumberland
Tyne og Wear	Tyne and Wear
Durham-sýsla	Durham (contea)
Vestur-Yorkshire	West Yorkshire
Norður-Yorkshire	North Yorkshire
Austur-Yorkshire	East Riding of Yorkshire
Lincolnshire	Lincolnshire
Nottinghamshire	Nottinghamshire
Suður-Yorkshire	South Yorkshire
Derbyshire	Derbyshire
Stórborgarsvæðið Manchester	Greater Manchester
Merseyside	Merseyside
Shropshire	Shropshire
Staffordshire	Staffordshire
Leicestershire	Leicestershire
Rutland	Rutland
1 (ár)	1
Norfolk	Norfolk
Suffolk	Suffolk
Cambridgeshire	Cambridgeshire
Lu Xun	Lu Xun
Northamptonshire	Northamptonshire
Herefordshire	Herefordshire
Worcestershire	Worcestershire
Warwickshire	Warwickshire
Bedfordshire	Bedfordshire
Cornwall	Cornovaglia
Bristol	Bristol
Devon	Devon
Somerset	Somerset
Dorset	Dorset
Gloucestershire	Gloucestershire
Mínos	Minosse
Oxfordshire	Oxfordshire
10	10
Wiltshire	Wiltshire
Kengúra	Macropodidae
Nashville	Nashville
Hampshire	Hampshire
Adele	Adele (cantante)
Berkshire	Berkshire
Buckinghamshire	Buckinghamshire
20	20
Essex	Essex
Surrey	Surrey
Vestur-Sussex	West Sussex
Austur-Sussex	East Sussex
30	30
Kent	Kent
Stór-Lundúnasvæðið	Greater London
Þjóðbókasafn Bretlands	British Library
Lundúnaborg	Città di Londra
Abkasía	Abcasia
40	40
Salt Lake City	Salt Lake City
9	9
7	7
8	8
Sjö	7 (numero)
Átta	8 (numero)
Taylor Lautner	Taylor Lautner
Mannúðarsálfræði	Psicologia umanistica
Jeremy Renner	Jeremy Renner
Hugræn sálfræði	Psicologia cognitiva
12	12
Jean Auguste Dominique Ingres	Jean-Auguste-Dominique Ingres
Sjávarföll	Marea
Vika	Settimana
Nash-jafnvægi	Equilibrio di Nash
Hjartardýr	Cervidae
Ís (vatn)	Ghiaccio
Faðir vor	Padre nostro
Fear and Loathing in Las Vegas	Paura e delirio a Las Vegas
Stöðuvatn	Lago
Hvítlaukur	Allium sativum
Orsay-minjasafnið	Museo d'Orsay
Mannfræði	Antropologia
Rauðahaf	Mar Rosso
Hugspeki	Filosofia della mente
Bouveteyja	Isola Bouvet
930	930
13	13
Kastali	Castello
985	985
1122	1122
981	981
939	939
Gúrka	Cucumis sativus
Suður-Ossetía	Ossezia del Sud
Úlan Bator	Ulan Bator
Ernest Hemingway	Ernest Hemingway
Edinborg	Edimburgo
Asgabat	Aşgabat
Octave Mirbeau	Octave Mirbeau
Eyja	Isola
Hvítur	Bianco
Svartur	Nero
814	814
950	950
996	996
37	37
900	900
1129	1129
Chris Pine	Chris Pine
843	843
Lordi	Lordi
476	476
HIM	HIM (gruppo musicale)
Marseille	Marsiglia
Laukur	Allium cepa
Sex	6 (numero)
Opinbert tungumál	Lingua ufficiale
700	700
Moshchena	Moščena
701	701
702	702
Fornleifafræði	Archeologia
703	703
Tómatur	Solanum lycopersicum
704	704
705	705
George H. W. Bush	George H. W. Bush
706	706
68	68
707	707
708	708
Phongnhakebang-þjóðgarðurinn	Parco nazionale di Phong Nha-Ke Bang
709	709
11	11
710	710
711	711
712	712
Balkanskagi	Penisola balcanica
713	713
714	714
Slavnesk tungumál	Lingue slave
715	715
Dímítrí Medvedev	Dmitrij Anatol'evič Medvedev
716	716
717	717
718	718
Entrena	Entrena
719	719
Miðbaugur	Equatore
720	720
Mótmælendatrú	Protestantesimo
721	721
722	722
723	723
Geimferðastofnun Bandaríkjanna	NASA
724	724
725	725
726	726
Atlanta	Atlanta
727	727
House	Dr. House - Medical Division
Benito Mussolini	Benito Mussolini
728	728
729	729
730	730
Podgorica	Podgorica
731	731
732	732
733	733
Game of Thrones (sjónvarpsþættir)	Il Trono di Spade (serie televisiva)
734	734
735	735
736	736
737	737
738	738
739	739
15	15
740	740
14	14
741	741
742	742
17	17
743	743
958	958
744	744
500	500
745	745
746	746
880	880
747	747
748	748
Orðabók	Dizionario
749	749
870	870
750	750
HBO	HBO
751	751
Bermúda	Bermuda
Klein-flaska	Bottiglia di Klein
752	752
Höfuð	Testa
753	753
754	754
755	755
Wellington	Wellington
Stóra-Bretland	Gran Bretagna
23	23
800	800
Norður-Kýpur	Cipro del Nord
Jimmy Carter	Jimmy Carter
120	120
Þjóðsöngur	Inno nazionale
960	960
957	957
1124	1124
Höfuðátt	Punto cardinale
992	992
Larry David	Larry David
Seinfeld	Seinfeld
1128	1128
959	959
18	18
Kalksteinn	Calcare
19	19
16	16
Las Vegas	Las Vegas
21	21
26	26
Aragónít	Aragonite
32	32
33	33
Palestína	Palestina
1125	1125
Valletta	La Valletta
Sætistala	Numero atomico
Alfred Nobel	Alfred Nobel
1127	1127
984	984
874	874
43	43
127	127
Mannslíkaminn	Corpo umano
39	39
Skopparakringla	Trottola
24	24
104	104
29	29
102	102
622	622
Lila Downs	Lila Downs
Dauðahaf	Mar Morto
632	632
Andrew Garfield	Andrew Garfield
Blettatígur	Acinonyx jubatus
Norderney	Norderney
1121	1121
1123	1123
911	911
Don Rosa	Don Rosa
Leikhús	Teatro (architettura)
Árstíð	Stagione
126	126
Landsbankadeild karla í knattspyrnu 2006	Úrvalsdeild 2006
Landsbankadeild karla í knattspyrnu 2007	Úrvalsdeild 2007
101	101
Pepsideild karla í knattspyrnu 2009	Úrvalsdeild 2009
105	105
108	108
117	117
115	115
Kol	Carbone
Léttlestakerfi Björgvinjar	Tranvia di Bergen
22	22
46	46
25	25
Landsbankadeild karla í knattspyrnu 2008	Úrvalsdeild 2008
31	31
Vancouver	Vancouver
Evrópuflokkur	Partito politico europeo
116	116
330	330
John Mandeville	John Mandeville
222	222
28	28
Liverpool	Liverpool
88	88
76	76
Avatar	Avatar (film 2009)
Bremen	Brema
Sagnorð	Verbo
Vísindaskáldskapur	Fantascienza
John Cleese	John Cleese
770	770
Terry Gilliam	Terry Gilliam
Borkum	Borkum
Woody Allen	Woody Allen
Kevin Spacey	Kevin Spacey
Roald Dahl	Roald Dahl
Nýnorska	Nynorsk
Bókmál	Bokmål
RMS Titanic	RMS Titanic
Rammstein	Rammstein
Hugljómun	Inception
Svissnesku Alparnir	Alpi svizzere
Uglur	Strigiformes
Forseti Þýskalands	Presidente federale (Germania)
Breskt pund	Sterlina britannica
Hollensku Antillaeyjar	Antille Olandesi
Angvilla	Anguilla (isola)
Guernsey	Guernsey
Svalbarði	Isole Svalbard
Benetice (Světlá nad Sázavou)	Benetice (Světlá nad Sázavou)
Svartþröstur	Turdus merula
Klukkustund	Ora
Vatt	Watt
Gráerta	Pisum sativum
Elri	Alnus
Hryggdýr	Vertebrata
Birki	Betula
2016	2016
Volt	Volt
Úrkoma	Precipitazione (meteorologia)
Færeyska	Lingua faroese
Veðurfræði	Meteorologia
Asóreyjar	Azzorre
Kattardýr	Felidae
Selsíus	Grado Celsius
Júl	Joule
Alþjóðlega geimstöðin	Stazione Spaziale Internazionale
Amper	Ampere
Gráhegri	Ardea cinerea
2019	2019
ISO 3166-1	ISO 3166-1
Samsæta	Isotopo
Hispaníóla	Hispaniola
Dwight Howard	Dwight Howard
Curaçao	Curaçao
Steinselja	Petroselinum crispum
Uppsalir	Uppsala
Gautaborg	Göteborg
Þyngd	Forza peso
Kornbreska	Lingua cornica
2017	2017
2018	2018
Döðlupálmi	Phoenix dactylifera
Keltnesk tungumál	Lingue celtiche
Hamar	Martello
Tungumálaætt	Famiglia linguistica
6. öldin f.Kr.	VI secolo a.C.
1. öldin f.Kr.	I secolo a.C.
2. öldin f.Kr.	II secolo a.C.
Washington	Washington (disambigua)
Racibórz	Racibórz
Bresku Jómfrúaeyjar	Isole Vergini britanniche
Rándýr	Carnivora
Skjór	Pica pica
Kakkalakkar	Blattodea
Robert F. Kennedy	Robert Kennedy
Tvívængjur	Diptera
Dulfrævingar	Magnoliophyta
Árósar	Aarhus
3. öldin f.Kr.	III secolo a.C.
Norðurslóðir	Artide
Hundaætt	Canidae
Frísneska	Lingua frisone
Lindýr	Mollusca
Antoni Gaudí	Antoni Gaudí
Klaufdýr	Artiodactyla
Trenton (New Jersey)	Trenton (New Jersey)
Óðinsvé	Odense
Gjóður	Pandion haliaetus
Glóbrystingur	Erithacus rubecula
4. öldin f.Kr.	IV secolo a.C.
Pokadýr	Metatheria
2020	2020
Litli prinsinn	Il piccolo principe
5. öldin f.Kr.	V secolo a.C.
7. öldin f.Kr.	VII secolo a.C.
Spörfuglar	Passeriformes
Afl	Potenza (fisica)
Fermetri	Metro quadrato
Svissneskur franki	Franco svizzero
Hreysiköttur	Mustela erminea
8. öldin f.Kr.	VIII secolo a.C.
Stokkönd	Anas platyrhynchos
Krossfiskar	Asteroidea
Theodor Mommsen	Theodor Mommsen
Skrækskaði	Garrulus glandarius
Grænlenska	Lingua groenlandese
Ösp (ættkvísl)	Populus
Hrafn	Corvus corax
Rafmótstaða	Resistenza elettrica
Navassaeyja	Isola Navassa
234 f.Kr.	234 a.C.
Krókódílaættbálkur	Crocodylia
Krabbadýr	Crustacea
Svif	Plancton
Samlokur	Bivalvia
Kobe Bryant	Kobe Bryant
Brjóskfiskar	Chondrichthyes
Atlantis	Atlantide
Vogvængjur	Odonata
Bleshæna	Fulica atra
Múrsvölungur	Apus apus
Raf	Ambra (resina)
Dómpápi	Pyrrhula pyrrhula
Bókfinka	Fringilla coelebs
Eyrugla	Asio otus
Bláhrafn	Corvus frugilegus
Jótland	Jutland
Leeuwarden	Leeuwarden
Sandalda	Duna
Dvergkráka	Coloeus monedula
Newark (New Jersey)	Newark
Maríuerla (fugl)	Motacilla alba
Körfublómaætt	Asteraceae
Hnúðsvanur	Cygnus olor
Beyki	Fagus
Blámeisa	Cyanistes caeruleus
Kúlomb	Coulomb
Hunangsflugur	Bombus
Vallhumall	Achillea millefolium
Álaborg	Aalborg
Helsingjaborg	Helsingborg
Västerås	Västerås
Linköping	Linköping
Jönköping	Jönköping
Stafangur	Stavanger
Dönsk króna	Corona danese
Þistilfinka	Carduelis carduelis
Escherichia coli	Escherichia coli
Eldflugur	Lampyridae
9. öldin f.Kr.	IX secolo a.C.
Rafspenna	Differenza di potenziale elettrico
Landsvala	Hirundo rustica
Fasani	Phasianus colchicus
Saffran	Zafferano (spezia)
Marðarætt	Mustelidae
Haförn	Haliaeetus albicilla
Dílaskarfur	Phalacrocorax carbo
Holdýr	Cnidaria
Funchal	Funchal
Nútími (jarðfræði)	Olocene
Berbísk tungumál	Lingua berbera
Grafönd	Anas acuta
Karlstad	Karlstad (Svezia)
Mölnlycke	Mölnlycke
Starri (fugl)	Sturnus vulgaris
Flotmeisa	Parus major
Slíðurhyrningar	Bovidae
Ljóstvistur	LED
Rúmmetri	Metro cubo
Sjáland	Sjælland
Pleistósentímabilið	Pleistocene
Tranfuglar	Gruiformes
Hröfnungar	Corvidae
Umeå	Umeå
Selaætt	Phocidae
Saint Martin	Saint Martin
St. Gallen	San Gallo
Álft	Cygnus cygnus
Bandvefur	Tessuto connettivo
Lerki	Larix
Litháískt litas	Litas lituano
Hettumáfur	Chroicocephalus ridibundus
300	300
Taumönd	Anas querquedula
Ferja	Traghetto
Hrossagaukur	Gallinago gallinago
Urtönd	Anas crecca
1. árþúsundið f.Kr.	I millennio a.C.
Norrköping	Norrköping
Örebro	Örebro
Músarrindill	Troglodytes troglodytes
Gävle	Gävle
Brandönd	Tadorna tadorna
Brandugla	Asio flammeus
Karlskrona	Karlskrona
Þrándheimur	Trondheim
Fjölfætlur	Myriapoda
2. árþúsundið	II millennio
Grágæs	Anser anser
Gargönd	Anas strepera
Rennín	Chimosina
Longyearbyen	Longyearbyen
Tjaldur	Haematopus ostralegus
Spætufuglar	Piciformes
Skeiðönd	Anas clypeata
Eskimó-aleutísk tungumál	Lingue eschimo-aleutine
Strike Commando 2	Trappola diabolica
Þytfuglar	Apodiformes
Geimstöð	Stazione spaziale
Hermann Hesse	Hermann Hesse
Strandfuglar	Charadriiformes
Kúsjanaveldið	Impero Kusana
Hjartagrasaætt	Caryophyllaceae
Segl	Vela (sistema di propulsione)
Engirella	Crex crex
Borås	Borås
Þrestir	Turdidae
Ástralskur pelikani	Pelecanus conspicillatus
Vetnissýaníð	Acido cianidrico
Vaðhafið	Mare dei Wadden
Tromsø	Tromsø
Akurhæna	Perdix perdix
Húmgapar	Caprimulgiformes
Silkitoppa	Bombycilla garrulus
Holudúfa	Columba oenas
Bjúgnefja	Recurvirostra avosetta
Växjö	Växjö
Fagurfífill	Bellis perennis
Hertogadæmið Slésvík	Schleswig (regione)
Kvartertímabilið	Quaternario
Díonýsíos frá Halikarnassos	Dionigi di Alicarnasso
Kjálkadýr	Gnathostomata
Laukabálkur	Asparagales
Esbjerg	Esbjerg
CGS-kerfi	Sistema CGS
Madeiraeyjar	Madera
Jómfrúaeyjar	Isole Vergini
Luleå	Luleå
Sint Maarten	Sint Maarten
Túnsúra	Rumex acetosa
Hóffífill	Tussilago farfara
Università Niccolò Cusano	Università degli Studi @@@u0026Niccolò Cusano"
Elizabeth Blackburn	Elizabeth Blackburn
Carol W. Greider	Carol W. Greider
Einir	Juniperus communis
Knightsbridge	Knightsbridge
Jersey City (New Jersey)	Jersey City
Kalmar (borg)	Kalmar
Bergflétta	Hedera helix
Austurkarabískur dalur	Dollaro dei Caraibi Orientali
Fashanaætt	Phasianidae
Gaukar	Cuculidae
Áll	Anguilla anguilla
Kvartilaskipti	Fasi lunari
Hundraðshöfðingi	Centurione
Snjótittlingur	Plectrophenax nivalis
Steindepill	Oenanthe oenanthe
Dordrecht	Dordrecht
Safali	Martes zibellina
Stormmáfur	Larus canus
Skúfönd	Aythya fuligula
Akurgæs	Anser fabalis
Rauðhöfðaönd	Anas penelope
Haftyrðill	Alle alle
Sundsvall	Sundsvall
Eskilstuna	Eskilstuna
1041-1050	Anni 1040
Fjón	Fionia
Falun	Falun
Osby	Osby
Östersund	Östersund
Luis Suarez	Luis Suárez (calciatore 1987)
Södertälje	Södertälje
Halmstad	Halmstad
Drammen	Drammen
Gervitungl	Satellite artificiale
Piparrót	Armoracia rusticana
Krossnefur	Loxia curvirostra
William Kidd	William Kidd
Hróarskelda	Roskilde
Hávella	Clangula hyemalis
Dvergsvanur	Cygnus columbianus
Rita (fugl)	Rissa tridactyla
Beitilyng	Calluna vulgaris
Relluætt	Rallidae
Snípuætt	Scolopacidae
Svartbakur	Larus marinus
Duggönd	Aythya marila
Lóuþræll	Calidris alpina
Glókollur	Regulus regulus
Súla (fugl)	Morus bassanus
BMW	BMW
Helsingi	Branta leucopsis
Lundi	Fratercula arctica
Dill	Anethum graveolens
Lómur	Gavia stellata
Æðarfugl	Somateria mollissima
Eyrnaselir	Otariidae
Richelieu kardináli	Armand-Jean du Plessis de Richelieu
Tvíliðuregla	Teorema binomiale
Dvergsnípa	Lymnocryptes minimus
Vesturgermönsk tungumál	Lingue germaniche occidentali
Kanadagæs	Branta canadensis
Józef Gosławski	Józef Gosławski
Skutulönd	Aythya ferina
Stofnenska	Basic English
Fönískt stafróf	Alfabeto fenicio
Björgvin	Bergen
Kría	Sterna paradisaea
Tamílskt ritmál	Scrittura Tamil
Danny DeVito	Danny DeVito
Kúmen	Carum carvi
Sandlóa	Charadrius hiaticula
Alentejo	Alentejo
Heródótos	Erodoto
Algarve	Algarve
Mannöld	Antropocene
Silfurskotta	Lepisma saccharina
Háhyrningur	Orcinus orca
Kalkúnn	Meleagris gallopavo
Galatía	Galazia
Taylor Swift	Taylor Swift
Helsingjaeyri	Helsingør
Þreskivél	Mietitrebbiatrice
Croydon (borgarhluti)	Borgo londinese di Croydon
Tildra	Arenaria interpres
Fýll	Fulmarus glacialis
Hestakastanía	Aesculus hippocastanum
Snjógæs	Chen caerulescens
Hagnaður	Profitto
Landselur	Phoca vitulina
Lakshadweep	Laccadive
Króklappa	Arctium lappa
Kristianstad	Kristianstad
Trelleborg	Trelleborg
Sólblóm	Helianthus
Þúfutittlingur	Anthus pratensis
Cooks-eyjar	Isole Cook
Hnísa	Phocoena phocoena
Karsi	Lepidium sativum
Járnsmiðir	Carabidae
Margæs	Branta bernicla
Listi yfir CSI:NY (8. þáttaröð)	Episodi di CSI: NY (ottava stagione)
Námundun	Approssimazione
Regnfang	Tanacetum vulgare
Japanshaf	Mar del Giappone
Magnari	Amplificatore
Skarkoli	Pleuronectes platessa
Álka	Alca torda
Kolding	Kolding
Rauðbrystingur	Calidris canutus
Sílamáfur	Larus fuscus
Freyjubrá	Leucanthemum vulgare
Randers	Randers
Glerlykillinn	Glasnyckeln
Líffræðileg mannfræði	Antropologia fisica
Minkur	Neovison vison
Beinfiskar	Osteichthyes
Aleutíska	Lingua aleutina
Kolþerna	Chlidonias niger
Austur-Asía	Asia orientale
Mið-Asía	Asia centrale
Suðvestur-Asía	Asia occidentale
B (aðgreining)	B (disambigua)
Norður-Asía	Asia settentrionale
Boxviður	Buxus sempervirens
Útselur	Halichoerus grypus
Hvítmáfur	Larus hyperboreus
Norður-Afríka	Nordafrica
Herning	Herning
Sunnanverð Afríka	Africa del Sud
Austur-Afríka	Africa orientale
Scream	Scream (film)
Hillerød	Hillerød
Mið-Afríka	Africa centrale
Hrafnsönd	Melanitta nigra
Mölndal	Mölndal
Veiðimenn og safnarar	Caccia e raccolta
Uddevalla	Uddevalla
Suður-Evrópa	Europa meridionale
Frederikshavn	Frederikshavn
Kungälv	Kungälv
Stormsvala	Hydrobates pelagicus
Austur-Evrópa	Europa orientale
Norður-Evrópa	Europa settentrionale
Vestur-Evrópa	Europa occidentale
Mið-Evrópa	Europa centrale
D (aðgreining)	D (disambigua)
Afró-Evrasía	Eurafrasia
Daimler	Daimler (azienda)
Abasínska	Lingua abazina
Máfar	Laridae
AC/DC	AC/DC
Mýflugur	Nematocera
Mið-Ameríka	America Centrale
Skessujurt	Levisticum officinale
Mikhail Bakunin	Michail Bakunin
Línulegt óhæði	Indipendenza lineare
Holstebro	Holstebro
Hótel	Albergo
Sjaka	Shaka
Madeiravín	Madeira (vino)
Latnesk málfræði	Grammatica latina
Austurfrísnesku eyjarnar	Isole Frisone Orientali
Sólflúra	Solea solea
Flen	Flen
Adygeyska	Lingua adighè
Q (aðgreining)	Q (disambigua)
Kristadelfianar	Cristadelfiani
Oxelösund	Oxelösund
Bassi (söngrödd)	Basso (voce)
Tenór	Tenore
Ilhas Desertas	Isole Desertas
Veggjatítla	Anobium punctatum
Aíníska	Lingua aini
Abel Valdimarsson	Abele di Danimarca
Fjörudoppa	Littorina littorea
Norðurfrísnesku eyjarnar	Isole Frisone Settentrionali
Söngvari	Canto (musica)
Aínúmál	Lingua ainu
Bláklukka	Campanula rotundifolia
Ulricehamn	Ulricehamn
C	C (disambigua)
Akanmál	Lingua akan
Ástríkur og víðfræg afrek hans	Pubblicazioni di Asterix
Svendborg	Svendborg
Holbæk	Holbæk
A (aðgreining)	A (disambigua)
Adolf Eichmann	Adolf Eichmann
Aldinbori	Melolontha melolontha
Maghreb	Maghreb
Silfurmáfur	Larus argentatus
Amharíska	Lingua amarica
Ystad	Ystad
Svartfuglar	Alcidae
Seljurót	Apium graveolens
Olinda	Olinda
Hreisturvængjur	Lepidoptera
Örnsköldsvik	Örnsköldsvik
Segulsvörunarstuðull	Permeabilità magnetica
Kornhæna	Coturnix coturnix
Spergill	Asparagus officinalis
Kungsbacka	Kungsbacka
Gráða (horn)	Grado d'arco
Maðkaflugur	Calliphoridae
Leðurblaka	Chiroptera
Peter Griffin	Peter Griffin
Hár	Pelo
Heinrich von Kleist	Heinrich von Kleist
Grasbálkur	Poales
Austurríki-Ungverjaland	Impero austro-ungarico
Tarnobrzeg	Tarnobrzeg
Mayar	Maya
Inkaveldið	Impero inca
Sýsla	Contea (suddivisione amministrativa)
Félagsmannfræði	Antropologia culturale
Arameíska	Lingua aramaica
Garrí Kasparov	Garri Kimovič Kasparov
Anís	Pimpinella anisum
Casimir Funk	Kazimierz Funk
Kirni	Nucleotide
Matthew Broderick	Matthew Broderick
Samloka	Sandwich
Vefnaður	Tessuto
Ø	Ø
Python (forritunarmál)	Python
Vara	Merce
Wreck-It Ralph	Ralph Spaccatutto
Íslamska tímatalið	Calendario islamico
Lahti	Lahti
Verndardýrlingur	Patrono
Auditorio de Tenerife	Auditorio di Tenerife
Christopher Marlowe	Christopher Marlowe
Ignacy Łukasiewicz	Ignacy Łukasiewicz
Greifi	Graf (titolo nobiliare)
Eiríkur Hákonarson	Eiríkr Hákonarson
Akureyri	Akureyri
Vanderbilt-háskóli	Università Vanderbilt
Sacha Baron Cohen	Sacha Baron Cohen
Óeirðirnar í London 2011	Disordini in Inghilterra del 2011
FK Kuban Krasnodar	Futbol'nyj Klub Kuban'
Zenit Sankti Pétursborg	Futbol'nyj Klub Zenit Sankt-Peterburg
Spartak Moskva	Futbol'nyj Klub Spartak Moskva
Lokomotiv Moskva	Futbol'nyj Klub Lokomotiv Moskva
Franskur bolabítur	Bouledogue français
Frelsarakirkjan	Chiesa del Nostro Redentore
Fótgöngulið	Fanteria
Afleiða (stærðfræði)	Derivata
Francisco Franco	Francisco Franco
Biskup	Vescovo
Johann Peter Gustav Lejeune Dirichlet	Peter Gustav Lejeune Dirichlet
Yayi Boni	Yayi Boni
Egypska byltingin 2011	Rivoluzione egiziana del 2011
Tarja Halonen	Tarja Halonen
Martti Ahtisaari	Martti Ahtisaari
Hlaðajarlar	Jarl di Lade
Hastings	Hastings (East Sussex)
F-15 Eagle	McDonnell Douglas F-15 Eagle
F-35 Lightning II	Lockheed Martin F-35 Lightning II
ESCP Europe	ESCP Europe
Kantaraborg	Canterbury
Sjötíumannaþýðingin	Septuaginta
Arvaníska	Lingua arvanitica
Rathlaup	Orientamento (sport)
Grendill	Grendel
Assameíska	Lingua assamese
Afturbrennari	Postbruciatore
Glassúr	Glassa
Assyríska	Lingua neo-aramaica assira
Kaba	Kaaba
Repúblikanaflokkurinn	Partito Repubblicano (Stati Uniti d'America)
Lyftiduft	Lievito chimico
Hvítblæði	Leucemia
Ljósáta	Euphausiacea
Astúríska	Lingua asturiana
Náttúruréttur	Giusnaturalismo
Eðlismassi	Densità
Frumuhimna	Membrana cellulare
Demókrataflokkurinn	Partito Democratico (Stati Uniti d'America)
Avarska	Lingua avara
Michael Carrick	Michael Carrick
Beatrix Hollandsdrottning	Beatrice dei Paesi Bassi
Vefmyndavél	Webcam
Listi yfir forseta Frakklands	Presidenti della Repubblica francese
The Stone Roses	The Stone Roses
Almannahagsmunir	Interesse pubblico
Wi-Fi	Wi-Fi
Aðþrengdar eiginkonur (2. þáttaröð)	Episodi di Desperate Housewives (seconda stagione)
Haderslev	Haderslev
815	815
816	816
840	840
771	771
768	768
Hléborðseyjar	Isole Sopravento Settentrionali
107	107
Lidköping	Lidköping
103	103
Mosar	Bryophyta
119	119
118	118
Anló	Lingua ewe
Nyborg	Nyborg
Barnamosi	Sphagnum
Kaffihús	Caffetteria
Bauja	Boa (nautica)
Alibýfluga	Apis mellifera
Vitis vinifera	Vitis vinifera
Hrognkelsi	Cyclopterus lumpus
775	775
Fjöltyngi	Multilinguismo
784	784
625	625
904	904
1126	1126
Beitiland	Pascolo
Sæskjaldbökur	Cheloniidae
Makríll	Scomber scombrus
410	410
Marglyttur	Medusa (zoologia)
Borgarstjóri	Sindaco
81	81
Staðartími Greenwich	Greenwich Mean Time
69	69
66	66
67	67
34	34
Hreifadýr	Pinnipedia
128	128
129	129
337	337
786	786
50	50
Ecser	Ecser
762	762
610	610
787	787
Zhengzhou	Zhengzhou
867	867
Sléttuhundur	Cynomys
808	808
627	627
795	795
Avril Lavigne	Avril Lavigne
778	778
Forseti	Presidente
Mikhaíl Gorbatsjev	Michail Gorbačëv
761	761
780	780
774	774
759	759
758	758
Móðir Teresa	Madre Teresa di Calcutta
782	782
760	760
785	785
783	783
767	767
766	766
98	98
Úrbanus 2.	Papa Urbano II
672	672
640	640
Málgreining	Elaborazione del linguaggio naturale
137	137
138	138
Hringspinnir	Malacosoma neustria
776	776
763	763
Rudolf Clausius	Rudolf Clausius
769	769
529	529
777	777
788	788
772	772
432	432
Auguste Rodin	Auguste Rodin
Blogg	Blog
Oscar Wilde	Oscar Wilde
180	180
428	428
422	422
Vilhjálmur Tell	Guglielmo Tell
Fantasía 2000	Fantasia 2000
Beinbrunasótt	Dengue
97	97
Franska Pólýnesía	Polinesia Francese
Rúðuborg	Rouen
Flying Fish Cove	Flying Fish Cove
Plymouth (Montserrat)	Plymouth (Montserrat)
Norfolkeyja	Isola Norfolk
Jólaeyja	Isola di Natale
Walter Cronkite	Walter Cronkite
756	756
779	779
773	773
757	757
435	435
790	790
Stofnerfðafræði	Genetica delle popolazioni
437	437
433	433
764	764
Ellie Goulding	Ellie Goulding
426	426
781	781
425	425
429	429
423	423
765	765
235	235
216	216
Mars (sælgæti)	Mars (cioccolata)
135	135
96	96
Önghljóð	Consonante fricativa
Páfagaukar	Psittaciformes
Kraká	Cracovia
789	789
424	424
Dwyane Wade	Dwyane Wade
Hákon Sigurðarson Hlaðajarl	Hákon Sigurðarson
Sveinn Hákonarson	Sveinn Hákonarson
Hákon Eiríksson	Håkon Eiriksson
Opinber stjórnsýsla	Amministrazione pubblica
607	607
Orrustan við Maraþon	Battaglia di Maratona
Net	NET
Karlungaveldið	Impero carolingio
Arabíuskaginn	Penisola araba
Skriðsund	Stile libero
Samlagning	Addizione
Liam Hemsworth	Liam Hemsworth
Illyría	Illiria
Rauði listi IUCN	Lista rossa IUCN
Extensible Stylesheet Language	Extensible Stylesheet Language
XSL Formatting Objects	XSL-FO
Super Bowl	Super Bowl
Ceres (gyðja)	Cerere
XSLT	XSL Transformations
Hnefaleikar	Pugilato
Hliðabókin	Libro delle Porte
Cathay Pacific	Cathay Pacific
556	556
Virgin Atlantic	Virgin Atlantic Airways
Die Toten Hosen	Die Toten Hosen
Nútímafimmtarþraut	Pentathlon moderno
2 Broke Girls	2 Broke Girls
Hnífur	Coltello
Karl 5. keisari	Carlo V d'Asburgo
Merton (borgarhluti)	Merton
Kingston upon Thames (borgarhluti)	Borgo reale di Kingston upon Thames
Richmond upon Thames (borgarhluti)	Borgo londinese di Richmond upon Thames
Jennifer Aniston	Jennifer Aniston
Lausitz	Lusazia
