Hĭ-ciŭ	Africa
Mà-chiók	Mah Jong
Ông-ò̤	Canale artificiale
Detroit	Detroit
Diòng-siàng	Grande muraglia cinese
Gĭng-cê-ták	Piramide
Osman Dá̤-guók	Impero ottomano
Guók-nô̤i sĕng-sāng cūng-dĭk	Prodotto interno lordo
Diêng	Elettricità
Ché̤ṳng	Arma da fuoco
Lòng-gĭ-ché̤ṳng	Mitragliatrice
Sáung-buàng	Abaco
Tāng-káik	Carro armato
Chāu-muòi	Fragola
Liĕk-chiĕ	Litchi chinensis
Ià-cī	Cocos nucifera
Tò̤	Prunus persica
Cáung-ngṳ̄	Lingua zhuang
Siŏng-ngṳ̄	Lingua xiang
Mì-ngù-ī-ngṳ̄	Lingua uigura
Wiki Ŭk-cṳ̄ng	Wikispecies
Nĕng-dáe̤k	Reggiseno
Ā-lá-báik-ngṳ̄	Lingua araba
Cūng-lī	Primo ministro
Lù Ū-hièng	Roh Moo-hyun
Páuk Céng-hĭ	Park Chung-hee
Siĕng-ìng-ciōng	Cactaceae
Iòng-bék	Matita
Gă-sĭ	Arredamento
Dó̤h	Tavolo
Ó̤-muòng	Macao
Liòng Cīng-ĭng	Leung Chun-ying
Iē-giāng	Sedia
Hù Gīng-dò̤	Hu Jintao
Sĭk Gê̤ṳng-bìng	Xi Jinping
Dòng-gêng-lĕ̤k	Giraffa camelopardalis
Chĭng-dáung	Shenzhen
Guōng-dĕ̤ng	Guangdong
Guōng-să̤	Guangxi
Sŭ-lièng	Unione Sovietica
Kiák-sióng-gĭ	Fotocamera
Kagoshima-gâing	Prefettura di Kagoshima
C ngṳ̄-ngiòng	C (linguaggio)
Kă	Piede
Ciēng	Gekkonidae
Dô-dâing	Lacertilia
Giĕng-tàu	Spalla
Wikipedia:Bō̤-ciéng hō̤ ùng	Wikipedia:Vetrina
模板:Link FA	Template:Link V
Sié-gái	Mondo
Wikipedia:Duâi chéu â	Wikipedia:Bar
Busan	Pusan
Lèng-huă	Nelumbo nucifera
Vermont	Vermont
Denver	Denver
Guōng-ciŭ	Canton
Ciōng Gái-sĭk	Chiang Kai-shek
Gŏng Dĕk-mìng	Jiang Zemin
Ŭng Gă-bō̤	Wen Jiabao
Nàng-gĭng	Nanchino
Làu Dáik-huà	Andy Lau
Diŏng Hŏk-iū	Jacky Cheung
Báe̤k-gĭng Dâi-hŏk	Università di Pechino
Chĭng-huà Dâi-hŏk	Università Tsinghua
Ŭ-lū-mŭk-cà̤	Ürümqi
Gŏng-sŭ	Jiangsu
Ciék-gŏng	Zhejiang
Dâing Siēu-bìng	Deng Xiaoping
Lò̤-mā Gê̤ṳng-huò-guók	Repubblica romana
Câung-kṳ̆	Tibet
Să̤-câung	Regione Autonoma del Tibet
Ciŭ Ŏng-lài	Zhou Enlai
Dṳ̆ng-guók Gê̤ṳng-sāng-dōng	Partito Comunista Cinese
Chiū-gĭ	Telefono cellulare
Dò̤-nēu	Struthio camelus
Kŏng-hĭ Huòng-dá̤	Kangxi
Dièu-siēng	Corea
Lī Káik-giòng	Li Keqiang
Gŏ̤ Hèng-giông	Gao Xingjian
Lī Bèng	Li Peng
Lòng	Canis lupus
Bìng-iōng	Pyongyang
Sĭng-iók Séng-gĭng	Nuovo Testamento
9	9 (numero)
Kiék	Scorpiones
Gièng-lè̤ng Huòng-dá̤	Qianlong
Dṳ̆ng-guók Dâi-lṳ̆k	Cina continentale
Háik-lṳ̀ng-gĕ̤ng-sēng	Heilongjiang
Mā Ĭng-gāu	Ma Ying-jeou
Lè̤	Equus asinus
Wikipedia:Cék-liông ô-lī-kó̤ gì ùng-ciŏng	Wikipedia:Voci di qualità
Sé-chiŏng	Sichuan
Gô-iók Séng-gĭng	Antico Testamento
Séng-dáng-cáik	Natale
Săng-gáe̤k-hìng	Triangolo
Muammar Gaddafi	Mu'ammar Gheddafi
Lâu-hū	Panthera tigris
Daejeon	Daejeon
Daegu	Taegu
Sié-cŭng Dĕk-biék Cê̤ṳ-dé-chê	Città di Sejong
Incheon	Incheon
Gyeonggi Dô̤	Gyeonggi
Bô-uăk-cáik	Pasqua
Ò̤-báe̤k	Hebei
Bŏk Hĭ-lài	Bo Xilai
GNU Cê̤ṳ-iù Ùng-dáung Hṳ̄-kō̤-céng	GNU Free Documentation License
Uŏng Cĭng-ôi	Wang Jingwei
Dìng Cūi-biēng	Chen Shui-bian
Dài-uăng	Isola di Formosa
À̤	Scarpa
Ngṳ̀ng-hòng	Banca
Lū Séng	Lu Xun
7	7 (numero)
8	8 (numero)
Lĕ̤k	Cervidae
Hù	Lago
Sáung-tàu	Allium sativum
Chái-guă	Cucumis sativus
Dō̤	Isola
Băh-sáik	Bianco
Ŭ-sáik	Nero
6	6 (numero)
Moshchena	Moščena
Huăng-kê	Solanum lycopersicum
George H. W. Bush	George H. W. Bush
Quảng Bình	Provincia di Quang Binh
Atlanta	Atlanta
Benito Mussolini	Benito Mussolini
Sṳ̀-diēng	Dizionario
Tàu	Testa
Hiê-lìng-dóng	Wellington
Dâi Bók-liĕk-diĕng Dō̤	Gran Bretagna
Las Vegas	Las Vegas
10	10 (numero)
Alfred Nobel	Alfred Nobel
Tàu-sĕ̤	Pettine
Guòng-lĭk	Potere
Mà-hùng-cēu	Strigiformes
Dēng-cṳ̆ng	Ora
Ké-chiông	Meteorologia
Đà Nẵng	Da Nang
Káh-chiók	Pica pica
Làng-huă	Orchidaceae
Gă-săk	Blattodea
Ngáuk-ngṳ̀	Crocodylia
Lā-lì	Manis
Nàng-muōi-sĭng	Lampyridae
Holocene	Olocene
Hāi-báu	Phocidae
Bà̤-bá-cēu	Troglodytes troglodytes
Ciáh-giāng	Passer montanus
Niccolò Cusano Dâi-hŏk	Università degli Studi @@@u0026Niccolò Cusano"
Long An	Provincia di Long An
Thái Nguyên	Provincia di Thai Nguyen
Herodotus	Erodoto
Othello	Otello
Nĭk-buōng-hāi	Mar del Giappone
Dĕ̤ng-ā	Asia orientale
Dĕ̤ng-ĕu	Europa orientale
Vĩnh Phúc	Provincia di Vinh Phuc
Chĕ̤ng	Allium fistulosum
Liù-giù-guók	Regno delle Ryūkyū
Dièu-siēng uòng-dièu	Dinastia Joseon
Gŏ̤-là̤	Goryeo
Dâi-hàng Dá̤-guók	Impero coreano
Buŏk-hāi-guók	Balhae
Gŏ̤-gău-là̤	Koguryŏ
Bì-bà-dâu-giék	Chiroptera
Báik-cá̤	Paekje
Sĭng-lò̤	Regno di Silla
Tàu-huók	Pelo
Hàng Hĭ	Han Fei
Uòng-dá̤	Huang Di
Diéu-ngṳ̀-dài Liĕk-dō̤	Isole Senkaku
Gê̤ṳng-huò-dōng (Mī-guók)	Partito Repubblicano (Stati Uniti d'America)
Mìng-ciō-dōng (Mī-guók)	Partito Democratico (Stati Uniti d'America)
Cūi-tiák	Lutra lutra
Sìng-dŭ	Chengdu
Buò-gŭng-ĭng	Taraxacum
Tá	Medusa (zoologia)
Dâng-ciŭ	Zhengzhou
Cūng-tūng	Presidente
Muāng-ciŭ-guók	Manciukuò
Gù-cŭi	Streptopelia
Só̤h	Corda
Dṳ̆ng-guók Guók-mìng-dōng	Kuomintang
Ngâng	Anser cygnoides
Ĕng-gŏ̤	Psittaciformes
Gă-huák	Addizione
Dài-uăng-sēng	Provincia di Taiwan
Dŏ̤	Coltello
Băng-mā	Zebra
Guók-cié biĕu-cūng cṳ̆-hô̤	ISBN
Đồng Nai	Provincia di Dong Nai
Sóc Trăng	Provincia di Soc Trang
Quảng Ngãi	Provincia di Quang Ngai
Hà Tĩnh	Provincia di Ha Tinh
Cà Mau	Provincia di Cà Mau
Quảng Nam	Provincia di Quang Nam
Bến Tre	Provincia di Ben Tre
Khánh Hòa	Provincia di Khanh Hoa
Káh-gă-ngṳ̄	Lingua hakka
Sơn La	Provincia di Son La
Huŏng-ngiòng	Dialetto
Lev Trotsky	Lev Trockij
Quảng Ninh	Provincia di Quang Ninh
Lạng Sơn	Provincia di Lang Son
Bắc Ninh	Provincia di Bac Ninh
Gáng-ngṳ̄	Lingua gan
Sṳ̆-mā Guŏng	Sima Guang
Mà-hṳ̀ng	Ailuropoda melanoleuca
Muāng-ngṳ̄	Lingua mancese
Chiū	Mano
Dô Hū	Du Fu
Gùng-dō̤	Arcipelago
Niŏh-niŏh	Foglia
Bŭk-buó	Cascata
Yasser Arafat	Yasser Arafat
Chṳ̆ng-sìng-ngṳ̄	Lingua di Okinawa
Câung-ngṳ̄	Lingua tibetana
Ngù-ngṳ̄	Lingua wu
Tasmania	Tasmania
Ì-cô̤	Sapone
Hŭk-săng	Foshan
Ciĕu-huò Tiĕng-huòng	Hirohito
Al-Qaeda	Al-Qaida
Mò̤-táuk-chiă	Motocicletta
Ò̤-mā	Hippopotamus amphibius
Anastacia	Anastacia
Sĕk Gái	Dieci comandamenti
Huă-báu	Panthera pardus
Să̤-ngiù	Rhinocerotidae
Lò̤-buàng	Bussola
Buáng-dō̤	Penisola
Sĭng-giŏng	Xinjiang
Mŭk-guă	Carica papaya
Mì-sĕng-só	Vitamine
Gái-làng-chái	Brassica oleracea var. capitata
Giáng	Specchio
Ciŭ-dièu	Dinastia Zhou
Kāng-muòng-giāng	Finestra
Băh Gṳ̆ng	Casa Bianca
Gīng-chák	Polizia
Báe̤k-hāi-dô̤	Hokkaidō
Giŏng	Zingiber officinale
Nobel Huò-bìng Ciōng	Premio Nobel per la pace
Sáu	Tosse
Hák-chê	Starnuto
Káung-mìng	Sonno
Gèng-hāi	Lago d'Aral
Dé̤ṳk	Bambuseae
Hù Cé-mìng	Ho Chi Minh
Hòa Bình	Provincia di Hoa Binh
Sŭ Sék	Su Shi
Queensland	Queensland
Tù	Suolo
Ù-huă-guō	Ficus carica
Hưng Yên	Provincia di Hung Yen
Dòng-dô	Lunghezza
Kon Tum	Provincia di Kon Tum
Hậu Giang	Provincia di Hau Giang
Máe̤ng	Sogno
Yên Bái	Provincia di Yen Bai
Bắc Giang	Provincia di Bac Giang
Thừa Thiên-Huế	Provincia di Thua Thien-Hue
Bắc Kạn	Provincia di Bac Kan
Lai Châu	Provincia di Lai Chau
Hà Nam	Provincia di Ha Nam
Lào Cai	Provincia di Lao Cai
Mìng-dĕ̤ng-ngṳ̄	Min dong
Hannibal	Annibale
Mìng-nàng-ngṳ̄	Lingua min nan
Thanh Hóa	Provincia di Thanh Hoa
Kiên Giang	Provincia di Kien Giang
Quảng Trị	Provincia di Quang Tri
Nghệ An	Provincia di Nghe An
An Giang	Provincia di An Giang
Tây Ninh	Provincia di Tay Ninh
Phú Thọ	Provincia di Phu Tho
Duâi-sĭng-sĭng	Gorilla
Trà Vinh	Provincia di Tra Vinh
Bạc Liêu	Provincia di Bac Lieu
Gia Lai	Provincia di Gia Lai
Tiền Giang	Provincia di Tien Giang
Bình Phước	Provincia di Binh Phuoc
Đồng Tháp	Provincia di Dong Thap
Thái Bình	Provincia di Thai Binh
Hà Giang	Provincia di Ha Giang
Đắk Lắk	Provincia di Dak Lak
Cáung-cŭk	Zhuang
Bình Định	Provincia di Binh Dinh
Lâm Đồng	Provincia di Lam Dong
Đắk Nông	Provincia di Dak Nong
Phú Yên	Provincia di Phu Yen
Hải Dương	Provincia di Hai Duong
Dièu-ciŭ-uâ	Dialetto teochew
Iók-hâng Hók Ĭng	Vangelo secondo Giovanni
Dài-uăng-uâ	Lingua taiwanese
Muòng	Porta
Chiēng-gák	Unghia
Cao Bằng	Provincia di Cao Bang
Bình Dương	Provincia di Binh Duong
Bình Thuận	Provincia di Binh Thuan
Bà Rịa-Vũng Tàu	Provincia di Ba Ria-Vung Tau
Ninh Bình	Provincia di Ninh Binh
Ninh Thuận	Provincia di Ninh Thuan
Nam Định	Provincia di Nam Dinh
Điện Biên	Provincia di Dien Bien
Sìng-lṳ̀ng	Jackie Chan
Méng	Viso
Gāng-lāng	Olea europaea
Săng-ôi-ék-tā̤	Trinità (cristianesimo)
Sŏng-cṳ̄	Sun Tzu
Sĭng-săng	Docente
Cleveland	Cleveland
Dăk-lâi Lā-mà	Dalai Lama
Huă-sĕng	Arachis hypogaea
100	100 (numero)
Kă-kók-tàu	Ginocchio
Hâing	Prunus armeniaca
Ngāng-giáng	Occhiali
Cê̤ṳ-lài-huōi	Fiammifero
Chê-diòng	Mercato
Nàng Dṳ̆ng-guók Hāi	Mar Cinese Meridionale
Dièu-siēng Sié-cŭng	Sejong il Grande
Hăk-gĭng	Lega (metallurgia)
Bĭng-siŏng	Frigorifero
Nobel Ùng-hŏk Ciōng	Premio Nobel per la letteratura
Huăng-sṳ̀	Ipomoea batatas
Uòng-hāi	Mar Giallo
Akihito	Akihito
Newton ông-dông-hŏk dêng-lŭk	Principi della dinamica
Să̤-guă	Citrullus lanatus
Biobío Dâi-hŏk	Università del Bío-Bío
Huòng-dá̤	Imperatore
Ìng-mìng-bê	Renminbi cinese
Tā̤-cék	Volume
Cèng-sáik	Arancione
Gă-sĭ-huă	Attrezzo
Ĭ-sĕng	Medico
Iéng (cēu)	Hirundinidae
Kó	Pantaloni
Lô-gă Hók Ĭng	Vangelo secondo Luca
Mìng-ciō-dōng	Partito Democratico (disambigua)
Ciŏng-tàu	Mattone
Tiō-uòng	Ellisse
Sìng-huák	Moltiplicazione
Sé̤ṳ-dù Hèng-diông	Atti degli Apostoli
Uòng-dô̤ Sĕk-nê Sĭng-cô̤	Zodiaco
Huá-siŏh	Fossile
Gēng-huák	Sottrazione
Cī-cī	Seme
Chiĕk	Brachyura
Gă-dŏ̤	Forbici
Niêu	Urina
Ăng-hŭi	Anhui
Ngiăh	Fronte (anatomia)
Sĭ-piĕng	Salmi
Chungcheong Báe̤k-dô̤	Chungcheong Settentrionale
Chungcheong Nàng-dô̤	Chungcheong Meridionale
Gangwon Dô̤ (Dâi-hàng Mìng-guók)	Gangwon
Nô̤i Mūng-gū	Mongolia Interna
Gĭng Nĭk-sìng	Kim Il-sung
Gyeongsang Nàng-dô̤	Gyeongsang Meridionale
Gyeongsang Báe̤k-dô̤	Gyeongsang Settentrionale
Jeolla Báe̤k-dô̤	Jeolla Settentrionale
Jeolla Nàng-dô̤	Jeolla Meridionale
Jeju Dĕk-biék Cê̤ṳ-dé-dô̤	Jeju-do
Huăng-cièng-giāng	Moneta
Bă-biĕk-ták	Torre di Babele
Ulsan	Ulsan
Gwangju	Gwangju
Chó	Aceto
Kangwŏn Dô̤ (Dièu-siēng Mìng-ciō-ciō-ngiê Ìng-mìng Gê̤ṳng-huò-guók)	Kangwon
Michael Jordan	Michael Jordan
Lé-ê-gé	Levitico
Gṳ̆ng-gṳ̆ng	Radice (botanica)
Bì-bà (cūi-guō)	Eriobotrya japonica
Hamlet	Amleto
Huà Guók-hŭng	Hua Guofeng
Sāng	Ombrello
Làu Hiēu-pŏ̤	Liu Xiaobo
Hók-gióng	Fujian
Mūng-gū-cŭk	Mongoli
Mĕk-sê Liŏh	Apocalisse di Giovanni
Hièng-câung	Xuánzàng
Gū-chiŏng	Natiche
Mìng-chòng	Letto
Hāi-nàng	Hainan
Háng-ngṳ̄ Pĭng-ĭng	Pinyin
Uōng-dĕ̤ng	Estremo Oriente
Băh-gák	Columba livia
Găng-sé̤ṳk	Gansu
Taliban	Talebani
Huŏi-sáik	Grigio
Sĭng-mêng-gé	Deuteronomio
Sŭ-ciŭ	Suzhou
Ŭng-ciŭ	Wenzhou
Háng-cŭk	Han
Nìng-pŏ̤	Ningbo
Chói-chiŭ	Barba
Cāi-iêu	Aquilone
Hăk-ī-bĭng	Harbin
Mā-kì	Hirudinea
1000	1000 (numero)
Mìng-só-gé	Numeri (Bibbia)
Cáu-sèng	Cucina (architettura)
Hùng-nàng	Yunnan
Lō̤-uă	Corvus
Săng-dĕ̤ng	Shandong
È̤ng-ĕ̤ng	Chilopoda
Ò̤-nàng	Henan
Mì-mò̤	Sopracciglio
Bók-sài	Ombelico
Lièu-nìng	Liaoning
Hióng-liông	Vettore (matematica)
Cretaceous	Cretacico
Tochigi-gâing	Prefettura di Tochigi
Chói-mò̤-cēu	Alcedinidae
Dàu	Dado (gioco)
Cūi-nà̤	Cemento
Gék-lìng	Jilin (provincia)
Dĕ̤ng Dṳ̆ng-guók Hāi	Mar Cinese Orientale
Hāi-chĕk	Pirateria
Gūi	Fantasma
Bóng-dó̤	Rifiuti
Hù-nàng	Hunan
Jurassic	Giurassico
Chĭng-hāi	Qinghai
Mì-ngù-ī-cŭk	Uiguri
Ă-piéng	Oppio
Chiū-cī	Anello (gioiello)
Hù-báe̤k	Hubei
Săng-să̤	Shanxi
Cĕ̤ng-sáik	Marrone
Giòng-găng	Violenza sessuale
Gói-ciŭ	Guizhou
Triassic	Triassico
Sék-sáuk	Gryllidae
Cāi-piéu	Banconota
SQL	SQL
Hù Sék	Hu Shih
Iók-cṳ̆-ā-gé	Libro di Giosuè
Cŏng-cṳ̄	Zhuāngzǐ
Cṳ̀-hĭ Tái-hâiu	Cixi
Kan Naoto	Naoto Kan
Miyagi-gâing	Prefettura di Miyagi
模板:Commons category	Template:Commonscat
Lò̤-mā Cṳ̆	Lettera ai Romani
Pău-ŭk-siáng	Parabola (geometria)
Dô̤-dáik	Morale
Iwate-gâing	Prefettura di Iwate
Ĭ-siòng-chiă	Macchina per cucire
Dièu-siēng Lò̤-dông-dōng	Partito del Lavoro di Corea
Nàng-báe̤k-dièu	Dinastie del Nord e del Sud
Chái Ĭ-lìng	Jolin Tsai
Pì-lĭk-bī Cṳ̆	Lettera ai Filippesi
Ngā-gŏ-cṳ̆	Cantico dei cantici
Mā-lăk-gĭ-cṳ̆	Libro di Malachia
模板:Taxobox	Template:Tassobox
分類:Gŭng-ciō	Categoria:Sovrani
Diŏng Ngiê-mèu	Zhāng Yìmóu
模板:Dṳ̆ng-guók lĭk-sṳ̄	Template:Storia della Cina
Gĭng Céng-ŏng	Kim Jong-un
Liù-giù-ngṳ̄	Lingue ryukyuane
Mìng-ngṳ̄	Lingua min
Dài-uăng Mìng-nàng-ngṳ̄ Lò̤-mā-cê Pĭng-ĭng Huŏng-áng	Sistema di romanizzazione taiwanese
Gŏng-să̤	Jiangxi
Nìng-hâ	Ningsia
Lùng-sùng	Dragonboat
Noda Yoshihiko	Yoshihiko Noda
Yingluck Shinawatra	Yingluck Shinawatra
Siŏh-gă-cŏng	Shijiazhuang
Chṳ̄	Muroidea
Ciŏ-hāi	Zhuhai
Sáng-tàu	Shantou
Dâng-gŏng	Zhanjiang
Mùi-ciŭ	Meizhou
Chĭng-uōng	Qingyuan
Dĕ̤ng-uāng	Dongguan
Dṳ̆ng-săng-chê	Zhongshan
Dièu-ciŭ	Chaozhou
Tàng-táik	Siluriformes
Gé̤ṳk-huă	Chrysanthemum
Sofie gì Sié-gái	Il mondo di Sofia
Ordovician	Ordoviciano
Silurian	Siluriano
Hók-gióng-sēng (Dṳ̆ng-huà Mìng-guók)	Fujian (Taiwan)
Mièu-lĭk	Contea di Miaoli
Dāng-nòng	Cistifellea
Devonian	Devoniano
Hók-ciŭ	Fuzhou
Nàng-bìng	Nanping
Buò-dièng	Putian
Săng-mìng	Sanming
Ciòng-ciŭ	Quanzhou
Â-muòng	Xiamen
Ciŏng-ciŭ	Zhangzhou
Lṳ̀ng-ngàng	Longyan
Nìng-dáik	Ningde
Să̤-nìng	Xining
Să̤-iù-gé	Il viaggio in Occidente
Săng-guók Iēng-ngiê	Il romanzo dei tre regni
Cūi-hū	I Briganti (romanzo)
Ā-dŏng	Adamo
Aomori-gâing	Prefettura di Aomori
Fukushima-gâing	Prefettura di Fukushima
Tái-nguòng	Taiyuan
Hải Phòng	Haiphong
Sĭng-dé̤ṳk (gâing)	Contea di Hsinchu
Dâi-lièng	Dalian
Hĭ-Pŏ̤ Ciéng-cĕng	Guerre persiane
Permian	Permiano
Biēu-chĭng	Cugino
Cambrian	Cambriano
Iòng-ciók	Candela (illuminazione)
Chiba-gâing	Prefettura di Chiba
Pău	Citrus maxima
Lô-dáik-gé	Libro di Rut
Mà-hù	Anisoptera
Dáng-ī-lī	Libro di Daniele
Páuk-káik	Poker
Mô̤	Cappello
Gŏ̤-lìng-dŏ̤ Cièng Cṳ̆	Prima lettera ai Corinzi
Aichi-gâing	Prefettura di Aichi
Lī-ngṳ̀	Cyprinus carpio
Muāng-ciŭ	Manciuria
Sê̤ṳ-sṳ-gé	Libro dei Giudici
Pŏ̤-lìng-chái	Spinacia oleracea
Akita-gâing	Prefettura di Akita
Pièu-gĕng	Cucchiaio
Dê̤ṳ	Bacchette per il cibo
Mĕ̤k-lê	Jasminum
Nàng-dàu	Contea di Nantou
Gié-tiàng-chiă	Taxi
Â-hài	Mento
Gŭ	Fungo epigeo
Ibaraki-gâing	Prefettura di Ibaraki
Lài-gŭng	Tuono
Siĕu-sŏng	Acido nitrico
Ngù-giāng-kó	Blue-jeans
Bō̤-siŏh	Gemma (mineralogia)
Lièu-că̤ Cé-ê	Racconti straordinari dello studio Liao
Gáu-kuŏ-cṳ̆	Libro di testo
Chāu-māng	Caelifera
Diòng-chŭng	Changchun
Milan Kundera	Milan Kundera
Lâung	Uovo (alimento)
Lĕ̤k-sé Sê̤ṳ-giông	Protesta di piazza Tienanmen
Diêu Ciē-iòng	Zhao Ziyang
Hù Iêu-băng	Hu Yaobang
Fukuda Yasuo	Yasuo Fukuda
Sṳ̀ng-chéu (Sṳ̀ng-báh)	Pinaceae
Gī-hò̤-chiă	Compasso (strumento)
Táng-sŏng	Acido carbonico
Liòng-chióh	Riga (strumento)
Chăng-màng-chṳ̄	Talpidae
Dṳ̆ng-hâ Iâ cĭ Máe̤ng	Sogno di una notte di mezza estate
Tié-tàu-să-hô	Barbiere
Mā-kō̤ Hók Ĭng	Vangelo secondo Marco
Kaesŏng	Kaesŏng
Hwanghae Báe̤k-dô̤	Nord Hwanghae
P'yŏng'an Báe̤k-dô̤	Nord Pyongan
Hamgyŏng Báe̤k-dô̤	Nord Hamgyong
Hamgyŏng Nàng-dô̤	Sud Hamgyong
P'yŏng'an Nàng-dô̤	Sud Pyongan
Namp'o	Namp'o
Ryanggang Dô̤	Ryanggang
Tò̤-huòng	Contea di Taoyuan
Sŭk-mī	Riso glutinoso
Nguòng-siĕu-uòng	Tangyuan
Gĭng-dŭ	Prefettura di Kyoto
Ōsaka-hū	Prefettura di Osaka
Cék-ngṳ̀	Carassius auratus
Fukuoka-gâing	Prefettura di Fukuoka
Ehime-gâing	Prefettura di Ehime
Gŏ̤-lìng-dŏ̤, Hâiu Cṳ̆	Seconda lettera ai Corinzi
Sā̤-ĭ-gĭ	Lavatrice
Gék	Citrus reticulata
Gé̤ṳ	Sega (strumento)
Yamagata-gâing	Prefettura di Yamagata
Éu-dê-huòng	Scuola dell'infanzia
Dài-uăng Hāi-hiĕk	Stretto di Formosa
Lù-guói	Aloe (botanica)
Yamaguchi-gâing	Prefettura di Yamaguchi
Kanagawa-gâing	Prefettura di Kanagawa
Nagano-gâing	Prefettura di Nagano
Iĕng-huă	Fuochi d'artificio
Mì-pŏ̤-lù	Forno a microonde
Saitama-gâing	Prefettura di Saitama
Mie-gâing	Prefettura di Mie
Hĭ-báik-lài Cṳ̆	Lettera agli Ebrei
Gă-lăk-tái Cṳ̆	Lettera ai Galati
Muàng-ngṳ̀	Anguilliformes
Siŏng-dièu	Dinastia Shang
Gunma-gâing	Prefettura di Gunma
Hyōgo-gâing	Prefettura di Hyōgo
Miyazaki-gâing	Prefettura di Miyazaki
Kumamoto-gâing	Prefettura di Kumamoto
Ă-cì	Cicadidae
Koizumi Jun'ichirō	Jun'ichirō Koizumi
Ī-sê̤ṳ-táik-cṳ̆	Libro di Ester
Diòng-dô-cṳ̆	Qoelet
Hatoyama Yukio	Yukio Hatoyama
Gŏ̤-lò̤-să̤ Cṳ̆	Lettera ai Colossesi
Ngā-gáuk Cṳ̆	Lettera di Giacomo
Iók-hâng Ék Cṳ̆	Prima lettera di Giovanni
Pì-lé-muòng Cṳ̆	Lettera a Filemone
Táik-sák-lò̤-nà̤-giă, Hâiu Cṳ̆	Seconda lettera ai Tessalonicesi
Táik-sák-lò̤-nà̤-giă Cièng Cṳ̆	Prima lettera ai Tessalonicesi
Bī-dáik Cièng Cṳ̆	Prima lettera di Pietro
Bī-dáik Hâiu Cṳ̆	Seconda lettera di Pietro
Tì-mò̤-tái Cièng Cṳ̆	Prima lettera a Timoteo
Dòng-lòng	Mantodea
Gifu-gâing	Prefettura di Gifu
Ishikawa-gâing	Prefettura di Ishikawa
Nara-gâing	Prefettura di Nara
Wakayama-gâing	Prefettura di Wakayama
Shizuoka-gâing	Prefettura di Shizuoka
Shiga-gâing	Prefettura di Shiga
Iók-hâng Nê Cṳ̆	Seconda lettera di Giovanni
Ī-suói-ā-cṳ̆	Libro di Isaia
Iók-hâng Săng Cṳ̆	Terza lettera di Giovanni
Iù-dâi Cṳ̆	Lettera di Giuda
Tì-mò̤-tái Hâiu Cṳ̆	Seconda lettera a Timoteo
Tì-dŏ̤ Cṳ̆	Lettera a Tito
Nùng-mìng	Agricoltore
Ià-lé-mī-cṳ̆	Libro di Geremia
Ī-sê̤ṳ-lá-cṳ̆	Libro di Esdra
Nà̤-hĭ-mī-cṳ̆	Libro di Neemia
Iók-ngī-cṳ̆	Libro di Gioele
Băh-lô	Egretta garzetta
Chŭng-cáik	Capodanno cinese
Sō-siè	Chiave (serratura)
Abe Shinzō	Shinzō Abe
Asō Tarō	Tarō Asō
Séng-cṳ̆-tā̤	Geroglifici egizi
Niigata-gâing	Prefettura di Niigata
Yamanashi-gâing	Prefettura di Yamanashi
Shimane-gâing	Prefettura di Shimane
Toyama-gâing	Prefettura di Toyama
Okayama-gâing	Prefettura di Okayama
Kă-tōi	Zampa
Piăng	Schiena
Piĕ	Lettera (messaggio)
Sáik-màng	Daltonismo
Carboniferous	Carbonifero
Ciŏng-huá	Contea di Changhua
Fukui-gâing	Prefettura di Fukui
Ōita-gâing	Prefettura di Ōita
Tottori-gâing	Prefettura di Tottori
Nùng-lĭk	Calendario cinese
Kōchi-gâing	Prefettura di Kōchi
Uâng-iū īng-lĭk dêng-lŭk	Legge di gravitazione universale
Chèng-gēng	Bombyx mori
Dài-uăng Nĭk-buōng Sì-dâi	Taiwan sotto il dominio giapponese
Páuk Gê̤ṳng-hiê	Park Geun-hye
Dài-nàng	Tainan
Cĕng	Ago (cucito)
Muāng-cŭk	Manciù
Kìng-giāng	Pinza
Anna Karenina	Anna Karenina
Tài-nè̤ng	Omicidio
Gáung-gṳ̆ng	Armatura (edilizia)
Tiè-mà	Pianto
Swadesh hŏk-sĭng-sṳ̀ liĕk-biēu	Lista di Swadesh
Dŭng-nìng-guók	Regno di Tungning
Hùng-lìng	Yunlin
Diāng	Casseruola
Lāng	Saliva
Diò-să-hô	Cuoco
Bĭng-lòng	Areca catechu
Dâi-céng Tiĕng-huòng	Taisho
Băng-sièng Lā-mà	Panchen Lama
Mŭk-gê̤ṳng	Hibiscus syriacus
Muòi-huă	Prunus mume
Cĕ̤ng-chéu	Trachycarpus fortunei
Muòi-kṳ̄ng	Muffa
Sĕ̤ng-săng-giāng	Gemelli (biologia)
Mĕ̤k-tiák	Ciglia (occhi)
Nguòng-cṳ̄-bék	Penna a sfera
Norodom Sihanouk	Norodom Sihanouk
Saga-gâing	Prefettura di Saga
Tokushima-gâing	Prefettura di Tokushima
Lòng-dâung	Hyoscyamus niger
Lòi-sĭ-gā	Cacciavite
Kēng-muōi-dăi	Setaria italica
Sĭk-sĭk	Ala (aeronautica)
Kagawa-gâing	Prefettura di Kagawa
Thaksin Shinawatra	Thaksin Shinawatra
Uòng-dăi	Panicum miliaceum
Kê	Diospyros
Săng-guók (Dièu-siēng)	Tre regni di Corea
Ŭng-dìng	Polvere
Huăng-siŏh-liù	Psidium guajava
