Áfríkà	Africa
9014 Svyatorichter	9014 Svyatorichter
902 Probitas	902 Probitas
903 Nealley	903 Nealley
904 Rockefellia	904 Rockefellia
9059 Dumas	9059 Dumas
906 Repsolda	906 Repsolda
907 Rhoda	907 Rhoda
9079 Gesner	9079 Gesner
908 Buda	908 Buda
909 Ulla	909 Ulla
9097 Davidschlag	9097 Davidschlag
910 Anneliese	910 Anneliese
9115 Battisti	9115 Battisti
9119 Georgpeuerbach	9119 Georgpeuerbach
912 Maritima	912 Maritima
Thutmose 3k	Thutmose III
Seti 1k	Seti I
Thutmose 1k	Thutmose I
Amenhotep 1k	Amenofi I
9130 Galois	9130 Galois
914 Palisana	914 Palisana
Thutmose 4k	Thutmose IV
916 America	916 America
917 Lyka	917 Lyka
Horemheb	Horemheb
918 Itha	918 Itha
Oj, svijetla majska zoro	Oj, svijetla majska zoro
919 Ilsebill	919 Ilsebill
Smenkhkare	Smenkhara
920 Rogeria	920 Rogeria
Twosret	Tausert
921 Jovita	921 Jovita
922 Schlutia	922 Schlutia
9236 Obermair	9236 Obermair
923 Herluga	923 Herluga
Thutmose 2k	Thutmose II
924 Toni	924 Toni
925 Alphonsina	925 Alphonsina
Merneptah	Merenptah
926 Imhilde	926 Imhilde
927 Ratisbona	927 Ratisbona
Amenhotep 2k	Amenofi II
928 Hildrun	928 Hildrun
Siptah	Siptah
W. E. B. Du Bois	William Edward Burghardt Du Bois
Amenmesse	Amenmesse
930 Westphalia	930 Westphalia
931 Whittemora	931 Whittemora
9313 Protea	9313 Protea
932 Hooveria	932 Hooveria
934 Thüringia	934 Thüringia
9357 Venezuela	9357 Venezuela
940 Kordula	940 Kordula
941 Murray	941 Murray
942 Romilda	942 Romilda
943 Begonia	943 Begonia
944 Hidalgo	944 Hidalgo
945 Barcelona	945 Barcelona
9453 Mallorca	9453 Mallorca
947 Monterosa	947 Monterosa
948 Jucunda	948 Jucunda
9491 Thooft	9491 Thooft
949 Hel	949 Hel
9492 Veltman	9492 Veltman
9499 Excalibur	9499 Excalibur
95 Arethusa	95 Arethusa
950 Ahrensa	950 Ahrensa
9505 Lohengrin	9505 Lohengrin
952 Caia	952 Caia
953 Painleva	953 Painleva
955 Alstede	955 Alstede
956 Elisa	956 Elisa
9561 van Eyck	9561 van Eyck
9562 Memling	9562 Memling
957 Camelia	957 Camelia
9588 Quesnay	9588 Quesnay
9592 Clairaut	9592 Clairaut
96 Aegle	96 Aegle
9615 Hemerijckx	9615 Hemerijckx
961 Gunnie	961 Gunnie
9626 Stanley	9626 Stanley
962 Aslög	962 Aslög
964 Subamara	964 Subamara
965 Angelica	965 Angelica
966 Muschi	966 Muschi
968 Petunia	968 Petunia
969 Leocadia	969 Leocadia
970 Primula	970 Primula
973 Aralia	973 Aralia
972 Cohnia	972 Cohnia
974 Lioba	974 Lioba
975 Perseverantia	975 Perseverantia
976 Benjamina	976 Benjamina
977 Philippa	977 Philippa
9780 Bandersnatch	9780 Bandersnatch
978 Aidamina	978 Aidamina
979 Ilsewa	979 Ilsewa
9793 Torvalds	9793 Torvalds
98 Ianthe	98 Ianthe
980 Anacostia	980 Anacostia
982 Franklina	982 Franklina
983 Gunila	983 Gunila
9836 Aarseth	9836 Aarseth
984 Gretia	984 Gretia
985 Rosina	985 Rosina
986 Amelia	986 Amelia
987 Wallia	987 Wallia
9882 Stallman	9882 Stallman
Eugene Cernan	Eugene Cernan
989 Schwassmannia	989 Schwassmannia
9904 Mauratombelli	9904 Mauratombelli
990 Yerkes	990 Yerkes
99262 Bleustein	99262 Bleustein
992 Swasey	992 Swasey
Cevdet Sunay	Cevdet Sunay
993 Moultona	993 Moultona
994 Otthild	994 Otthild
995 Sternberga	995 Sternberga
9969 Braille	9969 Braille
997 Priska	997 Priska
99949 Miepgies	99949 Miepgies
Àsìá ilẹ̀ Guernsey	Bandiera di Guernsey
Albert Lebrun	Albert Lebrun
René Coty	René Coty
Vincent Auriol	Vincent Auriol
Patrice de Mac-Mahon, duc de Magenta	Patrice de Mac-Mahon
Georges Pire	Dominique Pire
Chulalongkorn	Chulalongkorn
Katsura Tarō	Taro Katsura
Universidade Federal da Bahia	Università federale di Bahia
Centro Federal de Educação Tecnológica de Minas Gerais	Centro Federal de Educação Tecnológica de Minas Gerais
Jack Collison	Jack Collison
Cemal Gürsel	Cemal Gürsel
Òkun Chukchi	Mare dei Ciukci
Ìbu	Muffa
Arcadius	Arcadio
.cs	.cs
Ìnàkí	Papio
Sósíálístì Káríayé	Internazionale Socialista
Ajman	Ajman
Àsìá ilẹ̀ Sòmálí	Bandiera della Somalia
Johannes Vilhelm Jensen	Johannes Vilhelm Jensen
Hugh Capet	Ugo Capeto di Francia
Jet Li	Jet Li
Nathan Söderblom	Nathan Söderblom
John Mott	John Mott
San Antonio Spurs	San Antonio Spurs
Àsìá ilẹ̀ Nepal	Bandiera del Nepal
Àsìá ilẹ̀ Mónakò	Bandiera di Monaco
Honorius (emperor)	Onorio (imperatore romano)
Àsìá ilẹ̀ Mòrókò	Bandiera del Marocco
Àsìá ilẹ̀ Kamẹrúùn	Bandiera del Camerun
Atlanta Hawks	Atlanta Hawks
Ìbejì	Gemelli (biologia)
Àsìá ilẹ̀ Sìmbábúè	Bandiera dello Zimbabwe
Pópù Pius 3k	Papa Pio III
Hen Wlad Fy Nhadau	Hen Wlad Fy Nhadau
Ẹfọ̀n Áfríkà	Syncerus caffer
Ẹ̀bùn Booker	Booker Prize
Pápá Ọkọ̀ Òfurufú Phu Bai	Aeroporto internazionale di Phu Bai
Pópù Alexander 3k	Papa Alessandro III
Àsìá ilẹ̀ Tajikistan	Bandiera del Tagikistan
Pópù Honorius 3k	Papa Onorio III
Àsìá ilẹ̀ Bòtswánà	Bandiera del Botswana
Àsìá ilẹ̀ Gúúsù Áfríkà	Bandiera del Sudafrica
Àsìá ilẹ̀ Perú	Bandiera del Perù
Àsìá ilẹ̀ New Zealand	Bandiera della Nuova Zelanda
Free State	Free State
Àmì ọ̀pá àṣẹ ilẹ̀ Austríà	Stemma dell'Austria
Edward Kẹrin Ilẹ̀gẹ̀ẹ́sì	Edoardo IV d'Inghilterra
Charles 6k ilẹ̀ Fránsì	Carlo VI di Francia
Pópù Callixtus 3k	Papa Callisto III
Pópù Marcellinus	Papa Marcellino
Simple Mail Transfer Protocol	Simple Mail Transfer Protocol
Angela Davis	Angela Davis
Telnet	Telnet
Odysseas Elytis	Odysseas Elytīs
Charles Maurice de Talleyrand-Périgord	Charles Maurice de Talleyrand-Périgord
Pópù Eusebius	Papa Eusebio
Gustaf Dalén	Nils Gustaf Dalén
Charles Glover Barkla	Charles Glover Barkla
Burt Lancaster	Burt Lancaster
Jack Kerouac	Jack Kerouac
Pópù Innocent 4k	Papa Innocenzo IV
Skanderbeg	Giorgio Castriota Scanderbeg
Amhrán na bhFiann	Amhrán na bhFiann
Àsìá ilẹ̀ Ghánà	Bandiera del Ghana
Ruble Bẹ̀lárùs	Rublo bielorusso
Hideki Tōjō	Hideki Tōjō
William Ewart Gladstone	William Ewart Gladstone
Horsepower	Cavallo vapore
Àsìá ilẹ̀ Slofákíà	Bandiera della Slovacchia
Àsìá ilẹ̀ Tsílè	Bandiera del Cile
Àsìá ilẹ̀ Sáúdí Arábíà	Bandiera dell'Arabia Saudita
Pópù Caius	Papa Caio
Pópù Agapetus 1k	Papa Agapito I
Pópù Boniface 1k	Papa Bonifacio I
Pópù Jòhánù 1k	Papa Giovanni I
Pópù Celestine 1k	Papa Celestino I
Pópù Hormisdas	Papa Ormisda
Pópù Symmachus	Papa Simmaco
A Portuguesa	A Portuguesa
Paul Reynaud	Paul Reynaud
Georg von Hertling	Georg von Hertling
Meles Zenawi	Meles Zenawi
Erékùṣù Clipperton	Clipperton
Orlando Magic	Orlando Magic
Houston Rockets	Houston Rockets
Pópù Innocent 8k	Papa Innocenzo VIII
Vajiravudh	Vajiravudh
Pópù Siricius	Papa Siricio
Brabançonne	La Brabançonne
Jiří Paroubek	Jiří Paroubek
Patrice Lumumba	Patrice Lumumba
United Nations Development Programme	Programma delle Nazioni Unite per lo sviluppo
Pópù Gregory 10k	Papa Gregorio X
Shche ne vmerla Ukrainy	Šče ne vmerla Ukraïny
Julie Andrews	Julie Andrews
ISO 3166-2:BW	ISO 3166-2:BW
Edward Gibbon	Edward Gibbon
Ashanti (àkọrin)	Ashanti (cantante)
Ìlú-ọba Brítánì Olókìkí	Regno di Gran Bretagna
Khufu	Cheope
Ìwé Króníkà	Libri delle Cronache
Pópù Pius 4k	Papa Pio IV
Àsìá ilẹ̀ Bósníà àti Hẹrzẹgòfínà	Bandiera della Bosnia ed Erzegovina
Eusébio	Eusébio
Àmì ọ̀pá àṣẹ ilẹ̀ Albáníà	Stemma dell'Albania
Àsìá ilẹ̀ Etiópíà	Bandiera dell'Etiopia
Pópù Felix 4k	Papa Felice IV
Pópù Miltiades	Papa Milziade
Pópù Benedict 8k	Papa Benedetto VIII
Pópù Gelasius 1k	Papa Gelasio I
Nicki Minaj	Nicki Minaj
Maamme	Maamme
Colin Firth	Colin Firth
Pópù Zosimus	Papa Zosimo
Walter Huston	Walter Huston
Akádẹ́mì	Accademia
Àsìá ilẹ̀ Yemen	Bandiera dello Yemen
Jean-Bédel Bokassa	Jean-Bédel Bokassa
Eveline Widmer-Schlumpf	Eveline Widmer-Schlumpf
Àsìá ilẹ̀ Ìrák	Bandiera dell'Iraq
Àsìá ilẹ̀ Tùnísíà	Bandiera della Tunisia
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Denver Nuggets	Denver Nuggets
Pópù Eutychian	Papa Eutichiano
Àsìá ilẹ̀ Montenẹ́grò	Bandiera del Montenegro
Cleveland Cavaliers	Cleveland Cavaliers
Àsìá ilẹ̀ Kàmbódíà	Bandiera della Cambogia
Àsìá ilẹ̀ Kúbà	Bandiera di Cuba
Maasai	Masai
Àsìá ilẹ̀ Orílẹ̀-èdè Olómìnira ilẹ̀ Kóngò	Bandiera della Repubblica del Congo
Ezra Pound	Ezra Pound
Post Office Protocol	Post Office Protocol
William Shockley	William Bradford Shockley
Òkun Ìlàòrùn Siberia	Mare della Siberia orientale
Prolog	Prolog
Charlotte Bobcats	Charlotte Hornets
Pópù Sixtus 4k	Papa Sisto IV
Soccer City	FNB Stadium
2876 Aeschylus	2876 Aeschylus
Ringgit	Ringgit malese
Àsìá ilẹ̀ Myanmar	Bandiera della Birmania
Pópù Benedict 2k	Papa Benedetto II
Àsìá ilẹ̀ Sérbíà	Bandiera della Serbia
Phoenix Suns	Phoenix Suns
Mer Hayrenik	Mer Hayrenik
Lucas Papademos	Loukas Papadīmos
Thaksin Shinawatra	Thaksin Shinawatra
Steve Darcis	Steve Darcis
Mobutu Sese Seko	Mobutu Sese Seko
Àsìá ilẹ̀ Orílẹ̀-èdè Olómìnira Tòṣèlúaráìlú ilẹ̀ Kóngò	Bandiera della Repubblica Democratica del Congo
Àmì ọ̀pá àṣẹ ilẹ̀ Estóníà	Stemma dell'Estonia
Ẹ̀wádún 100	Anni 100
Maywood, Illinois	Maywood (Illinois)
Pat Hingle	Pat Hingle
Louis 8k ilẹ̀ Fránsì	Luigi VIII di Francia
Jacqueline Kennedy Onassis	Jacqueline Kennedy Onassis
Àmì ọ̀pá àṣẹ ilẹ̀ Fránsì	Stemma della Francia
Ahmet Necdet Sezer	Ahmet Necdet Sezer
Àsìá ilẹ̀ Guinea	Bandiera della Guinea
Àmì ọ̀pá àṣẹ ilẹ̀ Rọ́síà	Stemma della Russia
Memphis Grizzlies	Memphis Grizzlies
Àsìá ilẹ̀ Fenesuela	Bandiera del Venezuela
Àsìá ilẹ̀ Ẹ̀kùàdọ̀r	Bandiera dell'Ecuador
Àsìá ilẹ̀ Kuwaiti	Bandiera del Kuwait
Àsìá ilẹ̀ Oman	Bandiera dell'Oman
Àsìá ilẹ̀ Mòngólíà	Bandiera della Mongolia
Pópù Boniface 9k	Papa Bonifacio IX
Pópù Jòhánù 22k	Papa Giovanni XXII
Àsìá ilẹ̀ Kyrgyzstan	Bandiera del Kirghizistan
Der er et yndigt land	Der er et yndigt land
Àmì ọ̀pá àṣẹ ilẹ̀ Ilẹ̀ọba Aṣọ̀kan	Stemma reale del Regno Unito
Agbègbè Antárktìkì Brítánì	Territorio antartico britannico
Edmund Burke	Edmund Burke
Àsìá ilẹ̀ Tsad	Bandiera del Ciad
Àsìá ilẹ̀ Nàmíbíà	Bandiera della Namibia
Giorgos Seferis	Giorgos Seferis
Àsìá ilẹ̀ Brunei	Bandiera del Brunei
Louis 6k ilẹ̀ Fránsì	Luigi VI di Francia
Àsìá ilẹ̀ Kẹ́nyà	Bandiera del Kenya
6667 Sannaimura	6667 Sannaimura
6731 Hiei	6731 Hiei
Àríwá-Ìwọòrùn (Gúúsù Áfríkà)	Provincia del Nordovest (Sudafrica)
Isidor Isaac Rabi	Isidor Isaac Rabi
Psusennes 2k	Psusennes II
XHTML	XHTML
Camillo Benso, conte di Cavour	Camillo Benso, conte di Cavour
Sacramento Kings	Sacramento Kings
Geoffrey Rush	Geoffrey Rush
My Belarusy	My Belarusy
Mu isamaa, mu õnn ja rõõm	Mu isamaa, mu õnn ja rõõm
Daniel Day-Lewis	Daniel Day-Lewis
Stanley Baldwin	Stanley Baldwin
Ramsay MacDonald	Ramsay MacDonald
Bonar Law	Andrew Bonar Law
H. H. Asquith	Herbert Henry Asquith
Thomas Nkono	Thomas N'Kono
Internet Message Access Protocol	Internet Message Access Protocol
Nad Tatrou sa blýska	Nad Tatrou sa blýska
Basse-Terre	Basse-Terre
Pópù Gregory 4k	Papa Gregorio IV
Pópù Sixtus 3k	Papa Sisto III
Àsìá Orílẹ̀-èdè Olómìnira ilẹ̀ Makẹdóníà	Bandiera della Macedonia
Alan García	Alan García Pérez
Portland Trail Blazers	Portland Trail Blazers
Georgios Kondylis	Georgios Kondylis
Àwọn Króátì	Croati
Aristidis Moraitinis	Aristidis Moraitinis
Jon Voight	Jon Voight
Pópù Eugene 4k	Papa Eugenio IV
Àsìá ilẹ̀ Móldófà	Bandiera della Moldavia
Pópù Eugene 3k	Papa Eugenio III
Dolomite	Dolomite
Juan Álvarez Mendizábal	Juan Álvarez Mendizábal
Charles 5k ilẹ̀ Fránsì	Carlo V di Francia
Gore Vidal	Gore Vidal
Geber	Jabir ibn Hayyan
Pópù Innocent 9k	Papa Innocenzo IX
2747 Český Krumlov	2747 Český Krumlov
Ptolemy 1k Soter	Tolomeo I
Roger Milla	Roger Milla
Àsìá ilẹ̀ Kósófò	Bandiera del Kosovo
Faye Dunaway	Faye Dunaway
Emma Thompson	Emma Thompson
Himni i Flamurit	Hymni i Flamurit
Pópù Valentine	Papa Valentino
Pópù Vigilius	Papa Vigilio
Pópù Jòhánù 2k	Papa Giovanni II
Pópù Simplicius	Papa Simplicio
Ọ̀ni Nílò	Crocodylus niloticus
Anafilasisi	Anafilassi
Orílẹ̀-èdè Olómìnira Sófìẹ̀tì Sósíálístì Kasakstan	Repubblica Socialista Sovietica Kazaka
Nọ́mbà áljẹ́brà	Numero algebrico
6734 Benzenberg	6734 Benzenberg
Àmì ọ̀pá àṣẹ ilẹ̀ Azerbaijan	Stemma dell'Azerbaigian
Àsìá ilẹ̀ Siẹrra Léònè	Bandiera della Sierra Leone
Àsìá ilẹ̀ Kòmórò	Bandiera delle Comore
Àsìá ilẹ̀ San Màrínò	Bandiera di San Marino
Àsìá ilẹ̀ Malaysia	Bandiera della Malesia
Àsìá ilẹ̀ Panamá	Bandiera di Panamá
STS-68	STS-68
Miami Heat	Miami Heat
Washington Wizards	Washington Wizards
Àsìá ilẹ̀ Bẹ̀lísè	Bandiera del Belize
Zdravljica	Zdravljica
Pópù Innocent 6k	Papa Innocenzo VI
Pópù Benedict 11k	Papa Benedetto XI
Pópù Urban 4k	Papa Urbano IV
Owen Willans Richardson	Owen Willans Richardson
Carl David Anderson	Carl David Anderson
Unified Modeling Language	Unified Modeling Language
Àsìá ilẹ̀ àwọn Maldive	Bandiera delle Maldive
Émile Loubet	Émile Loubet
Ernest Lawrence	Ernest Orlando Lawrence
Pópù Gregory 11k	Papa Gregorio XI
Pópù Martin 5k	Papa Martino V
Milwaukee Bucks	Milwaukee Bucks
Detroit Pistons	Detroit Pistons
Àsìá ilẹ̀ Málì	Bandiera del Mali
Àsìá ilẹ̀ Sao Tome àti Principe	Bandiera di São Tomé e Príncipe
Pópù Julius 3k	Papa Giulio III
Pópù Alexander 4k	Papa Alessandro IV
Jòhánù 2k ilẹ̀ Fránsì	Giovanni II di Francia
Ras al Khaimah	Ras al-Khaima
Valentinian 3k	Valentiniano III
Ẹ̀wádún 1100	Anni 1100
Nicolás de Piérola	Nicolás de Piérola
Manuel Candamo	Manuel Candamo
Àsìá ilẹ̀ Jọ́rdánì	Bandiera della Giordania
Àsìá ilẹ̀ Kóstá Rikà	Bandiera della Costa Rica
Pópù Boniface 3k	Papa Bonifacio III
Pópù Boniface 5k	Papa Bonifacio V
Pópù Pelagius 1k	Papa Pelagio I
Mbombela	Nelspruit
Indiana Pacers	Indiana Pacers
Ẹ̀wádún 110	Anni 110
Pópù Lucius 2k	Papa Lucio II
Pópù Innocent 2k	Papa Innocenzo II
Pópù Benedict 12k	Papa Benedetto XII
Pópù Clement 8k	Papa Clemente VIII
Secure Shell	Secure shell
Àsìá ilẹ̀ Paragúáì	Bandiera del Paraguay
Orílẹ̀-èdè Olómìnira Aṣọ̀kan Árábù	Repubblica Araba Unita
Àmì ọ̀pá àṣẹ ilẹ̀ Pólàndì	Stemma della Polonia
Pópù Sabinian	Papa Sabiniano
Pópù Formosus	Papa Formoso
Pópù Romanus	Papa Romano
Pópù Honorius 1k	Papa Onorio I
Pópù Nicholas 1k	Papa Niccolò I
Pópù Jòhánù 8k	Papa Giovanni VIII
Pópù Boniface 4k	Papa Bonifacio IV
Henry James	Henry James
Àsìá ilẹ̀ Rùwándà	Bandiera del Ruanda
Pópù Adeodatus 1k	Papa Adeodato I
Àmì ọ̀pá àṣẹ ilẹ̀ Àndórà	Stemma di Andorra
Àsìá ilẹ̀ Guinea Alágedeméjì	Bandiera della Guinea Equatoriale
Àsìá ilẹ̀ Ẹritrẹ́à	Bandiera dell'Eritrea
Edìdí Ọba ilẹ̀ Japan	Emblema del Giappone
Minnesota Timberwolves	Minnesota Timberwolves
Pópù Benedict 5k	Papa Benedetto V
Helen Hunt	Helen Hunt
Lofsöngur	Lofsöngur
Filip 6k ilẹ̀ Fránsì	Filippo VI di Francia
Tommy Lee Jones	Tommy Lee Jones
Amadou Toumani Touré	Amadou Toumani Touré
Àmì ọ̀pá àṣẹ ilẹ̀ Spéìn	Stemma della Spagna
Advance Australia Fair	Advance Australia Fair
Utah Jazz	Utah Jazz
Pópù Callixtus 2k	Papa Callisto II
Roger D. Kornberg	Roger David Kornberg
Manne Siegbahn	Manne Siegbahn
Onímọ̀ ìsirò	Matematico
Àsìá ilẹ̀ Làìbéríà	Bandiera della Liberia
Àsìá ilẹ̀ Tànsáníà	Bandiera della Tanzania
Àsìá ilẹ̀ Sámbíà	Bandiera dello Zambia
Pópù Nicholas 3k	Papa Niccolò III
Pópù Clement 6k	Papa Clemente VI
Àmì ọ̀pá àṣẹ ilẹ̀ Mẹ́ksíkò	Stemma del Messico
Pópù Innocent 5k	Papa Innocenzo V
Néstor Kirchner	Néstor Kirchner
Pópù Clement 3k	Papa Clemente III
Trebonianus Gallus	Gaio Vibio Treboniano Gallo
Robert Woodrow Wilson	Robert Woodrow Wilson
Philip K. Dick	Philip K. Dick
Àsìá ilẹ̀ Urugúáì	Bandiera dell'Uruguay
Pópù Alexander 2k	Papa Alessandro II
Àsìá ilẹ̀ Gùyánà	Bandiera della Guyana
Pópù Celestine 2k	Papa Celestino II
Nagarjuna	Nāgārjuna
Ilẹ̀ Ọba Benin	Regno del Benin
Janez Drnovsek	Janez Drnovšek
Pópù Celestine 4k	Papa Celestino IV
Homo	Homo
6672 Corot	6672 Corot
6673 Degas	6673 Degas
Àmì ọ̀pá àṣẹ ilẹ̀ Arméníà	Stemma dell'Armenia
Haile Gebrselassie	Haile Gebrselassie
Nakfa	Nacfa eritreo
Pópù Urban 3k	Papa Urbano III
Pópù Conon	Papa Conone
Ìjàmbá	Incidente
Bilady, Bilady, Bilady	Bilādī, Bilādī, Bilādī
Pópù Gregory 14k	Papa Gregorio XIV
Pópù Urban 6k	Papa Urbano VI
Àmì ọ̀pá àṣẹ ilẹ̀ àwọn Ìpínlẹ̀ Aṣọ̀kan Amẹ́ríkà	Stemma degli Stati Uniti d'America
Syngman Rhee	Syngman Rhee
Àmì ọ̀pá àṣẹ ilẹ̀ Fínlándì	Stemma della Finlandia
Georges Clemenceau	Georges Clemenceau
Robert Duvall	Robert Duvall
Jeremy Irons	Jeremy Irons
Aldo Moro	Aldo Moro
Àmì ọ̀pá àṣẹ ilẹ̀ Índíà	Emblema dell'India
Jamie Foxx	Jamie Foxx
Ẹgbẹ́ agbábọ́ọ̀lù-ẹlẹ́sẹ̀ ọmọorílẹ̀-èdè Ghánà	Nazionale di calcio del Ghana
Omar Bongo	Omar Bongo
Percy Williams Bridgman	Percy Williams Bridgman
3066 McFadden	3066 McFadden
Galerius	Galerio
Filip 3k ilẹ̀ Fránsì	Filippo III di Francia
Àwọn Erékùṣù Òkun Coral	Isole del Mar dei Coralli
Ilya Ilyich Mechnikov	Il'ja Il'ič Mečnikov
New Orleans Hornets	New Orleans Pelicans
Bushmen	San (popolo)
Pópù Hilarius	Papa Ilario
Pópù Sylvester 2k	Papa Silvestro II
Pópù Martin 1k	Papa Martino I
Pópù Adrian 3k	Papa Adriano III
Pópù Leo 5k	Papa Leone V
Pópù Sergius 3k	Papa Sergio III
Pópù Theodore 2k	Papa Teodoro II
Pópù Benedict 3k	Papa Benedetto III
Ẹ̀wádún 120	Anni 120
Steven Chu	Steven Chu
Valens	Valente (imperatore romano)
Orin-ìyìn Orílẹ̀-èdè Argẹntínà	Himno Nacional Argentino
Àsìá ilẹ̀ Jamáíkà	Bandiera della Giamaica
Dinar Sérbíà	Dinaro serbo
Àsìá ilẹ̀ Katar	Bandiera del Qatar
Àsìá ilẹ̀ Nikarágúà	Bandiera del Nicaragua
Lev Bùlgáríà	Lev bulgaro
John Rawls	John Rawls
Maggie Smith	Maggie Smith
Murray Gell-Mann	Murray Gell-Mann
Pyotr Kapitsa	Pëtr Leonidovič Kapica
Lira Túrkì	Lira turca
Arno Allan Penzias	Arno Penzias
Pópù Jòhánù 21k	Papa Giovanni XXI
Pópù Clement 4k	Papa Clemente IV
Pópù Jòhánù 12k	Papa Giovanni XII
George Town, Àwọn Erékùṣù Káímàn	George Town (Isole Cayman)
Pópù Adrian 5k	Papa Adriano V
Odò Límpopó	Limpopo
Emilio G. Segrè	Emilio Segrè
Pópù Honorius 2k	Papa Onorio II
Pópù Sergius 1k	Papa Sergio I
Real Brasil	Real brasiliano
Ben Kingsley	Ben Kingsley
Àmì ọ̀pá àṣẹ ilẹ̀ Bùlgáríà	Stemma della Bulgaria
Àmì ọ̀pá àṣẹ ilẹ̀ Sloféníà	Stemma della Slovenia
Àsìá ilẹ̀ Ṣèíhẹ́lẹ́sì	Bandiera delle Seychelles
Àmì ọ̀pá àṣẹ ilẹ̀ Románíà	Stemma della Romania
Bàntú	Civiltà bantu
Miss World	Miss Mondo
Ẹjọ́ Dreyfus	Affare Dreyfus
Àsìá ilẹ̀ Orílẹ̀-èdè Olómìnira ilẹ̀ Ṣáínà	Bandiera di Taiwan
Àsìá ilẹ̀ Mọ́rísì	Bandiera di Mauritius
Àsìá ilẹ̀ El Salfador	Bandiera di El Salvador
Pápá Eréìdárayá Cape Town	Green Point Stadium
Jomo Kenyatta	Jomo Kenyatta
Jessica Lange	Jessica Lange
Monica Seles	Monica Seles
Ice Cube	Ice Cube
Tenge	Tenge kazako
Rubén Darío	Rubén Darío
Fàájì	Intrattenimento
Ìdáméjì òbìrìkìtiì	Raggio (geometria)
Pópù Adrian 2k	Papa Adriano II
Pópù Felix 3k	Papa Felice III
Yang di-Pertuan Agong	Sovrani della Malesia
Ilẹ̀ọba Aṣọ̀kan Brítánì Olókìkí àti Írẹ́lándì	Regno Unito di Gran Bretagna e Irlanda
Julio Cortázar	Julio Cortázar
Ọ̀dà	Vernice
Emperor Meiji	Meiji
Abhisit Vejjajiva	Abhisit Vejjajiva
Djoser	Djoser
Manetho	Manetone
London School of Economics	London School of Economics and Political Science
Mary McAleese	Mary McAleese
Ìwé Ámósì	Libro di Amos
Ìwé Ọbadíàh	Libro di Abdia
Jeff Bridges	Jeff Bridges
ISO 3864	Segnaletica di sicurezza sul posto di lavoro
Nina Simone	Nina Simone
Charles 4k ilẹ̀ Fránsì	Carlo IV di Francia
Itō Hirobumi	Hirobumi Itō
Alan Shepard	Alan Shepard
Um Al Quwain	Umm al-Qaywayn
Pápá Eréìdárayá Moses Mabhida	Moses Mabhida Stadium
Raymond Davis, Jr.	Raymond Davis Jr.
Nectanebo 1k	Nectanebo I
VRML	VRML
Àkójọ àwọn orílẹ̀-èdè bíi Ìṣúpọ̀ olùgbé	Stati per densità di popolazione
Paul Flory	Paul Flory
Ahmed Bahnini	Ahmed Bahnini
Jérémy Chardy	Jérémy Chardy
James Mirrlees	James Mirrlees
Orin-ìyìn Òmìnira	Imnos is tin Eleftherian
Àwọn Òpó Márùún Ìmàle	Cinque pilastri dell'Islam
Ife Ẹ̀yẹ Àgbáyé FIFA 2010	Campionato mondiale di calcio 2010
Sixto Durán Ballén	Sixto Durán Ballén
Blessing Okagbare	Blessing Okagbare
Antonios Kriezis	Antonios Kriezis
Igún	Necrosyrtes monachus
Àgbàjọ	Comunità
Ẹ̀wádún 170	Anni 170
Thomas Hunt Morgan	Thomas Hunt Morgan
Denar	Denaro macedone
Baht	Baht thailandese
Aemilianus	Emiliano (imperatore romano)
Marcus Claudius Tacitus	Marco Claudio Tacito
Portable Network Graphics	Portable Network Graphics
Pópù Boniface 6k	Papa Bonifacio VI
Ìwé Míkà	Libro di Michea
Ìkokò àbàwọ́n	Crocuta crocuta
Cecil Frank Powell	Cecil Frank Powell
Àsìá ilẹ̀ Guatẹmálà	Bandiera del Guatemala
Ìwé Hággáì	Libro di Aggeo
Luis Walter Alvarez	Luis Álvarez
Ìwé Ẹ̀sẹ́kíẹ̀lì	Libro di Ezechiele
Biafra	Biafra
Ìdìmúlẹ̀	Istituzione
Giambattista Vico	Giambattista Vico
Pópù Benedict 9k	Papa Benedetto IX
Ìwé Jónà	Libro di Giona
STS-107	STS-107
ISO 3166-2:TN	ISO 3166-2:TN
Alexander Hamilton	Alexander Hamilton
Henry 1k ilẹ̀ Fránsì	Enrico I di Francia
Robert 2k ilẹ̀ Fránsì	Roberto II di Francia
Gran Canaria	Gran Canaria
1576 Fabiola	1576 Fabiola
Kareem Abdul-Jabbar	Kareem Abdul-Jabbar
Ìwé Ẹkún Jeremíàh	Libro delle Lamentazioni
Aaron Burr	Aaron Burr
The Notorious B.I.G.	The Notorious B.I.G.
Laurent Gbagbo	Laurent Gbagbo
Steven Weinberg	Steven Weinberg
Àsìá ilẹ̀ Dòmíníkà	Bandiera della Dominica
Pópù Anastasius 4k	Papa Anastasio IV
Road Town	Road Town
Charles Albert Gobat	Charles Albert Gobat
Bertil Ohlin	Bertil Ohlin
George Smoot	George Fitzgerald Smoot
Àmì ọ̀pá àṣẹ ilẹ̀ Tsẹ́kì Olómìnira	Stemma della Repubblica Ceca
Àmì ọ̀pá àṣẹ ilẹ̀ Bẹ̀lárùs	Emblema della Bielorussia
Àmì ọ̀pá àṣẹ ilẹ̀ Dẹ́nmárkì	Stemma della Danimarca
Pópù Benedict 7k	Papa Benedetto VII
